,Network Name,Layer Number,Context Ratio,pCon1,pConRel,Context Error Bars,Category Ratio,pCat1,pCatRel,Category Error Bars,pConVCat,Confounds Removed,AlexNet,AlexNet_Places365,GoogLeNet,GRCNN55,ResNet101,ResNet152,ResNet18,ResNet18_Places365,ResNet50,ResNet50_Places365,Resnext50_32x4d,Vgg16,Vgg19,0,2,5,7,10,12,14,17,19,21,24,26,28
0,AlexNet,0.0,0.9999999690994368,0.996752801102302,0.9971713174796014,7.514381552473296e-06,1.0000034004483715,0.4253901258468537,0.4243776088224807,4.239378711188689e-06,0.4743247034990712,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AlexNet,1.0,1.1281091986027327,9.068000029994305e-05,4.475965229775036e-06,0.0306744322425039,1.3559257732171432,1.241766849088971e-26,7.1315121477552764e-37,0.0268667509373014,1.1276612029717527e-06,True,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AlexNet,2.0,1.1290348544805515,0.0001343044999237,6.012156431443048e-06,0.0317564327860108,1.3605779381418426,1.6671977272924314e-26,5.7279397687515365e-37,0.0273190119545787,1.1721547587273476e-06,True,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AlexNet,3.0,1.1290348544805515,0.0001343044999237,6.012156431443048e-06,0.0317564327860108,1.3605779381418426,1.6671977272924314e-26,5.7279397687515365e-37,0.0273190119545787,1.1721547587273476e-06,True,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AlexNet,4.0,1.1158436916813168,0.0001026021199383,1.0711993006921544e-05,0.0279747501816281,1.5256761500596057,8.304739603479683e-45,1.563829036980999e-52,0.0254861476619405,1.7145093116242458e-14,True,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AlexNet,5.0,1.1152440704817157,0.0001715629417521,1.5627201338521628e-05,0.0288696693350453,1.5348271072099773,1.850121185094796e-44,1.7167300715030718e-52,0.0261228403066635,1.848946683518702e-14,True,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AlexNet,6.0,1.1152440704817157,0.0001715629417521,1.5627201338521628e-05,0.0288696693350453,1.5348271072099773,1.850121185094796e-44,1.7167300715030718e-52,0.0261228403066635,1.848946683518702e-14,True,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AlexNet,7.0,1.116819981456454,9.492512885615971e-05,1.5904381798512096e-05,0.0280593319687409,1.6813183359819317,5.417152123761433e-51,1.6378640345196544e-61,0.0290727981704801,2.801433975218079e-17,True,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AlexNet,8.0,1.1202037390288977,9.942250975344442e-05,1.5523788936593447e-05,0.0289644230113453,1.7064658037180658,9.336983379925101e-51,5.369528316849838e-61,0.0302893743865861,2.6676027461851016e-17,True,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AlexNet,9.0,1.189053134110686,4.1231272847085934e-05,3.7557871976869447e-06,0.0429782823626098,2.166651714549397,2.687804609000449e-33,1.6176930379791196e-65,0.0736527090896434,1.2847719814864395e-11,True,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AlexNet,10.0,1.190477040597885,5.956808444632702e-05,5.0291243599466845e-06,0.0443411065084281,2.198108735284833,3.744428529037947e-36,1.6274819906713136e-65,0.0705449504915111,1.4193350950293593e-12,True,,,,,,,,,,,,,,,,,,,,,,,,,,
