,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10
0,"('easel (2).jpg', 1.0000091255569876)","('beachball (2).jpg', 3.3015971536449475)","('beachball (2).jpg', 3.360982885485562)","('beachball (2).jpg', 3.360982885485562)","('beachball (2).jpg', 2.561064830175885)","('beachball (2).jpg', 2.6090967451192872)","('beachball (2).jpg', 2.6090967451192872)","('carpet (2).jpg', 2.948183512559071)","('carpet (2).jpg', 2.963619356858852)","('doll (2).jpg', 5.357119672123872)","('doll (2).jpg', 5.332998051601675)","('burger (2).jpg', 6.763575829479812)","('burger (2).jpg', 6.688322690306949)"
1,"('printer (2).jpg', 1.0000091255569876)","('fries (2).jpg', 2.608975509814961)","('fries (2).jpg', 2.6393027834703315)","('fries (2).jpg', 2.6393027834703315)","('carpet (2).jpg', 2.4612381754822383)","('carpet (2).jpg', 2.4851427517967224)","('carpet (2).jpg', 2.4851427517967224)","('baseballball (2).jpg', 2.6411837033110155)","('baseballball (2).jpg', 2.779249155569757)","('chicken (2).jpg', 4.332197847693867)","('chicken (2).jpg', 4.265502508331249)","('chicken (2).jpg', 6.655289806975531)","('chicken (2).jpg', 6.341540167196573)"
2,"('washer (2).jpg', 1.0000091255569876)","('rubberduck (2).jpg', 2.4891980734913624)","('rubberduck (2).jpg', 2.5014857980443663)","('rubberduck (2).jpg', 2.5014857980443663)","('fries (2).jpg', 2.393283217866706)","('tennisball (2).jpg', 2.4351919676089135)","('tennisball (2).jpg', 2.4351919676089135)","('pizza (2).jpg', 2.4937656161990907)","('pizza (2).jpg', 2.510628809341016)","('baseballball (2).jpg', 3.8646929675311363)","('baseballball (2).jpg', 4.0701900126554245)","('cow (2).jpg', 5.394034227878468)","('remotecontrol (2).jpg', 5.830619145104303)"
3,"('coffeetable (2).jpg', 1.0000091255569876)","('pallette (2).jpg', 2.1131179238453908)","('pallette (2).jpg', 2.124214728939014)","('pallette (2).jpg', 2.124214728939014)","('tennisball (2).jpg', 2.369037472106828)","('fries (2).jpg', 2.432238483766249)","('fries (2).jpg', 2.432238483766249)","('pants (2).jpg', 2.3950332301282047)","('pants (2).jpg', 2.463644784239631)","('cow (2).jpg', 3.7611259230606495)","('remotecontrol (2).jpg', 3.751149177855464)","('horse (2).jpg', 4.867859473095364)","('baseballball (2).jpg', 5.554737023517325)"
4,"('sofa (2).jpg', 1.0000091255569876)","('tennisball (2).jpg', 2.0485815714807702)","('tennisball (2).jpg', 2.1007456210406956)","('tennisball (2).jpg', 2.1007456210406956)","('toothpaste (2).jpg', 2.329842032158375)","('toothpaste (2).jpg', 2.3906607129462523)","('toothpaste (2).jpg', 2.3906607129462523)","('rolette (2).jpg', 2.387278516399227)","('rolette (2).jpg', 2.430400514549979)","('horse (2).jpg', 3.621654360805777)","('cow (2).jpg', 3.737882101269368)","('doll (2).jpg', 4.740833333239683)","('cow (2).jpg', 5.191520261284756)"
5,"('chair (2).jpg', 1.0000091255569876)","('cone (2).jpg', 2.024254433458739)","('cone (2).jpg', 2.044376536155162)","('cone (2).jpg', 2.044376536155162)","('pants (2).jpg', 2.226206385774436)","('remotecontrol (2).jpg', 2.2366227215905705)","('remotecontrol (2).jpg', 2.2366227215905705)","('bag (2).jpg', 2.2943865216155066)","('remotecontrol (2).jpg', 2.375352078731605)","('carpet (2).jpg', 3.5983737972219783)","('carpet (2).jpg', 3.6525494163682604)","('remotecontrol (2).jpg', 4.689381963879678)","('carpet (2).jpg', 5.168432809300879)"
6,"('lamp (2).jpg', 1.0000091255569876)","('sippycup (2).jpg', 2.011810240778764)","('sippycup (2).jpg', 2.028516230312625)","('sippycup (2).jpg', 2.028516230312625)","('rubberduck (2).jpg', 2.190508552396705)","('pants (2).jpg', 2.2341366811067664)","('pants (2).jpg', 2.2341366811067664)","('remotecontrol (2).jpg', 2.286457438021478)","('toothpaste (2).jpg', 2.3088566359673184)","('pants (2).jpg', 3.568521650054181)","('pants (2).jpg', 3.643819968480777)","('baseballball (2).jpg', 4.648588095812661)","('horse (2).jpg', 4.987280176308561)"
7,"('key (2).jpg', 1.0000091255569876)","('pants (2).jpg', 2.00861096512953)","('pants (2).jpg', 2.0140023951055084)","('pants (2).jpg', 2.0140023951055084)","('remotecontrol (2).jpg', 2.185847964751907)","('rubberduck (2).jpg', 2.2129794645532397)","('rubberduck (2).jpg', 2.2129794645532397)","('tennisball (2).jpg', 2.2453831736940777)","('bag (2).jpg', 2.2979106414883215)","('remotecontrol (2).jpg', 3.5220690167318187)","('horse (2).jpg', 3.6241563033188515)","('pizza (2).jpg', 4.591223368218728)","('doll (2).jpg', 4.813993481033018)"
8,"('lock (2).jpg', 1.0000091255569876)","('rolette (2).jpg', 1.7593644272152633)","('rolette (2).jpg', 1.7694337566397975)","('rolette (2).jpg', 1.7694337566397975)","('pallette (2).jpg', 2.180458316815721)","('pallette (2).jpg', 2.2126455160140623)","('pallette (2).jpg', 2.2126455160140623)","('rubberduck (2).jpg', 2.2376702508802575)","('fries (2).jpg', 2.2680441459287453)","('chess (2).jpg', 3.1340479909641803)","('chess (2).jpg', 3.318539353868091)","('carpet (2).jpg', 4.5284878274289415)","('rolette (2).jpg', 4.563667267113734)"
9,"('lipstick (2).jpg', 1.0000091255569876)","('train (2).jpg', 1.7352472837941952)","('train (2).jpg', 1.7451447858231843)","('train (2).jpg', 1.7451447858231843)","('pizza (2).jpg', 2.061949583977899)","('pizza (2).jpg', 2.0846104284616804)","('pizza (2).jpg', 2.0846104284616804)","('fries (2).jpg', 2.220462739487213)","('rubberduck (2).jpg', 2.267028384070301)","('barbie (2).jpg', 3.073100629239347)","('barbie (2).jpg', 3.1247018653822654)","('motorcycle (2).jpg', 4.117117282476391)","('pizza (2).jpg', 4.532589188065212)"
