,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10
0,"('01art', 1.0000091889294935)","('08beachball-pail', 2.2028298152911794)","('08beachball-pail', 2.258223105866848)","('08beachball-pail', 2.258223105866848)","('17burger', 1.7641066695886403)","('17burger', 1.775928732577775)","('17burger', 1.775928732577775)","('53ocean', 1.5935430283447822)","('53ocean', 1.602699761658587)","('32farm_animals', 2.2695459127946993)","('32farm_animals', 2.248684414910711)","('32farm_animals', 2.822794062651515)","('17burger', 2.68621868017529)"
1,"('38groceryshopping', 1.0000091889294935)","('17burger', 1.7236246763075198)","('17burger', 1.7339188748581082)","('17burger', 1.7339188748581082)","('08beachball-pail', 1.6023593428285072)","('08beachball-pail', 1.6240874803425007)","('08beachball-pail', 1.6240874803425007)","('45kitchen', 1.5278179997260593)","('45kitchen', 1.5418864605286529)","('08beachball-pail', 1.8682973777239635)","('08beachball-pail', 1.9049480909896854)","('17burger', 2.6192161837085584)","('32farm_animals', 2.6499152654822913)"
2,"('54office_supply', 1.0000091889294935)","('03backyard', 1.4213742109608103)","('03backyard', 1.4237208874950942)","('03backyard', 1.4237208874950942)","('53ocean', 1.5163942361311042)","('53ocean', 1.5213222962869326)","('53ocean', 1.5213222962869326)","('17burger', 1.5036457966413175)","('17burger', 1.5359711110224719)","('66tools', 1.8392707625589715)","('66tools', 1.8748774209178183)","('42horseriding', 2.2794907561250493)","('42horseriding', 2.3298367586680655)"
3,"('53ocean', 1.0000091889294935)","('18car', 1.417743332382463)","('18car', 1.4203111894372207)","('18car', 1.4203111894372207)","('45kitchen', 1.476558049733547)","('45kitchen', 1.4938062434394925)","('45kitchen', 1.4938062434394925)","('08beachball-pail', 1.4884088252029766)","('08beachball-pail', 1.4956478763684875)","('53ocean', 1.8222782950465395)","('45kitchen', 1.8487461291885332)","('08beachball-pail', 2.1519821067375933)","('08beachball-pail', 2.2825913917955027)"
4,"('52motorbike', 1.0000091889294935)","('71valentines', 1.391504785357924)","('20casino', 1.3989923322355042)","('20casino', 1.3989923322355042)","('42horseriding', 1.4646255165956505)","('42horseriding', 1.4688197450529006)","('42horseriding', 1.4688197450529006)","('42horseriding', 1.465445287327333)","('42horseriding', 1.4807673104252264)","('45kitchen', 1.8089671401581136)","('17burger', 1.8395419222414795)","('53ocean', 2.146827373319617)","('53ocean', 2.0576084972607966)"
5,"('51makeup', 1.0000091889294935)","('20casino', 1.3912284551725886)","('71valentines', 1.3969344431130082)","('71valentines', 1.3969344431130082)","('03backyard', 1.4507516486478376)","('03backyard', 1.4581885866019952)","('03backyard', 1.4581885866019952)","('55office-computer-printer', 1.4544340760613528)","('55office-computer-printer', 1.4689453582104497)","('17burger', 1.8064322547842377)","('53ocean', 1.8209320843675336)","('65toilet', 1.8746036263279018)","('65toilet', 1.9436470490093232)"
6,"('50lock', 1.0000091889294935)","('42horseriding', 1.3837268445778295)","('42horseriding', 1.3859789099516135)","('42horseriding', 1.3859789099516135)","('14boat', 1.3971078771026741)","('14boat', 1.404725732147675)","('14boat', 1.404725732147675)","('31farm', 1.4335561884307826)","('31farm', 1.4467613525406255)","('31farm', 1.8015201028783365)","('31farm', 1.820842621689905)","('66tools', 1.8732233399221854)","('66tools', 1.9415166012934306)"
7,"('49livingroom-chair', 1.0000091889294935)","('65toilet', 1.357004011435184)","('65toilet', 1.3790873698415589)","('65toilet', 1.3790873698415589)","('56office-desk-chair', 1.375545725087161)","('56office-desk-chair', 1.3821330818476878)","('56office-desk-chair', 1.3821330818476878)","('65toilet', 1.4197246034046)","('65toilet', 1.4235976790350684)","('42horseriding', 1.7653491612484533)","('42horseriding', 1.777788283990276)","('45kitchen', 1.8345922753027224)","('20casino', 1.9413327042330932)"
8,"('48livingroom', 1.0000091889294935)","('46kitchen2', 1.3561657872748607)","('46kitchen2', 1.3685797995414168)","('46kitchen2', 1.3685797995414168)","('65toilet', 1.3717383961504357)","('65toilet', 1.3703404443947196)","('65toilet', 1.3703404443947196)","('03backyard', 1.4170947105413179)","('03backyard', 1.4216435912476229)","('55office-computer-printer', 1.733681948016733)","('55office-computer-printer', 1.752513028064868)","('20casino', 1.7976806011345916)","('45kitchen', 1.9072031117719621)"
9,"('47laundry', 1.0000091889294935)","('14boat', 1.3535497307800777)","('14boat', 1.3567288889936355)","('14boat', 1.3567288889936355)","('46kitchen2', 1.3693494645984472)","('46kitchen2', 1.365413993475763)","('46kitchen2', 1.365413993475763)","('66tools', 1.4111415284541915)","('66tools', 1.397963165482762)","('41hiking', 1.602748310455455)","('41hiking', 1.6057446784044187)","('31farm', 1.7829310787561272)","('31farm', 1.8672883993778324)"
