,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10
0,"('22chess', 0.9994710361086783)","('69tub', 0.790412494263811)","('69tub', 0.7960239447244603)","('69tub', 0.7960239447244603)","('01art', 0.9286436437594467)","('01art', 0.9286851442505589)","('01art', 0.9286851442505589)","('01art', 0.8882785450919471)","('01art', 0.8806450101395468)","('01art', 0.477661099481412)","('01art', 0.43984236331686266)","('02baby', 0.6121234657354293)","('02baby', 0.6219782432957432)"
1,"('06basketball', 0.9998742030873513)","('21cheese', 0.8515966350914269)","('21cheese', 0.8521490504307632)","('21cheese', 0.8521490504307632)","('63teethhygene', 0.9397767819632198)","('63teethhygene', 0.9397669134745854)","('63teethhygene', 0.9397669134745854)","('63teethhygene', 0.9028726015237747)","('63teethhygene', 0.8993878314775969)","('38groceryshopping', 0.4979540148066161)","('02baby', 0.50579984152363)","('12birdcage', 0.6404694154792484)","('39gun', 0.6393589229805886)"
2,"('01art', 1.0000091889294935)","('05baseball', 0.8642966315797614)","('05baseball', 0.8617046243284202)","('05baseball', 0.8617046243284202)","('05baseball', 0.9456140103121516)","('05baseball', 0.9456075486449571)","('05baseball', 0.9456075486449571)","('05baseball', 0.9217540415999644)","('51makeup', 0.9160054042068337)","('02baby', 0.5354855261017513)","('38groceryshopping', 0.5107043454825743)","('39gun', 0.641615098574237)","('38groceryshopping', 0.6632582478102296)"
3,"('52motorbike', 1.0000091889294935)","('64tennis', 0.8918512587262064)","('64tennis', 0.8916075393687228)","('64tennis', 0.8916075393687228)","('21cheese', 0.9534701894141647)","('21cheese', 0.9534551350009727)","('21cheese', 0.9534551350009727)","('51makeup', 0.9283223914796757)","('05baseball', 0.9210128491771009)","('51makeup', 0.565834647229375)","('51makeup', 0.5164374375385535)","('38groceryshopping', 0.6627725498907696)","('19carpet', 0.6745447282159044)"
4,"('51makeup', 1.0000091889294935)","('01art', 0.9175131011203017)","('01art', 0.9190171733373952)","('01art', 0.9190171733373952)","('64tennis', 0.9670953456033009)","('64tennis', 0.9671064436587132)","('64tennis', 0.9671064436587132)","('21cheese', 0.9473150858670158)","('21cheese', 0.9335322417911691)","('12birdcage', 0.6281233125218465)","('12birdcage', 0.6350256706799803)","('19carpet', 0.6958989537564042)","('12birdcage', 0.6766235506028956)"
5,"('50lock', 1.0000091889294935)","('38groceryshopping', 0.9329699301977858)","('38groceryshopping', 0.933251112712911)","('38groceryshopping', 0.933251112712911)","('51makeup', 0.9685728677707471)","('51makeup', 0.9685716614940405)","('51makeup', 0.9685716614940405)","('39gun', 0.9594495812987262)","('67toy', 0.9558468538915356)","('39gun', 0.7140447621473176)","('39gun', 0.7046926415444996)","('51makeup', 0.7521407322498167)","('51makeup', 0.7301465995026932)"
6,"('49livingroom-chair', 1.0000091889294935)","('63teethhygene', 0.9346892092887934)","('63teethhygene', 0.933784827685202)","('63teethhygene', 0.933784827685202)","('24cleaning', 0.9711727617266629)","('24cleaning', 0.9711568018321862)","('24cleaning', 0.9711568018321862)","('67toy', 0.959747085434301)","('39gun', 0.9574120580100426)","('67toy', 0.7619433415887888)","('63teethhygene', 0.7374042676923921)","('67toy', 0.7999325485409534)","('67toy', 0.7476261353654192)"
7,"('48livingroom', 1.0000091889294935)","('62sushi', 0.942198084628828)","('62sushi', 0.9404647307522156)","('62sushi', 0.9404647307522156)","('38groceryshopping', 0.9728992992175475)","('38groceryshopping', 0.9728919861606962)","('38groceryshopping', 0.9728919861606962)","('38groceryshopping', 0.9641249587619916)","('38groceryshopping', 0.9591232557884525)","('63teethhygene', 0.7838080068387165)","('67toy', 0.7535675722488266)","('01art', 0.8113544883158967)","('01art', 0.7951467016264235)"
8,"('47laundry', 1.0000091889294935)","('24cleaning', 0.9423669138437715)","('24cleaning', 0.943277921629816)","('24cleaning', 0.943277921629816)","('02baby', 0.9807073664912981)","('02baby', 0.980694058138094)","('02baby', 0.980694058138094)","('62sushi', 0.9687320975508055)","('44kayak', 0.9693783338986233)","('19carpet', 0.8048002078850973)","('21cheese', 0.8024584950810022)","('47laundry', 0.8163060508672519)","('47laundry', 0.7995546476243786)"
9,"('46kitchen2', 1.0000091889294935)","('23childEating', 0.9549187386056328)","('23childEating', 0.954582582534935)","('23childEating', 0.954582582534935)","('70tv', 0.9820734562874721)","('70tv', 0.9820583455186935)","('70tv', 0.9820583455186935)","('44kayak', 0.9711732430695142)","('15bowling', 0.9703665770803465)","('36gardening', 0.8153229749604247)","('36gardening', 0.8233998038380569)","('59pizza', 0.8683269352971489)","('21cheese', 0.8402664553542614)"
