,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10
0,"('01art', 1.0000091889294935)","('17burger', 1.139477310198737)","('17burger', 1.1381696721256083)","('17burger', 1.1381696721256083)","('17burger', 1.0755627813190003)","('17burger', 1.075571605782662)","('17burger', 1.075571605782662)","('53ocean', 1.1009689301658334)","('53ocean', 1.1139158513480236)","('53ocean', 1.6616205612508799)","('17burger', 1.678819653723722)","('17burger', 1.8388557300958985)","('17burger', 1.8600964508319773)"
1,"('38groceryshopping', 1.0000091889294935)","('08beachball-pail', 1.1301462158902698)","('08beachball-pail', 1.1342897891004668)","('08beachball-pail', 1.1342897891004668)","('53ocean', 1.070041369973908)","('53ocean', 1.0700362029654433)","('53ocean', 1.0700362029654433)","('17burger', 1.0923826005073587)","('17burger', 1.1038965708661073)","('17burger', 1.636483315734004)","('53ocean', 1.6626978668203838)","('53ocean', 1.6791404745291663)","('53ocean', 1.6936095608592394)"
2,"('54office_supply', 1.0000091889294935)","('18car', 1.1170594646425045)","('18car', 1.1162249319470607)","('18car', 1.1162249319470607)","('42horseriding', 1.0621613816481081)","('42horseriding', 1.062149865456211)","('42horseriding', 1.062149865456211)","('42horseriding', 1.0883759343895454)","('42horseriding', 1.1007541816257038)","('08beachball-pail', 1.5349317033216774)","('08beachball-pail', 1.5610846001387686)","('08beachball-pail', 1.671675685645286)","('08beachball-pail', 1.6844388563239163)"
3,"('53ocean', 1.0000091889294935)","('03backyard', 1.1114948987704605)","('03backyard', 1.1105791363937698)","('03backyard', 1.1105791363937698)","('14boat', 1.0533122489916817)","('14boat', 1.0533043796659696)","('14boat', 1.0533043796659696)","('03backyard', 1.080904085097257)","('03backyard', 1.0901128936676465)","('31farm', 1.5233836981172333)","('31farm', 1.5413042535847077)","('65toilet', 1.600855975155326)","('65toilet', 1.6261427810903524)"
4,"('52motorbike', 1.0000091889294935)","('11biking', 1.110432635275935)","('11biking', 1.1097765676305287)","('11biking', 1.1097765676305287)","('31farm', 1.0499448901011421)","('31farm', 1.049931687846603)","('31farm', 1.049931687846603)","('65toilet', 1.0764503179234914)","('65toilet', 1.084749036958479)","('41hiking', 1.5096882883470013)","('41hiking', 1.5351716578132706)","('42horseriding', 1.4716217996074812)","('31farm', 1.5162314152504286)"
5,"('51makeup', 1.0000091889294935)","('14boat', 1.1077027345874702)","('14boat', 1.1072184866363801)","('14boat', 1.1072184866363801)","('18car', 1.0499072549096924)","('18car', 1.0499020266657373)","('18car', 1.0499020266657373)","('71valentines', 1.0656369589252592)","('08beachball-pail', 1.0752001190665648)","('65toilet', 1.4277653529614198)","('65toilet', 1.4437813455908748)","('48livingroom', 1.4686730118271891)","('42horseriding', 1.5072782425262796)"
6,"('50lock', 1.0000091889294935)","('42horseriding', 1.1073333392710454)","('42horseriding', 1.1065601966947956)","('42horseriding', 1.1065601966947956)","('03backyard', 1.048734257080678)","('03backyard', 1.0487235294173654)","('03backyard', 1.0487235294173654)","('08beachball-pail', 1.0655870565440766)","('31farm', 1.0748475736480727)","('42horseriding', 1.4191077104853465)","('42horseriding', 1.427996392195734)","('31farm', 1.4603138269850104)","('45kitchen', 1.5066646078357313)"
7,"('49livingroom-chair', 1.0000091889294935)","('46kitchen2', 1.1057792298244582)","('46kitchen2', 1.1050828502709495)","('46kitchen2', 1.1050828502709495)","('56office-desk-chair', 1.0481860256987936)","('56office-desk-chair', 1.0481729141053275)","('56office-desk-chair', 1.0481729141053275)","('31farm', 1.0654134747621087)","('56office-desk-chair', 1.0698787194032662)","('45kitchen', 1.4180080322450437)","('66tools', 1.4177163162268807)","('45kitchen', 1.457739813593316)","('48livingroom', 1.4687638209970133)"
8,"('48livingroom', 1.0000091889294935)","('37golf', 1.1046939098622761)","('37golf', 1.104005834705922)","('37golf', 1.104005834705922)","('11biking', 1.0479439099643246)","('11biking', 1.0479312555616178)","('11biking', 1.0479312555616178)","('56office-desk-chair', 1.0614106607313873)","('71valentines', 1.0688423759867933)","('66tools', 1.409672529596862)","('56office-desk-chair', 1.4068347908262637)","('41hiking', 1.4288721671839173)","('41hiking', 1.4535854458990702)"
9,"('47laundry', 1.0000091889294935)","('56office-desk-chair', 1.0935698050826461)","('56office-desk-chair', 1.0927452229941923)","('56office-desk-chair', 1.0927452229941923)","('57pancakes', 1.0478076536893068)","('57pancakes', 1.0478160215435106)","('57pancakes', 1.0478160215435106)","('14boat', 1.0571356419778772)","('14boat', 1.0658716647725894)","('56office-desk-chair', 1.4030804266730812)","('10bed-dresser', 1.402415076779247)","('56office-desk-chair', 1.411078180731644)","('55office-computer-printer', 1.4304065096747112)"
