,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10,Layer14_bottom10,Layer15_bottom10,Layer16_bottom10,Layer17_bottom10,Layer18_bottom10,Layer19_bottom10
0,"('chesspiece (2).jpg', 0.9994464597613429)","('highchair (2).jpg', 0.9659761929368929)","('highchair (2).jpg', 0.9659761929368929)","('chopsticks (2).jpg', 0.977579959985491)","('nail (2).jpg', 1.0144942993237713)","('nail (2).jpg', 1.0144942993237713)","('rainboots (2).jpg', 0.986637825201526)","('chair (2).jpg', 1.0159002070058614)","('chair (2).jpg', 1.0159002070058614)","('boxing_gloves (2).jpg', 1.0179584759131468)","('chair (2).jpg', 1.008624742956439)","('sippycup (2).jpg', 0.9867587507422539)","('chair (2).jpg', 0.9585645763127135)","('excersiceequipment (2).jpg', 0.9858533572668691)","('excersiceequipment (2).jpg', 0.9858533572668691)","('excersiceequipment (2).jpg', 0.9405994290674089)","('dresser (2).jpg', 0.7203355812577781)","('television (2).jpg', 0.9797779621274435)","('ambulance (2).jpg', -0.35344884886761824)"
1,"('basketball (2).jpg', 0.9997409806202358)","('rearview_mirror (2).jpg', 0.9664502623022415)","('rearview_mirror (2).jpg', 0.9664502623022415)","('helmet (2).jpg', 0.9910144262087561)","('ovenmitt (2).jpg', 1.017356980845947)","('ovenmitt (2).jpg', 1.017356980845947)","('washer (2).jpg', 1.0057461461000485)","('rainboots (2).jpg', 1.0229244171702394)","('rainboots (2).jpg', 1.0229244171702394)","('sippycup (2).jpg', 1.0419656491361557)","('boxing_gloves (2).jpg', 1.0110236750530552)","('chair (2).jpg', 0.9923847908419952)","('basketballrim (2).jpg', 1.007759647045931)","('chair (2).jpg', 0.988452423258665)","('chair (2).jpg', 0.988452423258665)","('garbagebag (2).jpg', 0.9602153555628709)","('cheesegrater (2).jpg', 0.8133238404830591)","('fishbowl (2).jpg', 0.9918610487913506)","('horse (2).jpg', -0.11670318679970765)"
2,"('easel (2).jpg', 1.0000091255569876)","('helmet (2).jpg', 0.9745097772377245)","('helmet (2).jpg', 0.9745097772377245)","('umbrella (2).jpg', 0.995006801991553)","('balloon (2).jpg', 1.0206284080544408)","('balloon (2).jpg', 1.0206284080544408)","('balloon (2).jpg', 1.0096707966656273)","('balloon (2).jpg', 1.0332700596410953)","('balloon (2).jpg', 1.0332700596410953)","('footballball (2).jpg', 1.0421779859942648)","('basketballrim (2).jpg', 1.0143306727942991)","('rainboots (2).jpg', 0.9976034534262262)","('excersiceequipment (2).jpg', 1.016220949918182)","('golfclubs (2).jpg', 1.014560112920229)","('golfclubs (2).jpg', 1.014560112920229)","('toiletseat (2).jpg', 0.9914716401142808)","('basketballrim (2).jpg', 0.827636529283313)","('fridge (2).jpg', 0.9925601096561814)","('cheesegrater (2).jpg', -0.0289756921227245)"
3,"('coffeetable (2).jpg', 1.0000091255569876)","('chopsticks (2).jpg', 0.9788200824896125)","('chopsticks (2).jpg', 0.9788200824896125)","('bat (2).jpg', 0.9989727913969176)","('washer (2).jpg', 1.0228837023717032)","('washer (2).jpg', 1.0228837023717032)","('chair (2).jpg', 1.0196751430936923)","('ovenmitt (2).jpg', 1.050631074704581)","('ovenmitt (2).jpg', 1.050631074704581)","('pokerchips (2).jpg', 1.0460050820880997)","('sippycup (2).jpg', 1.020898379799908)","('birdcage (2).jpg', 1.0168493917051284)","('rainboots (2).jpg', 1.0165699011905032)","('birdcage (2).jpg', 1.0209365905521963)","('birdcage (2).jpg', 1.0209365905521963)","('bullet (2).jpg', 0.9931914777452714)","('chopsticks (2).jpg', 0.8603991140463985)","('cheesegrater (2).jpg', 0.993065952140343)","('sleepingbag (2).jpg', 0.008751452657402212)"
4,"('sofa (2).jpg', 1.0000091255569876)","('garbagebag (2).jpg', 0.9792385601127054)","('garbagebag (2).jpg', 0.9792385601127054)","('dishrack (2).jpg', 1.0058806322063107)","('dustpan (2).jpg', 1.030725609187335)","('dustpan (2).jpg', 1.030725609187335)","('ovenmitt (2).jpg', 1.0275620247530122)","('sippycup (2).jpg', 1.0538683467680543)","('sippycup (2).jpg', 1.0538683467680543)","('cake (2).jpg', 1.054853842733961)","('rainboots (2).jpg', 1.0349015971045248)","('basketballrim (2).jpg', 1.0191615476479432)","('birdcage (2).jpg', 1.0251367951255952)","('laundry (2).jpg', 1.0296992791139223)","('laundry (2).jpg', 1.0296992791139223)","('birdcage (2).jpg', 0.999475146187505)","('coffeemaker (2).jpg', 0.8894632163784917)","('beachball (2).jpg', 0.9938109828617301)","('beachchair (2).jpg', 0.15511688225357673)"
5,"('chair (2).jpg', 1.0000091255569876)","('cart (2).jpg', 0.9842699065424582)","('cart (2).jpg', 0.9842699065424582)","('dresser (2).jpg', 1.0061877515083735)","('stove (2).jpg', 1.0349462327395231)","('stove (2).jpg', 1.0349462327395231)","('desk (2).jpg', 1.0341623702223934)","('cheesegrater (2).jpg', 1.067055001601331)","('cheesegrater (2).jpg', 1.067055001601331)","('rainboots (2).jpg', 1.0606808786097057)","('footballball (2).jpg', 1.0404325275842563)","('excersiceequipment (2).jpg', 1.028229090130846)","('anchor2.jpg', 1.0258378808549073)","('pot (2).jpg', 1.0432319249117166)","('pot (2).jpg', 1.0432319249117166)","('dresser (2).jpg', 1.0006917582820414)","('anchor2.jpg', 0.903664220232798)","('chair (2).jpg', 0.995395875544765)","('slippers (2).jpg', 0.17978117543258204)"
6,"('lamp (2).jpg', 1.0000091255569876)","('bat (2).jpg', 0.9877622570770559)","('bat (2).jpg', 0.9877622570770559)","('dustpan (2).jpg', 1.0063433515154303)","('umbrella (2).jpg', 1.038451729693192)","('umbrella (2).jpg', 1.038451729693192)","('nail (2).jpg', 1.0398752634777262)","('trophy (2).jpg', 1.0676921706962113)","('trophy (2).jpg', 1.0676921706962113)","('laundry (2).jpg', 1.0645165993956378)","('printer (2).jpg', 1.0432548874815006)","('chair (2).jpg', 1.029876527407931)","('printer (2).jpg', 1.0305296284469652)","('rainboots (2).jpg', 1.0446963225847228)","('rainboots (2).jpg', 1.0446963225847228)","('dustpan (2).jpg', 1.0015125989431006)","('lock (2).jpg', 0.9081634235909662)","('makeup (2).jpg', 0.9962272033333881)","('starfish (2).jpg', 0.18035329155817142)"
7,"('key (2).jpg', 1.0000091255569876)","('punchingbag (2).jpg', 0.9903295846843073)","('punchingbag (2).jpg', 0.9903295846843073)","('stove (2).jpg', 1.007781256816252)","('rearview_mirror (2).jpg', 1.0452939593572201)","('rearview_mirror (2).jpg', 1.0452939593572201)","('printer (2).jpg', 1.0426071049349477)","('seashell (2).jpg', 1.071517693588729)","('seashell (2).jpg', 1.071517693588729)","('sushi (2).jpg', 1.0697506424987606)","('seashell (2).jpg', 1.0460799830356027)","('dresser (2).jpg', 1.0300619587260693)","('chair (2).jpg', 1.0309018820944573)","('garbagebag (2).jpg', 1.04739457968694)","('garbagebag (2).jpg', 1.04739457968694)","('nail (2).jpg', 1.0027847265926566)","('chair (2).jpg', 0.9174417542947885)","('lego (2).jpg', 0.9963132418262153)","('fish (2).jpg', 0.18993938284560535)"
8,"('lock (2).jpg', 1.0000091255569876)","('wheelbarrow (2).jpg', 0.9962524204687849)","('wheelbarrow (2).jpg', 0.9962524204687849)","('bowlingpin (2).jpg', 1.012715814829881)","('garbagebag (2).jpg', 1.051608041562735)","('garbagebag (2).jpg', 1.051608041562735)","('dustpan (2).jpg', 1.0427299208519138)","('boxing_gloves (2).jpg', 1.0715790587837961)","('boxing_gloves (2).jpg', 1.0715790587837961)","('pot (2).jpg', 1.0708755300801016)","('cheesegrater (2).jpg', 1.0462578468262118)","('garbagebag (2).jpg', 1.0325007391000793)","('garbagebag (2).jpg', 1.0319523466701925)","('sippycup (2).jpg', 1.052067417407431)","('sippycup (2).jpg', 1.052067417407431)","('golfclubs (2).jpg', 1.0038734844623014)","('bed (2).jpg', 0.9345615519052279)","('lock (2).jpg', 0.9967269988606514)","('medal (2).jpg', 0.26272825905876884)"
9,"('lipstick (2).jpg', 1.0000091255569876)","('board (2).jpg', 0.9983636775119203)","('board (2).jpg', 0.9983636775119203)","('desk (2).jpg', 1.01404864812374)","('printer (2).jpg', 1.0531064504494279)","('printer (2).jpg', 1.0531064504494279)","('coat (2).jpg', 1.0444088674123626)","('footballball (2).jpg', 1.073879789014572)","('footballball (2).jpg', 1.073879789014572)","('chair (2).jpg', 1.077964433959571)","('birdcage (2).jpg', 1.0505068090134257)","('cow (2).jpg', 1.036317836434372)","('parrot (2).jpg', 1.0366275005783485)","('basketballrim (2).jpg', 1.0560669455804443)","('basketballrim (2).jpg', 1.0560669455804443)","('basketballrim (2).jpg', 1.0077455428928495)","('birdcage (2).jpg', 0.9386911197056004)","('pokerchips (2).jpg', 0.9979768807429905)","('helmet (2).jpg', 0.34138175752562744)"
