,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10,Layer14_bottom10,Layer15_bottom10,Layer16_bottom10,Layer17_bottom10,Layer18_bottom10,Layer19_bottom10
0,"('22chess', 0.9994710361086783)","('70tv', 0.8210468810774461)","('70tv', 0.8210468810774461)","('70tv', 0.8956064290722743)","('70tv', 0.7398250781808747)","('70tv', 0.7398250781808747)","('59pizza', 0.8259772366526388)","('59pizza', 0.7679176460453208)","('59pizza', 0.7679176460453208)","('19carpet', 0.7164293147215008)","('51makeup', 0.8352666560581263)","('51makeup', 0.8862452099214801)","('19carpet', 0.7965941226838753)","('19carpet', 0.8047215283078886)","('19carpet', 0.8047215283078886)","('51makeup', 0.8676272260418145)","('12birdcage', 0.7534880314247082)","('70tv', 0.9754591932098006)","('48livingroom', 0.26682581554902973)"
1,"('06basketball', 0.9998742030873513)","('49livingroom-chair', 0.8579651150868453)","('49livingroom-chair', 0.8579651150868453)","('64tennis', 0.9067275507134827)","('59pizza', 0.7858448421715926)","('59pizza', 0.7858448421715926)","('19carpet', 0.8517597368153925)","('19carpet', 0.775938834094902)","('19carpet', 0.775938834094902)","('59pizza', 0.7655072090355279)","('59pizza', 0.8762445738802834)","('19carpet', 0.9081313353387795)","('51makeup', 0.891106656874193)","('51makeup', 0.8618190696402762)","('51makeup', 0.8618190696402762)","('49livingroom-chair', 0.8856185536049154)","('33fishtank', 0.7796431433271418)","('51makeup', 0.9807892786319009)","('25clothing', 0.40691657594975383)"
2,"('01art', 1.0000091889294935)","('64tennis', 0.8982297824324227)","('64tennis', 0.8982297824324227)","('49livingroom-chair', 0.9156467769446385)","('49livingroom-chair', 0.7953748282905695)","('49livingroom-chair', 0.7953748282905695)","('70tv', 0.8691860629368626)","('70tv', 0.843941048705281)","('70tv', 0.843941048705281)","('05baseball', 0.7711409378644342)","('15bowling', 0.8768960015347466)","('59pizza', 0.9279199289768112)","('12birdcage', 0.8937304935140151)","('59pizza', 0.8770136698200632)","('59pizza', 0.8770136698200632)","('15bowling', 0.905546276195022)","('49livingroom-chair', 0.7862212466832933)","('25clothing', 0.9835882734395567)","('63teethhygene', 0.4082043160494292)"
3,"('52motorbike', 1.0000091889294935)","('55office-computer-printer', 0.9290165331747768)","('55office-computer-printer', 0.9290165331747768)","('11biking', 0.9340666084613692)","('19carpet', 0.8003318341726697)","('19carpet', 0.8003318341726697)","('49livingroom-chair', 0.8980859126591916)","('22chess', 0.8593688901884459)","('22chess', 0.8593688901884459)","('15bowling', 0.7767969781043788)","('19carpet', 0.8769792095173494)","('12birdcage', 0.9299694324432343)","('59pizza', 0.8965928333341904)","('49livingroom-chair', 0.9018070399195889)","('49livingroom-chair', 0.9018070399195889)","('19carpet', 0.9281608770134245)","('19carpet', 0.7912537177782601)","('19carpet', 0.9840578736549611)","('09beachumbrella-chair', 0.4267791236931004)"
4,"('51makeup', 1.0000091889294935)","('05baseball', 0.9394098484776781)","('05baseball', 0.9394098484776781)","('06basketball', 0.9480727250055715)","('11biking', 0.8199436798984717)","('11biking', 0.8199436798984717)","('06basketball', 0.9032776702306983)","('49livingroom-chair', 0.8696897142706994)","('49livingroom-chair', 0.8696897142706994)","('51makeup', 0.8089387172057436)","('22chess', 0.8778707411809575)","('44kayak', 0.9398591403524652)","('25clothing', 0.9130082138969908)","('44kayak', 0.9100227446624529)","('44kayak', 0.9100227446624529)","('26coathanging', 0.9299507401486077)","('39gun', 0.8444961968611244)","('15bowling', 0.984168808117997)","('35garbage', 0.5044319922539456)"
5,"('50lock', 1.0000091889294935)","('11biking', 0.9430960751563608)","('11biking', 0.9430960751563608)","('05baseball', 0.9484268100058301)","('06basketball', 0.8410751221034831)","('06basketball', 0.8410751221034831)","('15bowling', 0.9179662774805706)","('51makeup', 0.9024950403221061)","('51makeup', 0.9024950403221061)","('12birdcage', 0.8559131909449882)","('05baseball', 0.9119433030695406)","('33fishtank', 0.9484224217294742)","('22chess', 0.9190720404484614)","('12birdcage', 0.9159825142855442)","('12birdcage', 0.9159825142855442)","('44kayak', 0.9325384851040149)","('15bowling', 0.8632115061422403)","('52motorbike', 0.9846890947354422)","('38groceryshopping', 0.6279540421644706)"
6,"('49livingroom-chair', 1.0000091889294935)","('06basketball', 0.9465015043657505)","('06basketball', 0.9465015043657505)","('19carpet', 0.9586226230714014)","('15bowling', 0.8624704852923221)","('15bowling', 0.8624704852923221)","('21cheese', 0.924563719354518)","('12birdcage', 0.9054484351523618)","('12birdcage', 0.9054484351523618)","('06basketball', 0.8572807904725496)","('33fishtank', 0.9293398525770693)","('49livingroom-chair', 0.9496150616674934)","('44kayak', 0.9243312966992131)","('33fishtank', 0.9184066708293308)","('33fishtank', 0.9184066708293308)","('22chess', 0.9454631154137819)","('51makeup', 0.8645893963641431)","('59pizza', 0.9857594912676375)","('71valentines', 0.6354300379064125)"
7,"('48livingroom', 1.0000091889294935)","('16boxing', 0.9528250001944052)","('16boxing', 0.9528250001944052)","('21cheese', 0.965360580612734)","('22chess', 0.8689938039028172)","('22chess', 0.8689938039028172)","('64tennis', 0.9258252581434191)","('44kayak', 0.9134758685821991)","('44kayak', 0.9134758685821991)","('33fishtank', 0.8597130624466895)","('68toys', 0.9371139285122357)","('15bowling', 0.9516362660373212)","('05baseball', 0.945114426364922)","('25clothing', 0.9220276667305506)","('25clothing', 0.9220276667305506)","('40gym', 0.9459254911630636)","('59pizza', 0.8684878586412095)","('45kitchen', 0.9874631278093222)","('54office_supply', 0.6473768754699925)"
8,"('47laundry', 1.0000091889294935)","('01art', 0.9651043101015475)","('01art', 0.9651043101015475)","('51makeup', 0.9654136724815199)","('26coathanging', 0.8838910347037264)","('26coathanging', 0.8838910347037264)","('05baseball', 0.92629038684221)","('15bowling', 0.913990885068029)","('15bowling', 0.913990885068029)","('44kayak', 0.8616312579806047)","('44kayak', 0.9420580885129913)","('67toy', 0.9553316013918595)","('49livingroom-chair', 0.9485126000145047)","('22chess', 0.9262539704390504)","('22chess', 0.9262539704390504)","('12birdcage', 0.9565812868426079)","('05baseball', 0.8954215791431122)","('16boxing', 0.9874707874569937)","('10bed-dresser', 0.7315295610015835)"
9,"('46kitchen2', 1.0000091889294935)","('40gym', 0.96621753713668)","('40gym', 0.96621753713668)","('45kitchen', 0.9681038170388363)","('64tennis', 0.9028498593835582)","('64tennis', 0.9028498593835582)","('22chess', 0.9272536544191652)","('01art', 0.9172974540027987)","('01art', 0.9172974540027987)","('01art', 0.8742188948697591)","('06basketball', 0.9452524503030854)","('25clothing', 0.9586337292647209)","('11biking', 0.9501992370223168)","('05baseball', 0.9282331957037149)","('05baseball', 0.9282331957037149)","('33fishtank', 0.9602879754540148)","('06basketball', 0.9078949707769531)","('12birdcage', 0.9877001167345725)","('19carpet', 0.7585642480684028)"
