,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10,Layer14_top10,Layer15_top10,Layer16_top10,Layer17_top10,Layer18_top10,Layer19_top10
0,"('easel (2).jpg', 1.0000091255569876)","('lamp (2).jpg', 1.1775362408090295)","('lamp (2).jpg', 1.1775362408090295)","('bike (2).jpg', 1.3067630193804758)","('carpet (2).jpg', 1.5336293181376015)","('carpet (2).jpg', 1.5336293181376015)","('rubberduck (2).jpg', 1.3405164280119926)","('carpet (2).jpg', 1.6018533149206176)","('carpet (2).jpg', 1.6018533149206176)","('coatrack (2).jpg', 1.7050588579138133)","('coatrack (2).jpg', 1.3697713654285741)","('coatrack (2).jpg', 1.2847258138012363)","('carpet (2).jpg', 1.4183031824154875)","('coatrack (2).jpg', 1.414436943534059)","('coatrack (2).jpg', 1.414436943534059)","('coatrack (2).jpg', 1.36756768674991)","('burger (2).jpg', 1.9816701032327326)","('burger (2).jpg', 1.067547591011735)","('beachpail (2).jpg', 2.2304355402409572)"
1,"('printer (2).jpg', 1.0000091255569876)","('tennisball (2).jpg', 1.1708780607225209)","('tennisball (2).jpg', 1.1708780607225209)","('fries (2).jpg', 1.2649198034402178)","('lamp (2).jpg', 1.4872780682943332)","('lamp (2).jpg', 1.4872780682943332)","('carpet (2).jpg', 1.3070138372930458)","('lamp (2).jpg', 1.4814474219278544)","('lamp (2).jpg', 1.4814474219278544)","('carpet (2).jpg', 1.680151324485037)","('lamp (2).jpg', 1.3276299651982368)","('lamp (2).jpg', 1.2254283342290053)","('coatrack (2).jpg', 1.3277112954300927)","('rolette (2).jpg', 1.3679782813190486)","('rolette (2).jpg', 1.3679782813190486)","('rolette (2).jpg', 1.2619163141967347)","('rolette (2).jpg', 1.9361009470722927)","('rolette (2).jpg', 1.0479440783266483)","('fishbowl (2).jpg', 2.1982316236041677)"
2,"('washer (2).jpg', 1.0000091255569876)","('carpet (2).jpg', 1.1583027968093007)","('carpet (2).jpg', 1.1583027968093007)","('rubberduck (2).jpg', 1.2133572356580649)","('bike (2).jpg', 1.4535776605205042)","('bike (2).jpg', 1.4535776605205042)","('coatrack (2).jpg', 1.2624426672566842)","('coatrack (2).jpg', 1.4739483127089783)","('coatrack (2).jpg', 1.4739483127089783)","('bike (2).jpg', 1.6559302811150889)","('bike (2).jpg', 1.2891451088693389)","('carpet (2).jpg', 1.2199529407345167)","('rolette (2).jpg', 1.28692218956815)","('carpet (2).jpg', 1.3568186775225222)","('carpet (2).jpg', 1.3568186775225222)","('burger (2).jpg', 1.2436727110848045)","('doll (2).jpg', 1.8019749236579388)","('ambulance (2).jpg', 1.0470445122007186)","('plant (2).jpg', 2.1099616628606843)"
3,"('coffeetable (2).jpg', 1.0000091255569876)","('rolette (2).jpg', 1.1558915949022437)","('rolette (2).jpg', 1.1558915949022437)","('pancake (2).jpg', 1.1677685511148774)","('rubberduck (2).jpg', 1.4307056792833055)","('rubberduck (2).jpg', 1.4307056792833055)","('lamp (2).jpg', 1.2419958382245027)","('toothbrush (2).jpg', 1.4009505034895022)","('toothbrush (2).jpg', 1.4009505034895022)","('lamp (2).jpg', 1.6181738938306547)","('hammer (2).jpg', 1.275970764779906)","('motorhelmet (2).jpg', 1.2153085661484968)","('hammer (2).jpg', 1.2507457262730228)","('ambulance (2).jpg', 1.2925240772320192)","('ambulance (2).jpg', 1.2925240772320192)","('pizza (2).jpg', 1.2418720703611343)","('coatrack (2).jpg', 1.7268517442975475)","('toothpaste (2).jpg', 1.0427010416148565)","('vacuum (2).jpg', 1.8428328779564132)"
4,"('sofa (2).jpg', 1.0000091255569876)","('rubberduck (2).jpg', 1.145630042643147)","('rubberduck (2).jpg', 1.145630042643147)","('lamp (2).jpg', 1.164012095973322)","('coatrack (2).jpg', 1.4272390941026083)","('coatrack (2).jpg', 1.4272390941026083)","('bike (2).jpg', 1.2245964118383004)","('pizza (2).jpg', 1.3810418206987334)","('pizza (2).jpg', 1.3810418206987334)","('bowlingball (2).jpg', 1.595141934555332)","('rolette (2).jpg', 1.271434648694768)","('hammer (2).jpg', 1.213621608686389)","('motorhelmet (2).jpg', 1.2375900924966265)","('lamp (2).jpg', 1.289690205524347)","('lamp (2).jpg', 1.289690205524347)","('bowlingball (2).jpg', 1.2330677361084799)","('key (2).jpg', 1.7267540453014318)","('bike (2).jpg', 1.0420011397175193)","('coffeemaker (2).jpg', 1.7163131292240152)"
5,"('chair (2).jpg', 1.0000091255569876)","('fries (2).jpg', 1.140098533122183)","('fries (2).jpg', 1.140098533122183)","('carpet (2).jpg', 1.163933912323736)","('pizza (2).jpg', 1.3835598718967481)","('pizza (2).jpg', 1.3835598718967481)","('scissors (2).jpg', 1.2199707006225915)","('bike (2).jpg', 1.3745931502233497)","('bike (2).jpg', 1.3745931502233497)","('rolette (2).jpg', 1.554484286308823)","('motorhelmet (2).jpg', 1.2713803068603746)","('bike (2).jpg', 1.1910164539856942)","('doll (2).jpg', 1.2343136639610721)","('bike (2).jpg', 1.2857171076313068)","('bike (2).jpg', 1.2857171076313068)","('ambulance (2).jpg', 1.2189707298894308)","('hammer (2).jpg', 1.6846047648777804)","('chicken (2).jpg', 1.0411478699925982)","('wheelbarrow (2).jpg', 1.6556475400070085)"
6,"('lamp (2).jpg', 1.0000091255569876)","('pants (2).jpg', 1.1358391657326194)","('pants (2).jpg', 1.1358391657326194)","('pants (2).jpg', 1.1468569038046776)","('chess (2).jpg', 1.3224767708996397)","('chess (2).jpg', 1.3224767708996397)","('sofa (2).jpg', 1.2093753624685502)","('rubberduck (2).jpg', 1.365753332011553)","('rubberduck (2).jpg', 1.365753332011553)","('pizza (2).jpg', 1.539169006168792)","('carpet (2).jpg', 1.2701591015518459)","('rolette (2).jpg', 1.1899193393025773)","('toothpaste (2).jpg', 1.23396516448556)","('toothpaste (2).jpg', 1.2726336514793728)","('toothpaste (2).jpg', 1.2726336514793728)","('handgun1 (2).JPG', 1.2147234240845115)","('pizza (2).jpg', 1.6427593761693076)","('bathrobe (2).jpg', 1.0405339837142513)","('baseballball (2).jpg', 1.6498956313017137)"
7,"('key (2).jpg', 1.0000091255569876)","('paper (2).jpg', 1.1320264429947033)","('paper (2).jpg', 1.1320264429947033)","('beachpail (2).jpg', 1.1394479805903344)","('pants (2).jpg', 1.3000437437546986)","('pants (2).jpg', 1.3000437437546986)","('pants (2).jpg', 1.1968003046465336)","('remotecontrol (2).jpg', 1.3123285724166347)","('remotecontrol (2).jpg', 1.3123285724166347)","('lipstick (2).jpg', 1.5368528266197405)","('remotecontrol (2).jpg', 1.2496707085606176)","('lipstick (2).jpg', 1.1883036512543892)","('bowlingball (2).jpg', 1.228256438330562)","('remotecontrol (2).jpg', 1.267823735437874)","('remotecontrol (2).jpg', 1.267823735437874)","('lamp (2).jpg', 1.1974246805107767)","('motorhelmet (2).jpg', 1.6269347578720594)","('slippers (2).jpg', 1.0373783147379652)","('umbrella (2).jpg', 1.6403911323046891)"
8,"('lock (2).jpg', 1.0000091255569876)","('easel (2).jpg', 1.1315766593249406)","('easel (2).jpg', 1.1315766593249406)","('lipstick (2).jpg', 1.1380673894609992)","('easel (2).jpg', 1.29294016457772)","('easel (2).jpg', 1.29294016457772)","('pizza (2).jpg', 1.195265407120002)","('hammer (2).jpg', 1.3086727862274627)","('hammer (2).jpg', 1.3086727862274627)","('remotecontrol (2).jpg', 1.5209765840886225)","('toothpaste (2).jpg', 1.2407492267964668)","('bowlingball (2).jpg', 1.185512072159619)","('lamp (2).jpg', 1.227729380050649)","('handgun1 (2).JPG', 1.2671468644243435)","('handgun1 (2).JPG', 1.2671468644243435)","('toothpaste (2).jpg', 1.194204453685979)","('racket (2).jpg', 1.5080358855298424)","('carpet (2).jpg', 1.0352116752677951)","('handgun1 (2).JPG', 1.60753067849811)"
9,"('lipstick (2).jpg', 1.0000091255569876)","('lipstick (2).jpg', 1.1284993665452387)","('lipstick (2).jpg', 1.1284993665452387)","('racket (2).jpg', 1.1347922672791797)","('beachpail (2).jpg', 1.2833206971425313)","('beachpail (2).jpg', 1.2833206971425313)","('easel (2).jpg', 1.1911893312906772)","('rolette (2).jpg', 1.299991769791457)","('rolette (2).jpg', 1.299991769791457)","('hammer (2).jpg', 1.5043260753632286)","('pizza (2).jpg', 1.2380157766598108)","('toothbrush (2).jpg', 1.1811398118403182)","('beachball (2).jpg', 1.2257938723786448)","('bowlingball (2).jpg', 1.2643148503219943)","('bowlingball (2).jpg', 1.2643148503219943)","('toothbrush (2).jpg', 1.192712821100786)","('lamp (2).jpg', 1.4937418602994124)","('hairdryer (2).jpg', 1.0343298215850203)","('kayak (2).jpg', 1.6063949979145558)"
