,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10,Layer14_top10,Layer15_top10,Layer16_top10,Layer17_top10,Layer18_top10,Layer19_top10
0,"('01art', 1.0000091889294935)","('65toilet', 1.0979496806205948)","('65toilet', 1.0979496806205948)","('71valentines', 1.0910504739115874)","('30emergency', 1.1944593529076695)","('30emergency', 1.1944593529076695)","('17burger', 1.1191459408845346)","('30emergency', 1.1580327538581308)","('30emergency', 1.1580327538581308)","('66tools', 1.2591473137992453)","('66tools', 1.1494999796043803)","('63teethhygene', 1.0962692729464985)","('17burger', 1.1164044674479092)","('63teethhygene', 1.1356225272833569)","('63teethhygene', 1.1356225272833569)","('63teethhygene', 1.1137574438956843)","('66tools', 1.3658750368165082)","('32farm_animals', 1.027296428123179)","('24cleaning', 1.6092238947959228)"
1,"('38groceryshopping', 1.0000091889294935)","('42horseriding', 1.0979196659898283)","('42horseriding', 1.0979196659898283)","('50lock', 1.0887278054445633)","('08beachball-pail', 1.1865554127251317)","('08beachball-pail', 1.1865554127251317)","('08beachball-pail', 1.1147648403776504)","('63teethhygene', 1.1555020238356328)","('63teethhygene', 1.1555020238356328)","('63teethhygene', 1.2292732380859228)","('63teethhygene', 1.1485001890266724)","('66tools', 1.085513654612562)","('60street', 1.1142413645957172)","('17burger', 1.1334199770001931)","('17burger', 1.1334199770001931)","('71valentines', 1.107513022916086)","('07bathrobe-slippers', 1.3084078142877036)","('17burger', 1.026000368465343)","('05baseball', 1.5560496585730657)"
2,"('54office_supply', 1.0000091889294935)","('20casino', 1.0951329160099068)","('20casino', 1.0951329160099068)","('57pancakes', 1.0865814409145347)","('71valentines', 1.1409469486961719)","('71valentines', 1.1409469486961719)","('30emergency', 1.1058504591363976)","('24cleaning', 1.149744894437087)","('24cleaning', 1.149744894437087)","('24cleaning', 1.1951397787175595)","('17burger', 1.1119768891070756)","('17burger', 1.0808995510611483)","('63teethhygene', 1.1091505813270492)","('60street', 1.130397676487076)","('60street', 1.130397676487076)","('17burger', 1.1073259922759562)","('57pancakes', 1.2710733215653092)","('71valentines', 1.0244334377455486)","('04barber', 1.5193437642960492)"
3,"('53ocean', 1.0000091889294935)","('08beachball-pail', 1.088597545916462)","('08beachball-pail', 1.088597545916462)","('42horseriding', 1.0796798529619211)","('20casino', 1.139872912853689)","('20casino', 1.139872912853689)","('71valentines', 1.1055788269761657)","('71valentines', 1.1398489451332234)","('71valentines', 1.1398489451332234)","('61street', 1.181583299404588)","('50lock', 1.107008015041133)","('48livingroom', 1.078248745782333)","('71valentines', 1.1037953930666942)","('71valentines', 1.1287974403930792)","('71valentines', 1.1287974403930792)","('30emergency', 1.0784707372447477)","('20casino', 1.2515801989337347)","('41hiking', 1.0211610504709523)","('61street', 1.501948654144499)"
4,"('52motorbike', 1.0000091889294935)","('03backyard', 1.082398949483355)","('03backyard', 1.082398949483355)","('20casino', 1.0753721581336304)","('42horseriding', 1.1386218703173812)","('42horseriding', 1.1386218703173812)","('42horseriding', 1.1052006779746302)","('66tools', 1.1376212777289365)","('66tools', 1.1376212777289365)","('17burger', 1.1735781877358045)","('24cleaning', 1.1063260165250182)","('71valentines', 1.0765114306229722)","('08beachball-pail', 1.10167547335527)","('30emergency', 1.1066120677596532)","('30emergency', 1.1066120677596532)","('60street', 1.074412666985464)","('17burger', 1.2510569336102977)","('07bathrobe-slippers', 1.0207946612858279)","('59pizza', 1.491503494652923)"
5,"('51makeup', 1.0000091889294935)","('50lock', 1.0787767711634029)","('50lock', 1.0787767711634029)","('65toilet', 1.0714825953703124)","('17burger', 1.1381314432671166)","('17burger', 1.1381314432671166)","('50lock', 1.0895223224953294)","('17burger', 1.1348413860348887)","('17burger', 1.1348413860348887)","('09beachumbrella-chair', 1.1703559478187553)","('30emergency', 1.0993897432200197)","('60street', 1.0752425723106576)","('50lock', 1.1003853922689975)","('24cleaning', 1.096379267898865)","('24cleaning', 1.096379267898865)","('53ocean', 1.0715766598831151)","('71valentines', 1.2116314796962617)","('55office-computer-printer', 1.0164472590801157)","('60street', 1.4756142094086235)"
6,"('50lock', 1.0000091889294935)","('71valentines', 1.0756830299180757)","('71valentines', 1.0756830299180757)","('08beachball-pail', 1.0694357318222787)","('14boat', 1.1313358390284372)","('14boat', 1.1313358390284372)","('48livingroom', 1.0893793550713486)","('65toilet', 1.1202617234643835)","('65toilet', 1.1202617234643835)","('31farm', 1.1685873275612948)","('54office_supply', 1.0987574217695468)","('50lock', 1.0741999815652)","('30emergency', 1.0953297176409196)","('72winning', 1.0933343423906217)","('72winning', 1.0933343423906217)","('61street', 1.0626133013424495)","('30emergency', 1.203205094038088)","('48livingroom', 1.0164314920086668)","('22chess', 1.4664720941260576)"
7,"('49livingroom-chair', 1.0000091889294935)","('41hiking', 1.0694671804708515)","('41hiking', 1.0694671804708515)","('04barber', 1.0671076463066897)","('53ocean', 1.1299880892185754)","('53ocean', 1.1299880892185754)","('31farm', 1.0786986802363803)","('08beachball-pail', 1.112522006519575)","('08beachball-pail', 1.112522006519575)","('48livingroom', 1.1680377168183647)","('71valentines', 1.0974529505058672)","('54office_supply', 1.0736786316103766)","('64tennis', 1.0927825493364232)","('50lock', 1.0928231417039693)","('50lock', 1.0928231417039693)","('57pancakes', 1.0562241827175358)","('09beachumbrella-chair', 1.1976803510516)","('34football', 1.0156787430827172)","('57pancakes', 1.4645236295755073)"
8,"('48livingroom', 1.0000091889294935)","('57pancakes', 1.0683610325012987)","('57pancakes', 1.0683610325012987)","('30emergency', 1.0582874581677768)","('65toilet', 1.1205699934688287)","('65toilet', 1.1205699934688287)","('20casino', 1.0786876345118834)","('50lock', 1.111161777393017)","('50lock', 1.111161777393017)","('50lock', 1.16755137721407)","('31farm', 1.0859229086142437)","('24cleaning', 1.0703750791781979)","('66tools', 1.082820577774617)","('07bathrobe-slippers', 1.0901055361129108)","('07bathrobe-slippers', 1.0901055361129108)","('27coffeemaking', 1.0551032288093782)","('34football', 1.1913837766178275)","('03backyard', 1.014962471966278)","('06basketball', 1.4552713904399455)"
9,"('47laundry', 1.0000091889294935)","('10bed-dresser', 1.0679219809197196)","('10bed-dresser', 1.0679219809197196)","('37golf', 1.0548054197901682)","('48livingroom', 1.1150205974657037)","('48livingroom', 1.1150205974657037)","('03backyard', 1.0759193620470597)","('20casino', 1.1107286709108946)","('20casino', 1.1107286709108946)","('30emergency', 1.1631156799452251)","('61street', 1.0813102348676247)","('30emergency', 1.0703294187316441)","('61street', 1.0815769381633376)","('53ocean', 1.086801189837985)","('53ocean', 1.086801189837985)","('08beachball-pail', 1.0520683186001385)","('46kitchen2', 1.1669728288048307)","('64tennis', 1.0143991504764547)","('72winning', 1.4196929286188962)"
