,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10
0,"('01art', 1.0000091889294935)","('17burger', 1.118181280603403)","('20casino', 1.069497324767668)","('20casino', 1.069502579925064)","('20casino', 1.069502579925064)","('50lock', 1.135636889234108)","('17burger', 1.123539893806598)","('66tools', 1.3802100968956459)","('32farm_animals', 1.062075221310801)","('32farm_animals', 1.0134180629098992)"
1,"('38groceryshopping', 1.0000091889294935)","('71valentines', 1.091040709028036)","('50lock', 1.065050604481417)","('50lock', 1.065074309372068)","('50lock', 1.065074309372068)","('71valentines', 1.127268330894744)","('71valentines', 1.1100860149334841)","('31farm', 1.3535898990641244)","('61street', 1.0612666494879748)","('53ocean', 1.0125275831181242)"
2,"('54office_supply', 1.0000091889294935)","('57pancakes', 1.0810395439970035)","('42horseriding', 1.0628278060651541)","('42horseriding', 1.06284640191887)","('42horseriding', 1.06284640191887)","('53ocean', 1.1256966096623597)","('42horseriding', 1.1049873098268685)","('63teethhygene', 1.3467752348545574)","('31farm', 1.0602275136256247)","('71valentines', 1.0111178425828473)"
3,"('53ocean', 1.0000091889294935)","('03backyard', 1.0740370894084708)","('08beachball-pail', 1.0610606712150699)","('08beachball-pail', 1.0611229147304875)","('08beachball-pail', 1.0611229147304875)","('65toilet', 1.1223993309648403)","('50lock', 1.1030495535779001)","('32farm_animals', 1.2942922417035607)","('71valentines', 1.0575365081970127)","('45kitchen', 1.0108535915524837)"
4,"('52motorbike', 1.0000091889294935)","('18car', 1.0734609363218162)","('71valentines', 1.0606155220127307)","('71valentines', 1.0606040818202231)","('71valentines', 1.0606040818202231)","('42horseriding', 1.1210725902703)","('53ocean', 1.1015068960412164)","('55office-computer-printer', 1.272514102904595)","('55office-computer-printer', 1.05561873540935)","('17burger', 1.010224383353871)"
5,"('51makeup', 1.0000091889294935)","('65toilet', 1.06707134986217)","('14boat', 1.0526283903991458)","('14boat', 1.0526082265804455)","('14boat', 1.0526082265804455)","('17burger', 1.1189746279877302)","('03backyard', 1.0947920639775055)","('24cleaning', 1.258818056081777)","('20casino', 1.0459298978803926)","('42horseriding', 1.0101159766163617)"
6,"('50lock', 1.0000091889294935)","('45kitchen', 1.0633449182890817)","('30emergency', 1.052419990151671)","('30emergency', 1.0524400931877935)","('30emergency', 1.0524400931877935)","('20casino', 1.1090695129175874)","('08beachball-pail', 1.0880560771626506)","('71valentines', 1.2271629002950835)","('53ocean', 1.0441761832089007)","('55office-computer-printer', 1.0093306400383544)"
7,"('49livingroom-chair', 1.0000091889294935)","('46kitchen2', 1.0610876389799802)","('65toilet', 1.050991167339204)","('65toilet', 1.0510142911847264)","('65toilet', 1.0510142911847264)","('31farm', 1.1047051674389556)","('69tub', 1.087792006561394)","('03backyard', 1.2245622093760835)","('17burger', 1.043558250506119)","('10bed-dresser', 1.0092991539719438)"
8,"('48livingroom', 1.0000091889294935)","('20casino', 1.0607532064844196)","('53ocean', 1.050873983051191)","('53ocean', 1.0508620014744194)","('53ocean', 1.0508620014744194)","('57pancakes', 1.102038517392539)","('56office-desk-chair', 1.0842322245632385)","('42horseriding', 1.217841372074938)","('10bed-dresser', 1.0425232621369291)","('66tools', 1.0085787232111343)"
9,"('47laundry', 1.0000091889294935)","('14boat', 1.0601851850262958)","('41hiking', 1.05037723183525)","('41hiking', 1.0503967166283512)","('41hiking', 1.0503967166283512)","('14boat', 1.0970434830873514)","('48livingroom', 1.079120027851635)","('10bed-dresser', 1.2176355498456963)","('57pancakes', 1.0413095855594008)","('08beachball-pail', 1.0083682544887487)"
