,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10
0,"('easel (2).jpg', 1.0000091255569876)","('beachball (2).jpg', 1.1661294523540697)","('beachball (2).jpg', 1.118133894293162)","('beachball (2).jpg', 1.11853853113936)","('beachball (2).jpg', 1.11853853113936)","('beachball (2).jpg', 1.290730178818666)","('rolette (2).jpg', 1.5425995678344377)","('remotecontrol (2).jpg', 2.636401783625841)","('tableset (2).jpg', 5.347698420203535)","('pizza (2).jpg', 5.116786905469563)"
1,"('printer (2).jpg', 1.0000091255569876)","('fries (2).jpg', 1.15060681501695)","('fries (2).jpg', 1.1170813348305235)","('fries (2).jpg', 1.1160071862971495)","('fries (2).jpg', 1.1160071862971495)","('fries (2).jpg', 1.2412218095836745)","('carpet (2).jpg', 1.5039913999457653)","('rolette (2).jpg', 2.363543177598056)","('television (2).jpg', 4.643303924466241)","('television (2).jpg', 4.62092510851997)"
2,"('washer (2).jpg', 1.0000091255569876)","('pallette (2).jpg', 1.1216166651855786)","('sippycup (2).jpg', 1.079521670619862)","('tennisball (2).jpg', 1.0828273456018818)","('tennisball (2).jpg', 1.0828273456018818)","('carpet (2).jpg', 1.2282430099063573)","('remotecontrol (2).jpg', 1.4968587211774893)","('carpet (2).jpg', 2.3122131735450084)","('pizza (2).jpg', 4.5986451580580425)","('carpet (2).jpg', 3.7828031835878946)"
3,"('coffeetable (2).jpg', 1.0000091255569876)","('tennisball (2).jpg', 1.1202616868591904)","('rubberduck (2).jpg', 1.0794243329296096)","('sippycup (2).jpg', 1.0793587641746096)","('sippycup (2).jpg', 1.0793587641746096)","('bag (2).jpg', 1.2097192010274662)","('plant (2).jpg', 1.4515519069148677)","('pizza (2).jpg', 2.298660946792108)","('carpet (2).jpg', 4.269913407840341)","('tableset (2).jpg', 3.725728204204242)"
4,"('sofa (2).jpg', 1.0000091255569876)","('rubberduck (2).jpg', 1.1070727891748902)","('tennisball (2).jpg', 1.0793975908659215)","('pallette (2).jpg', 1.078795053409934)","('pallette (2).jpg', 1.078795053409934)","('pants (2).jpg', 1.2078662981600636)","('pants (2).jpg', 1.4181029509889103)","('chess (2).jpg', 2.189796736588479)","('crib (2).jpg', 4.110007274548404)","('crib (2).jpg', 3.5578265350817198)"
5,"('chair (2).jpg', 1.0000091255569876)","('sippycup (2).jpg', 1.0938404730533247)","('pallette (2).jpg', 1.0793547247455204)","('rubberduck (2).jpg', 1.0787575963737153)","('rubberduck (2).jpg', 1.0787575963737153)","('rolette (2).jpg', 1.2017558854360417)","('lipstick (2).jpg', 1.4009851354798069)","('burger (2).jpg', 2.188679445097647)","('horse (2).jpg', 4.016351472903916)","('horse (2).jpg', 3.1794113609377863)"
6,"('lamp (2).jpg', 1.0000091255569876)","('carpet (2).jpg', 1.090486953155644)","('pants (2).jpg', 1.0750968184808747)","('pants (2).jpg', 1.0750438285604516)","('pants (2).jpg', 1.0750438285604516)","('pizza (2).jpg', 1.191318576222672)","('sleepingbag (2).jpg', 1.3983065838446946)","('horse (2).jpg', 2.063014277839622)","('sofa (2).jpg', 3.901274701655024)","('sofa (2).jpg', 2.8903971998156335)"
7,"('key (2).jpg', 1.0000091255569876)","('pants (2).jpg', 1.0901371042489878)","('golfcart (2).jpg', 1.0674626486997982)","('golfcart (2).jpg', 1.066953961021098)","('golfcart (2).jpg', 1.066953961021098)","('paper (2).jpg', 1.1895036307663902)","('backhoe (2).jpg', 1.3974273281043472)","('sleepingbag (2).jpg', 2.038400034952544)","('burger (2).jpg', 3.3342765361006386)","('motorcycle (2).jpg', 2.8150745235134766)"
8,"('lock (2).jpg', 1.0000091255569876)","('pancake (2).jpg', 1.0790827127323206)","('deskchair (2).jpg', 1.0647993516795147)","('deskchair (2).jpg', 1.0643084285254065)","('deskchair (2).jpg', 1.0643084285254065)","('backhoe (2).jpg', 1.1823162146705555)","('pizza (2).jpg', 1.374688482196902)","('bike (2).jpg', 2.0300975648450805)","('motorcycle (2).jpg', 3.2979290382230184)","('burger (2).jpg', 2.7022953439159156)"
9,"('lipstick (2).jpg', 1.0000091255569876)","('pizza (2).jpg', 1.0766507521039685)","('bike (2).jpg', 1.0584216070004002)","('bike (2).jpg', 1.0579515797622785)","('bike (2).jpg', 1.0579515797622785)","('tennisball (2).jpg', 1.1738751068486146)","('burger (2).jpg', 1.3739999467140491)","('television (2).jpg', 2.0259857735760987)","('washer (2).jpg', 3.2945024602599666)","('washer (2).jpg', 2.674565068976432)"
