,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10
0,"('01art', 1.0000091889294935)","('17burger', 1.0699871267170842)","('08beachball-pail', 1.0625796570613542)","('08beachball-pail', 1.06243120740743)","('08beachball-pail', 1.06243120740743)","('65toilet', 1.1460949728007688)","('45kitchen', 1.2615401017365813)","('53ocean', 1.6313834328852888)","('17burger', 2.4265789047531996)","('17burger', 1.9866447134123375)"
1,"('38groceryshopping', 1.0000091889294935)","('18car', 1.057802423399059)","('18car', 1.0503792841479132)","('18car', 1.0498417830952116)","('18car', 1.0498417830952116)","('03backyard', 1.1407190159371807)","('53ocean', 1.2071331023361382)","('32farm_animals', 1.5264761315276)","('32farm_animals', 2.217205038700398)","('32farm_animals', 1.8846636519158724)"
2,"('54office_supply', 1.0000091889294935)","('71valentines', 1.0547879709887964)","('17burger', 1.0443752930326675)","('17burger', 1.0444823404254142)","('17burger', 1.0444823404254142)","('08beachball-pail', 1.1338187821092687)","('65toilet', 1.1990195946245146)","('45kitchen', 1.5198750727740913)","('55office-computer-printer', 2.0854144209307792)","('55office-computer-printer', 1.855655031505555)"
3,"('53ocean', 1.0000091889294935)","('37golf', 1.0522646959244006)","('03backyard', 1.042818972889231)","('03backyard', 1.042289931754978)","('03backyard', 1.042289931754978)","('46kitchen2', 1.1286685578401527)","('20casino', 1.188625219448641)","('08beachball-pail', 1.4794127467385174)","('41hiking', 1.8276281420074105)","('41hiking', 1.5586493215142514)"
4,"('52motorbike', 1.0000091889294935)","('03backyard', 1.0511762722250941)","('37golf', 1.0427283198908097)","('37golf', 1.042203999042407)","('37golf', 1.042203999042407)","('14boat', 1.1281136152833733)","('30emergency', 1.184306904454776)","('41hiking', 1.4772736328311076)","('66tools', 1.678838924069572)","('65toilet', 1.4979154861815576)"
5,"('51makeup', 1.0000091889294935)","('65toilet', 1.0501197633737138)","('71valentines', 1.0413216641713308)","('71valentines', 1.040819762631009)","('71valentines', 1.040819762631009)","('18car', 1.1238409837534535)","('18car', 1.182562581149608)","('55office-computer-printer', 1.4771174685120756)","('57pancakes', 1.5911040866240722)","('57pancakes', 1.4906210671925215)"
6,"('50lock', 1.0000091889294935)","('14boat', 1.0469941055673626)","('14boat', 1.0399548480597445)","('14boat', 1.0394898678298559)","('14boat', 1.0394898678298559)","('45kitchen', 1.1124165205182228)","('03backyard', 1.1800845021980984)","('42horseriding', 1.4634396346176115)","('65toilet', 1.5901063894734715)","('08beachball-pail', 1.4644005732742618)"
7,"('49livingroom-chair', 1.0000091889294935)","('08beachball-pail', 1.0451883038755063)","('65toilet', 1.0368822369451738)","('65toilet', 1.0388092009457832)","('65toilet', 1.0388092009457832)","('20casino', 1.109747156053517)","('07bathrobe-slippers', 1.175687462552454)","('20casino', 1.3902162264438516)","('08beachball-pail', 1.5862787229751703)","('66tools', 1.4567234236440791)"
8,"('48livingroom', 1.0000091889294935)","('42horseriding', 1.0443434346662863)","('42horseriding', 1.036317934470253)","('42horseriding', 1.0357832307654191)","('42horseriding', 1.0357832307654191)","('56office-desk-chair', 1.107515414144917)","('46kitchen2', 1.1662282027789979)","('65toilet', 1.3538793716313404)","('27coffeemaking', 1.556039111567167)","('27coffeemaking', 1.434163436331798)"
9,"('47laundry', 1.0000091889294935)","('57pancakes', 1.0428123544306427)","('31farm', 1.0356138442914526)","('31farm', 1.0351352164141203)","('31farm', 1.0351352164141203)","('11biking', 1.1060278953058924)","('14boat', 1.1641320408644937)","('14boat', 1.349710928628128)","('53ocean', 1.5316932810112978)","('50lock', 1.4318651761403347)"
