,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10
0,"('chesspiece (2).jpg', 0.9994464597613429)","('lego (2).jpg', 0.8863205129879594)","('nail (2).jpg', 0.9884962480109972)","('nail (2).jpg', 0.9885487130745344)","('nail (2).jpg', 0.9885487130745344)","('balloon (2).jpg', 0.973133827986168)","('computer (2).jpg', 0.9657839215652723)","('sippycup (2).jpg', 1.1218823384862553)","('chair (2).jpg', 1.002771672356019)","('basketballrim (2).jpg', 1.0016573553380448)"
1,"('basketball (2).jpg', 0.9997409806202358)","('balloon (2).jpg', 0.9116266195999828)","('helmet (2).jpg', 0.9989447291615956)","('helmet (2).jpg', 0.9990022275867243)","('helmet (2).jpg', 0.9990022275867243)","('fishbowl (2).jpg', 1.0031107143738278)","('fish (2).jpg', 0.9840268165389754)","('laundry (2).jpg', 1.1541171890121735)","('birdcage (2).jpg', 1.0034933802659896)","('birdcage (2).jpg', 1.0031717630050792)"
2,"('easel (2).jpg', 1.0000091255569876)","('stroller (2).jpg', 0.943235584299838)","('fishbowl (2).jpg', 1.0112638211409957)","('fishbowl (2).jpg', 1.0112548460581612)","('fishbowl (2).jpg', 1.0112548460581612)","('fish (2).jpg', 1.0040126809140653)","('balloon (2).jpg', 1.0069971423803639)","('basketballrim (2).jpg', 1.1653346480672782)","('laundry (2).jpg', 1.0049962045700789)","('laundry (2).jpg', 1.0039369871735517)"
3,"('coffeetable (2).jpg', 1.0000091255569876)","('broom (2).jpg', 0.9570764604634868)","('bowlingpin (2).jpg', 1.0120492020282217)","('bowlingpin (2).jpg', 1.0120646843296501)","('bowlingpin (2).jpg', 1.0120646843296501)","('umbrella (2).jpg', 1.004711376307745)","('helmet (2).jpg', 1.0136246139414198)","('cake (2).jpg', 1.1769581963597884)","('beachpail (2).jpg', 1.0075467765944948)","('trophy (2).jpg', 1.0039854587372572)"
4,"('sofa (2).jpg', 1.0000091255569876)","('toothbrush (2).jpg', 0.9641287572872496)","('stove (2).jpg', 1.0190333693115181)","('stove (2).jpg', 1.0190894273148623)","('stove (2).jpg', 1.0190894273148623)","('computer (2).jpg', 1.0132969614148775)","('cheesegrater (2).jpg', 1.0160683693954784)","('dustpan (2).jpg', 1.2145083099865643)","('cheesegrater (2).jpg', 1.0105391386498321)","('pokerchips (2).jpg', 1.0042803081631253)"
5,"('chair (2).jpg', 1.0000091255569876)","('beachpail (2).jpg', 0.9768312716739682)","('umbrella (2).jpg', 1.019548492100964)","('umbrella (2).jpg', 1.0194558472827373)","('umbrella (2).jpg', 1.0194558472827373)","('cheesegrater (2).jpg', 1.0151629565466216)","('cake (2).jpg', 1.0183204104685046)","('ovenmitt (2).jpg', 1.2536332707310522)","('toiletseat (2).jpg', 1.0135616501137683)","('dishrack (2).jpg', 1.0049077036788678)"
6,"('lamp (2).jpg', 1.0000091255569876)","('washer (2).jpg', 0.9787349589983679)","('computer (2).jpg', 1.0233174750502585)","('computer (2).jpg', 1.0228788529688126)","('computer (2).jpg', 1.0228788529688126)","('laundry (2).jpg', 1.0181944587943372)","('dustpan (2).jpg', 1.0299287383362206)","('cheesegrater (2).jpg', 1.2716637742742374)","('trophy (2).jpg', 1.015362949393203)","('dustpan (2).jpg', 1.0052564111854925)"
7,"('key (2).jpg', 1.0000091255569876)","('lifejacket (2).jpg', 0.978784557637801)","('cake (2).jpg', 1.0233803537577137)","('cake (2).jpg', 1.02336222619556)","('cake (2).jpg', 1.02336222619556)","('cake (2).jpg', 1.0183588836175346)","('nail (2).jpg', 1.0362300442921955)","('pot (2).jpg', 1.2730197906825187)","('dustpan (2).jpg', 1.016006885349372)","('ovenmitt (2).jpg', 1.0055295588686535)"
8,"('lock (2).jpg', 1.0000091255569876)","('bowlingball (2).jpg', 0.9788688172785444)","('garbagebag (2).jpg', 1.024652171088697)","('garbagebag (2).jpg', 1.024709898579527)","('garbagebag (2).jpg', 1.024709898579527)","('nail (2).jpg', 1.0204376339341075)","('washer (2).jpg', 1.0365222064608244)","('ironing (2).jpg', 1.308746160410233)","('backyard_grill (2).jpg', 1.0168904521072792)","('sippycup (2).jpg', 1.0055439720472965)"
9,"('lipstick (2).jpg', 1.0000091255569876)","('dumbbell (2).jpg', 0.9791824722228587)","('cheesegrater (2).jpg', 1.0337857556184402)","('cheesegrater (2).jpg', 1.0339049138347063)","('cheesegrater (2).jpg', 1.0339049138347063)","('crib (2).jpg', 1.0225438615606943)","('garbagebag (2).jpg', 1.0407591286364042)","('dresser (2).jpg', 1.3173634682353788)","('basketballrim (2).jpg', 1.0168913457177975)","('medal (2).jpg', 1.0056598746655727)"
