,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10
0,"('22chess', 0.9994710361086783)","('69tub', 0.823845721345914)","('70tv', 0.7342191465625724)","('70tv', 0.7342534921082949)","('70tv', 0.7342534921082949)","('11biking', 0.891790737919758)","('70tv', 0.7897828640926886)","('19carpet', 0.5590848956582406)","('26coathanging', 0.9607470279600111)","('67toy', 0.9904688660725146)"
1,"('06basketball', 0.9998742030873513)","('38groceryshopping', 0.8470190261199358)","('49livingroom-chair', 0.7993157776498065)","('49livingroom-chair', 0.7993622797439386)","('49livingroom-chair', 0.7993622797439386)","('49livingroom-chair', 0.9150502359447105)","('59pizza', 0.8533194372159406)","('01art', 0.6328035719748739)","('70tv', 0.9710232276600829)","('22chess', 0.9934347803461615)"
2,"('01art', 1.0000091889294935)","('01art', 0.8910123230402222)","('11biking', 0.8247958575829161)","('11biking', 0.8246902485943818)","('11biking', 0.8246902485943818)","('05baseball', 0.9151298814154853)","('49livingroom-chair', 0.888550812588624)","('15bowling', 0.6502457433099296)","('22chess', 0.9744678538528143)","('26coathanging', 0.994047790384117)"
3,"('52motorbike', 1.0000091889294935)","('44kayak', 0.9057920346894076)","('64tennis', 0.8526865507104741)","('64tennis', 0.8527935455140043)","('64tennis', 0.8527935455140043)","('64tennis', 0.9192538622115276)","('15bowling', 0.8952855677238797)","('44kayak', 0.666367795650342)","('68toys', 0.976002040450336)","('44kayak', 0.9943900936024704)"
4,"('51makeup', 1.0000091889294935)","('21cheese', 0.928457709162094)","('06basketball', 0.8905596694169479)","('06basketball', 0.8906252204661641)","('06basketball', 0.8906252204661641)","('70tv', 0.9279670554604859)","('11biking', 0.9050607634664871)","('05baseball', 0.6858809525393159)","('49livingroom-chair', 0.9764341380476022)","('19carpet', 0.9944489567280764)"
5,"('50lock', 1.0000091889294935)","('64tennis', 0.9380348993112119)","('19carpet', 0.8943332623710989)","('19carpet', 0.8940384666718094)","('19carpet', 0.8940384666718094)","('59pizza', 0.9317271480695904)","('06basketball', 0.9058071997582005)","('51makeup', 0.7234839691758068)","('02baby', 0.9797111944483765)","('68toys', 0.9944763766402671)"
6,"('49livingroom-chair', 1.0000091889294935)","('23childEating', 0.9420555992068541)","('59pizza', 0.9030152985424141)","('59pizza', 0.9030743806354052)","('59pizza', 0.9030743806354052)","('15bowling', 0.9455042654255097)","('19carpet', 0.9076530294316539)","('22chess', 0.7429925938203253)","('19carpet', 0.9812837741326838)","('39gun', 0.9945334759905425)"
7,"('48livingroom', 1.0000091889294935)","('73winter', 0.947025692234702)","('05baseball', 0.9165325753573124)","('05baseball', 0.9164413203356586)","('05baseball', 0.9164413203356586)","('06basketball', 0.9491666611610046)","('22chess', 0.9124787449601296)","('33fishtank', 0.7600899696616449)","('52motorbike', 0.9830263276892103)","('33fishtank', 0.9945457055676047)"
8,"('47laundry', 1.0000091889294935)","('63teethhygene', 0.949891597627464)","('15bowling', 0.9220034332330672)","('15bowling', 0.9220401490742355)","('15bowling', 0.9220401490742355)","('21cheese', 0.9654854895222427)","('64tennis', 0.9138809471448834)","('39gun', 0.7610905307832639)","('13birds', 0.9844870479699942)","('15bowling', 0.9953317613885947)"
9,"('46kitchen2', 1.0000091889294935)","('59pizza', 0.9520051800377337)","('21cheese', 0.9392965820223628)","('21cheese', 0.9393572583883842)","('21cheese', 0.9393572583883842)","('19carpet', 0.9657312244052072)","('01art', 0.9155363227847026)","('67toy', 0.7751468147973082)","('67toy', 0.9845454259857173)","('05baseball', 0.9955627797192742)"
