,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10
0,"('easel (2).jpg', 1.0000091255569876)","('fries (2).jpg', 1.3398145402260033)","('bike (2).jpg', 1.4899119398350495)","('bike (2).jpg', 1.4903335704822336)","('bike (2).jpg', 1.4903335704822336)","('carpet (2).jpg', 1.2629965834107433)","('rubberduck (2).jpg', 1.5818185091894137)","('carpet (2).jpg', 2.952988891350529)","('burger (2).jpg', 1.2363812350225374)","('bike (2).jpg', 1.0360342171868144)"
1,"('printer (2).jpg', 1.0000091255569876)","('pallette (2).jpg', 1.338480009335416)","('lamp (2).jpg', 1.444098359132427)","('lamp (2).jpg', 1.4441943808745537)","('lamp (2).jpg', 1.4441943808745537)","('lamp (2).jpg', 1.2498444383978768)","('carpet (2).jpg', 1.4545445001201394)","('rolette (2).jpg', 2.817146755082653)","('chicken (2).jpg', 1.1804685066343483)","('rolette (2).jpg', 1.0346633441331907)"
2,"('washer (2).jpg', 1.0000091255569876)","('tennisball (2).jpg', 1.3300496362476113)","('carpet (2).jpg', 1.4001165473535337)","('carpet (2).jpg', 1.4002553273875045)","('carpet (2).jpg', 1.4002553273875045)","('rubberduck (2).jpg', 1.2346912124559968)","('bike (2).jpg', 1.418672073642681)","('bike (2).jpg', 2.5484098157330095)","('rolette (2).jpg', 1.1711347844519358)","('burger (2).jpg', 1.0328990886922707)"
3,"('coffeetable (2).jpg', 1.0000091255569876)","('beachball (2).jpg', 1.2962872287016962)","('easel (2).jpg', 1.364748641578632)","('easel (2).jpg', 1.364990673499692)","('easel (2).jpg', 1.364990673499692)","('bike (2).jpg', 1.2212042362622704)","('rolette (2).jpg', 1.3521548080622092)","('bowlingball (2).jpg', 2.4058198550336383)","('bike (2).jpg', 1.1669919341646788)","('tractor (2).jpg', 1.029134952163701)"
4,"('sofa (2).jpg', 1.0000091255569876)","('rubberduck (2).jpg', 1.2730446138029474)","('rubberduck (2).jpg', 1.3054246221478372)","('rubberduck (2).jpg', 1.3054059827979678)","('rubberduck (2).jpg', 1.3054059827979678)","('coatrack (2).jpg', 1.1926303616310074)","('coatrack (2).jpg', 1.3360815794764467)","('coatrack (2).jpg', 2.2752952712382104)","('mailbox (2).jpg', 1.1477136712616707)","('motorcycle (2).jpg', 1.0288686623815302)"
5,"('chair (2).jpg', 1.0000091255569876)","('burger (2).jpg', 1.1861529496872738)","('pizza (2).jpg', 1.2831155600392063)","('pizza (2).jpg', 1.2832379353705468)","('pizza (2).jpg', 1.2832379353705468)","('pizza (2).jpg', 1.1742323304452436)","('lamp (2).jpg', 1.324543214086448)","('lamp (2).jpg', 2.214021648613518)","('motorcycle (2).jpg', 1.1451853946617387)","('horse (2).jpg', 1.0282971037774853)"
6,"('lamp (2).jpg', 1.0000091255569876)","('bag (2).jpg', 1.1859311971957813)","('tennisball (2).jpg', 1.2632561744561936)","('tennisball (2).jpg', 1.2632592532951008)","('tennisball (2).jpg', 1.2632592532951008)","('easel (2).jpg', 1.1691413737123728)","('chess (2).jpg', 1.2928046017831452)","('burger (2).jpg', 2.1935421421881456)","('hammer (2).jpg', 1.1438973716867904)","('handgun1 (2).JPG', 1.0277161131083794)"
7,"('key (2).jpg', 1.0000091255569876)","('carpet (2).jpg', 1.1815445039531418)","('pants (2).jpg', 1.2609575619852)","('pants (2).jpg', 1.260995861843341)","('pants (2).jpg', 1.260995861843341)","('rolette (2).jpg', 1.1615522198835615)","('excersiceequipment (2).jpg', 1.2708655289956703)","('motorhelmet (2).jpg', 2.191837744229887)","('carpet (2).jpg', 1.14352814146427)","('chicken (2).jpg', 1.02660150852749)"
8,"('lock (2).jpg', 1.0000091255569876)","('train (2).jpg', 1.1805825117513078)","('fries (2).jpg', 1.2494446287658778)","('fries (2).jpg', 1.2494151711708796)","('fries (2).jpg', 1.2494151711708796)","('train (2).jpg', 1.1575355826772937)","('train (2).jpg', 1.2703088917465324)","('pizza (2).jpg', 2.1876950530941315)","('bag (2).jpg', 1.1304518635355216)","('hammer (2).jpg', 1.0264953083833264)"
9,"('lipstick (2).jpg', 1.0000091255569876)","('pants (2).jpg', 1.1650051075673475)","('coatrack (2).jpg', 1.2386774236918159)","('coatrack (2).jpg', 1.238717421179767)","('coatrack (2).jpg', 1.238717421179767)","('television (2).jpg', 1.151810768803712)","('coffeetable (2).jpg', 1.2577078121064573)","('tractor (2).jpg', 2.1751741279584555)","('fish (2).jpg', 1.12905843469012)","('lamp (2).jpg', 1.0256174867088284)"
