,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10
0,"('chesspiece (2).jpg', 0.9994464597613429)","('lego (2).jpg', 0.923639796769915)","('balloon (2).jpg', 0.9731315337428498)","('balloon (2).jpg', 0.9730046520842619)","('balloon (2).jpg', 0.9730046520842619)","('toothbrush (2).jpg', 0.9823258921418796)","('toothbrush (2).jpg', 0.9806109176035616)","('laundry (2).jpg', 1.1003908787056416)","('laundry (2).jpg', 1.231475466604358)","('laundry (2).jpg', 1.1773177770465557)"
1,"('basketball (2).jpg', 0.9997409806202358)","('balloon (2).jpg', 0.9387446416815326)","('toothbrush (2).jpg', 0.9770002178195444)","('toothbrush (2).jpg', 0.9770589439427694)","('toothbrush (2).jpg', 0.9770589439427694)","('balloon (2).jpg', 0.9969755081377205)","('rainboots (2).jpg', 1.014661564998147)","('rainboots (2).jpg', 1.1741538160636258)","('dustpan (2).jpg', 1.3044752890151017)","('dustpan (2).jpg', 1.2617739876028529)"
2,"('easel (2).jpg', 1.0000091255569876)","('toothbrush (2).jpg', 0.9659037435757225)","('lego (2).jpg', 0.9786012780836684)","('lego (2).jpg', 0.9789432588431851)","('lego (2).jpg', 0.9789432588431851)","('fishbowl (2).jpg', 0.9997382156113102)","('broom (2).jpg', 1.0359929338393434)","('nail (2).jpg', 1.1803132644845868)","('basketballrim (2).jpg', 1.3163305345878011)","('pokerchips (2).jpg', 1.3090481904733762)"
3,"('coffeetable (2).jpg', 1.0000091255569876)","('stroller (2).jpg', 0.9668502036435922)","('broom (2).jpg', 0.9825675054048031)","('broom (2).jpg', 0.9825289845853765)","('broom (2).jpg', 0.9825289845853765)","('bowlingball (2).jpg', 1.001431101411029)","('beachchair (2).jpg', 1.0413461691074652)","('fishbowl (2).jpg', 1.2513635639459424)","('nail (2).jpg', 1.3580233492286207)","('basketballrim (2).jpg', 1.3125054642236345)"
4,"('sofa (2).jpg', 1.0000091255569876)","('broom (2).jpg', 0.9710243001516635)","('bat (2).jpg', 0.9832116670734036)","('bat (2).jpg', 0.9836324520312508)","('bat (2).jpg', 0.9836324520312508)","('rainboots (2).jpg', 1.00146807314592)","('punchingbag (2).jpg', 1.0417890964041288)","('ovenmitt (2).jpg', 1.2618346898871473)","('dumbbell (2).jpg', 1.3731092704211203)","('balloon (2).jpg', 1.3299444379443335)"
5,"('chair (2).jpg', 1.0000091255569876)","('washer (2).jpg', 0.9751537778775184)","('dumbbell (2).jpg', 0.9889943796835058)","('dumbbell (2).jpg', 0.988668207368356)","('dumbbell (2).jpg', 0.988668207368356)","('fish (2).jpg', 1.0068725981521205)","('dustpan (2).jpg', 1.044488492775125)","('ironing (2).jpg', 1.2741971001287933)","('pokerchips (2).jpg', 1.3876493975392599)","('dumbbell (2).jpg', 1.3339838386479606)"
6,"('lamp (2).jpg', 1.0000091255569876)","('lifejacket (2).jpg', 0.9847630217214816)","('fish (2).jpg', 0.9924619051221577)","('fish (2).jpg', 0.9919717298166387)","('fish (2).jpg', 0.9919717298166387)","('lego (2).jpg', 1.0092825371899672)","('fishbowl (2).jpg', 1.0450249198332897)","('trophy (2).jpg', 1.2916663519549985)","('rainboots (2).jpg', 1.38892298838068)","('rainboots (2).jpg', 1.3571593987305435)"
7,"('key (2).jpg', 1.0000091255569876)","('bowlingball (2).jpg', 0.989110190384771)","('cheesegrater (2).jpg', 0.9946152528762762)","('cheesegrater (2).jpg', 0.9941682352660804)","('cheesegrater (2).jpg', 0.9941682352660804)","('dumbbell (2).jpg', 1.0100739513175343)","('medal (2).jpg', 1.0457735514410293)","('stroller (2).jpg', 1.3035724008965357)","('balloon (2).jpg', 1.4043487504870367)","('nail (2).jpg', 1.3576616784408124)"
8,"('lock (2).jpg', 1.0000091255569876)","('dustpan (2).jpg', 0.9911115833667412)","('sushi (2).jpg', 0.9960680453994878)","('sushi (2).jpg', 0.9967568007841062)","('sushi (2).jpg', 0.9967568007841062)","('laundry (2).jpg', 1.0102660533208252)","('tent (2).jpg', 1.049224093225327)","('chair (2).jpg', 1.3145083603311765)","('board (2).jpg', 1.4071992806933624)","('board (2).jpg', 1.3625742254175532)"
9,"('lipstick (2).jpg', 1.0000091255569876)","('cake (2).jpg', 0.9938792943113527)","('washer (2).jpg', 0.998253510931147)","('desk (2).jpg', 0.9981756584813472)","('desk (2).jpg', 0.9981756584813472)","('desk (2).jpg', 1.0114796647126567)","('ironing (2).jpg', 1.0495894394960321)","('garbagebin (2).jpg', 1.3176610720023445)","('garbagebin (2).jpg', 1.4382584972666286)","('belt (2).jpg', 1.380884753860623)"
