,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10
0,"('22chess', 0.9994710361086783)","('69tub', 0.8649173025377351)","('64tennis', 0.9223999139389111)","('64tennis', 0.9225283147724744)","('64tennis', 0.9225283147724744)","('64tennis', 0.9324072242658686)","('38groceryshopping', 0.8543164787858298)","('01art', 0.5026935076472662)","('19carpet', 0.5560964006602619)","('19carpet', 0.5642768994085702)"
1,"('06basketball', 0.9998742030873513)","('38groceryshopping', 0.9056495403423125)","('21cheese', 0.9500568930955804)","('21cheese', 0.9508089978571819)","('21cheese', 0.9508089978571819)","('05baseball', 0.9505341907174694)","('01art', 0.8867096244420499)","('47laundry', 0.7554634185405911)","('59pizza', 0.6861041408691831)","('59pizza', 0.5874776472555043)"
2,"('01art', 1.0000091889294935)","('21cheese', 0.9194862695803775)","('69tub', 0.9688213742767406)","('69tub', 0.9699502421800839)","('69tub', 0.9699502421800839)","('28construction', 0.955219170763248)","('63teethhygene', 0.9154579500938909)","('19carpet', 0.7625262865029505)","('25clothing', 0.6945029231698728)","('01art', 0.7537243659998749)"
3,"('52motorbike', 1.0000091889294935)","('01art', 0.925334299836317)","('28construction', 0.9714889412171438)","('28construction', 0.9715677859301693)","('28construction', 0.9715677859301693)","('21cheese', 0.9604085039241884)","('05baseball', 0.9180070864178891)","('51makeup', 0.7766641267360996)","('01art', 0.6949091879479995)","('25clothing', 0.7541059589407509)"
4,"('51makeup', 1.0000091889294935)","('64tennis', 0.9403113498310903)","('62sushi', 0.9754220869485274)","('62sushi', 0.9745099096643977)","('62sushi', 0.9745099096643977)","('51makeup', 0.9698209108150986)","('19carpet', 0.9264509207385585)","('12birdcage', 0.7877123919630782)","('38groceryshopping', 0.740427151288703)","('02baby', 0.7664824620158427)"
5,"('50lock', 1.0000091889294935)","('23childEating', 0.9542484458755588)","('38groceryshopping', 0.9786668956654746)","('38groceryshopping', 0.9783634557837333)","('38groceryshopping', 0.9783634557837333)","('63teethhygene', 0.9787914649395022)","('59pizza', 0.9334518824891748)","('02baby', 0.7960295141383961)","('28construction', 0.8220397967455232)","('12birdcage', 0.8387915131498909)"
6,"('49livingroom-chair', 1.0000091889294935)","('44kayak', 0.9558942624950376)","('05baseball', 0.9834082470758257)","('05baseball', 0.9824144368332158)","('05baseball', 0.9824144368332158)","('70tv', 0.9838981307085667)","('70tv', 0.9383492945185306)","('39gun', 0.8162990131109541)","('12birdcage', 0.8274576469572518)","('22chess', 0.8733303617306022)"
7,"('48livingroom', 1.0000091889294935)","('59pizza', 0.9633366712967815)","('44kayak', 0.9848559511705477)","('44kayak', 0.9845713655422955)","('44kayak', 0.9845713655422955)","('24cleaning', 0.9851176815032225)","('64tennis', 0.9479313743863383)","('67toy', 0.8367053426621907)","('22chess', 0.8410869992641925)","('28construction', 0.8753889249659274)"
8,"('47laundry', 1.0000091889294935)","('73winter', 0.9640588444546735)","('24cleaning', 0.986353349951436)","('24cleaning', 0.9859811001248976)","('24cleaning', 0.9859811001248976)","('44kayak', 0.987021944633382)","('21cheese', 0.9526423663091501)","('38groceryshopping', 0.8408407363807466)","('67toy', 0.8514575774066424)","('38groceryshopping', 0.8897747320090394)"
9,"('46kitchen2', 1.0000091889294935)","('63teethhygene', 0.978998801810079)","('01art', 0.9881454784609038)","('63teethhygene', 0.9888043830496913)","('63teethhygene', 0.9888043830496913)","('33fishtank', 0.9876888898083499)","('51makeup', 0.9553581118780399)","('68toys', 0.8662143733984863)","('02baby', 0.8516386570313645)","('68toys', 0.9178753410840632)"
