,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10
0,"('chesspiece (2).jpg', 0.9994464597613429)","('lego (2).jpg', 0.9065271306942181)","('bathrobe (2).jpg', 0.9946861972365967)","('bathrobe (2).jpg', 0.9951792415206243)","('bathrobe (2).jpg', 0.9951792415206243)","('chopsticks (2).jpg', 0.9518931396542831)","('balloon (2).jpg', 1.01084402606241)","('basketballrim (2).jpg', 1.1164118043000155)","('dustpan (2).jpg', 0.9580115103767591)","('broom (2).jpg', 0.9975251756834568)"
1,"('basketball (2).jpg', 0.9997409806202358)","('balloon (2).jpg', 0.9445810831556194)","('strecher (2).jpg', 0.9980515594952835)","('strecher (2).jpg', 0.9964944674758239)","('strecher (2).jpg', 0.9964944674758239)","('balloon (2).jpg', 0.9806734861197948)","('rainboots (2).jpg', 1.016152417650581)","('dustpan (2).jpg', 1.1245590154808562)","('garbagebin (2).jpg', 0.9807036383762435)","('nail (2).jpg', 0.9979899287038468)"
2,"('easel (2).jpg', 1.0000091255569876)","('broom (2).jpg', 0.9508836526331019)","('bowlingpin (2).jpg', 1.000504138376953)","('bowlingpin (2).jpg', 0.9988517682919262)","('bowlingpin (2).jpg', 0.9988517682919262)","('nail (2).jpg', 0.985636060603131)","('nail (2).jpg', 1.0243088438501418)","('laundry (2).jpg', 1.134201483911415)","('punchingbag (2).jpg', 0.9810830391740781)","('dustpan (2).jpg', 0.9989420604120531)"
3,"('coffeetable (2).jpg', 1.0000091255569876)","('toothbrush (2).jpg', 0.9698356370666925)","('helmet (2).jpg', 1.002769441978363)","('nail (2).jpg', 0.9999736132720951)","('nail (2).jpg', 0.9999736132720951)","('fish (2).jpg', 1.0027812212300065)","('fish (2).jpg', 1.0246885080874693)","('cheesegrater (2).jpg', 1.1436331899057046)","('laundry (2).jpg', 0.982112441644451)","('basketballrim (2).jpg', 0.9989527298685552)"
4,"('sofa (2).jpg', 1.0000091255569876)","('stroller (2).jpg', 0.9723588407792939)","('nail (2).jpg', 1.0033524742611395)","('helmet (2).jpg', 1.003946667074802)","('helmet (2).jpg', 1.003946667074802)","('washer (2).jpg', 1.0088268869955874)","('cheesegrater (2).jpg', 1.0283276238722694)","('chair (2).jpg', 1.1632465747635405)","('tub (2).jpg', 0.9832096771939329)","('hairdryer (2).jpg', 0.9998197793786677)"
5,"('chair (2).jpg', 1.0000091255569876)","('washer (2).jpg', 0.9737809042635908)","('umbrella (2).jpg', 1.005252415282328)","('umbrella (2).jpg', 1.0041601364839494)","('umbrella (2).jpg', 1.0041601364839494)","('cheesegrater (2).jpg', 1.0093458693355293)","('cake (2).jpg', 1.0351441620175392)","('golfclubs (2).jpg', 1.1637496472393263)","('beachpail (2).jpg', 0.9860624341846899)","('beachchair (2).jpg', 1.000401789198868)"
6,"('lamp (2).jpg', 1.0000091255569876)","('dustpan (2).jpg', 0.9844103765700005)","('fish (2).jpg', 1.0090600949686497)","('fish (2).jpg', 1.0088864783352733)","('fish (2).jpg', 1.0088864783352733)","('kayak (2).jpg', 1.0145632490879533)","('garbagebag (2).jpg', 1.0401145136134413)","('ironing (2).jpg', 1.168433902071943)","('boxing_gloves (2).jpg', 0.9860709370022488)","('desk (2).jpg', 1.0004430756147413)"
7,"('key (2).jpg', 1.0000091255569876)","('cake (2).jpg', 0.9851661680025176)","('computer (2).jpg', 1.0117468426611107)","('computer (2).jpg', 1.0107119600094003)","('computer (2).jpg', 1.0107119600094003)","('fishbowl (2).jpg', 1.0190321365633639)","('basketballrim (2).jpg', 1.0427853071028907)","('desk (2).jpg', 1.172196110407732)","('nail (2).jpg', 0.9886307430561697)","('pokerchips (2).jpg', 1.0006100222002188)"
8,"('lock (2).jpg', 1.0000091255569876)","('bat (2).jpg', 0.9896751378174333)","('garbagebag (2).jpg', 1.013483676335847)","('rearview_mirror (2).jpg', 1.013574569116317)","('rearview_mirror (2).jpg', 1.013574569116317)","('garbagebag (2).jpg', 1.0221631799214705)","('birdcage (2).jpg', 1.0451673176811902)","('cake (2).jpg', 1.172969024480134)","('baseballball (2).jpg', 0.9902729643463966)","('beachumbrella (2).jpg', 1.000654404141217)"
9,"('lipstick (2).jpg', 1.0000091255569876)","('beachpail (2).jpg', 0.9946888880874587)","('stove (2).jpg', 1.0137674572579272)","('garbagebag (2).jpg', 1.0143981248938894)","('garbagebag (2).jpg', 1.0143981248938894)","('cake (2).jpg', 1.02551315327202)","('sushi (2).jpg', 1.047141935798451)","('beachchair (2).jpg', 1.1819327535081747)","('cart (2).jpg', 0.9906399035871372)","('dumbbell (2).jpg', 1.000671644598415)"
