,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10
0,"('easel (2).jpg', 1.0000091255569876)","('fries (2).jpg', 1.3211526909808828)","('lamp (2).jpg', 1.4176182464451974)","('lamp (2).jpg', 1.4241450551850667)","('lamp (2).jpg', 1.4241450551850667)","('lamp (2).jpg', 1.322280773644736)","('carpet (2).jpg', 1.3546453736988386)","('coatrack (2).jpg', 2.017320506459109)","('burger (2).jpg', 1.1544198825195928)","('burger (2).jpg', 1.0129784367549175)"
1,"('printer (2).jpg', 1.0000091255569876)","('tennisball (2).jpg', 1.240066274540779)","('bike (2).jpg', 1.3880682357981886)","('bike (2).jpg', 1.395877357640083)","('bike (2).jpg', 1.395877357640083)","('carpet (2).jpg', 1.2534099151765274)","('lamp (2).jpg', 1.349771148073806)","('lamp (2).jpg', 1.988320551887474)","('trafficlight (2).jpg', 1.0612407284691927)","('rolette (2).jpg', 1.011071108242532)"
2,"('washer (2).jpg', 1.0000091255569876)","('pallette (2).jpg', 1.2380792004888352)","('rubberduck (2).jpg', 1.3069746886217253)","('rubberduck (2).jpg', 1.3082758186199217)","('rubberduck (2).jpg', 1.3082758186199217)","('pizza (2).jpg', 1.235902269854026)","('pizza (2).jpg', 1.335360016907167)","('carpet (2).jpg', 1.980086061739022)","('rolette (2).jpg', 1.0605983422138665)","('bike (2).jpg', 1.0094114692147287)"
3,"('coffeetable (2).jpg', 1.0000091255569876)","('rubberduck (2).jpg', 1.2078428261491456)","('easel (2).jpg', 1.2692233857484123)","('easel (2).jpg', 1.2727959149285102)","('easel (2).jpg', 1.2727959149285102)","('coatrack (2).jpg', 1.2261441310970835)","('rubberduck (2).jpg', 1.3252636967913236)","('rolette (2).jpg', 1.9690096487789825)","('tractor (2).jpg', 1.0602910370569674)","('horse (2).jpg', 1.0076523833519406)"
4,"('sofa (2).jpg', 1.0000091255569876)","('beachball (2).jpg', 1.20131982218784)","('carpet (2).jpg', 1.2619902405922592)","('carpet (2).jpg', 1.263620974855893)","('carpet (2).jpg', 1.263620974855893)","('rubberduck (2).jpg', 1.2014589822774553)","('rolette (2).jpg', 1.2974266840298898)","('bike (2).jpg', 1.8810676727660087)","('coat (2).jpg', 1.0518539195656633)","('bowlingball (2).jpg', 1.0066703768512695)"
5,"('chair (2).jpg', 1.0000091255569876)","('sippycup (2).jpg', 1.1604407030419466)","('tennisball (2).jpg', 1.2497491714424538)","('tennisball (2).jpg', 1.2531279708123972)","('tennisball (2).jpg', 1.2531279708123972)","('rolette (2).jpg', 1.165278166650851)","('coatrack (2).jpg', 1.2928085399459586)","('bowlingball (2).jpg', 1.7847712735941466)","('chicken (2).jpg', 1.049740119216145)","('helm2.jpg', 1.0063431898519644)"
6,"('lamp (2).jpg', 1.0000091255569876)","('pizza (2).jpg', 1.1571487290266194)","('coatrack (2).jpg', 1.2225897850289922)","('coatrack (2).jpg', 1.2255612682225183)","('coatrack (2).jpg', 1.2255612682225183)","('helmet (2).jpg', 1.1490758313380092)","('toothbrush (2).jpg', 1.2808086649046673)","('pizza (2).jpg', 1.7462932769319541)","('handgun1 (2).JPG', 1.048393402210714)","('remotecontrol (2).jpg', 1.0061028636415152)"
7,"('key (2).jpg', 1.0000091255569876)","('carpet (2).jpg', 1.1492976209089456)","('pizza (2).jpg', 1.1999759441269735)","('pizza (2).jpg', 1.202343179379604)","('pizza (2).jpg', 1.202343179379604)","('bike (2).jpg', 1.1474536283284866)","('scissors (2).jpg', 1.263411732738552)","('toothbrush (2).jpg', 1.7337616555368927)","('coatrack (2).jpg', 1.0475075213933984)","('lock (2).jpg', 1.006096953844929)"
8,"('lock (2).jpg', 1.0000091255569876)","('pancake (2).jpg', 1.146437211463172)","('pants (2).jpg', 1.1930417575893626)","('pants (2).jpg', 1.1946253748197688)","('pants (2).jpg', 1.1946253748197688)","('easel (2).jpg', 1.1467476438088884)","('baseballball (2).jpg', 1.2411946735509765)","('scissors (2).jpg', 1.6784623699678416)","('umbrella (2).jpg', 1.0458910934081231)","('tractor (2).jpg', 1.0060755886047372)"
9,"('lipstick (2).jpg', 1.0000091255569876)","('burger (2).jpg', 1.1385136950611983)","('fries (2).jpg', 1.1913631068716752)","('rolette (2).jpg', 1.1927550297706124)","('rolette (2).jpg', 1.1927550297706124)","('roadsign (2).jpg', 1.1463643398739032)","('bowlingball (2).jpg', 1.2343156275563487)","('remotecontrol (2).jpg', 1.6669901192987682)","('chesspiece (2).jpg', 1.0453083568825996)","('motorcycle (2).jpg', 1.006025013053907)"
