,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10,Layer14_bottom10,Layer15_bottom10,Layer16_bottom10,Layer17_bottom10,Layer18_bottom10,Layer19_bottom10,Layer20_bottom10,Layer21_bottom10,Layer22_bottom10,Layer23_bottom10,Layer24_bottom10,Layer25_bottom10,Layer26_bottom10,Layer27_bottom10,Layer28_bottom10,Layer29_bottom10,Layer30_bottom10,Layer31_bottom10
0,"('chesspiece (2).jpg', 0.9994464597613429)","('lego (2).jpg', 0.9698811399081437)","('lego (2).jpg', 0.9723832088950141)","('lego (2).jpg', 0.9111719128805607)","('lego (2).jpg', 0.9111777142007441)","('lego (2).jpg', 0.9111777142007441)","('dumbbell (2).jpg', 0.9221761051072639)","('dumbbell (2).jpg', 0.9221796458889343)","('bat (2).jpg', 0.7610064290822487)","('bat (2).jpg', 0.7610064290822487)","('bat (2).jpg', 0.7610064290822487)","('toothbrush (2).jpg', 0.9078978253653014)","('toothbrush (2).jpg', 0.907869721388791)","('toothbrush (2).jpg', 0.9341875614447256)","('toothbrush (2).jpg', 0.9342010385593914)","('toothbrush (2).jpg', 0.8873449730212324)","('toothbrush (2).jpg', 0.8870700549285891)","('toothbrush (2).jpg', 0.8870700549285891)","('cake (2).jpg', 1.0488094339419347)","('cake (2).jpg', 1.0489222042907378)","('nail (2).jpg', 1.0798196400242586)","('nail (2).jpg', 1.0770562772955026)","('laundry (2).jpg', 1.2386284937054064)","('laundry (2).jpg', 1.2463706359851194)","('laundry (2).jpg', 1.2463706359851194)","('laundry (2).jpg', 1.33242032259334)","('laundry (2).jpg', 1.3375769048125994)","('basketballrim (2).jpg', 1.5081961060080706)","('basketballrim (2).jpg', 1.5136379342277928)","('chicken (2).jpg', -40.90407870442904)","('chicken (2).jpg', -82.88784590903748)"
1,"('basketball (2).jpg', 0.9997409806202358)","('balloon (2).jpg', 0.9845029351776864)","('balloon (2).jpg', 0.984515180928354)","('cake (2).jpg', 0.9290623516842402)","('cake (2).jpg', 0.9290720733943605)","('cake (2).jpg', 0.9290720733943605)","('dustpan (2).jpg', 0.92449500430409)","('dustpan (2).jpg', 0.9244975022795837)","('toothbrush (2).jpg', 0.7695863441132929)","('toothbrush (2).jpg', 0.7695863441132929)","('toothbrush (2).jpg', 0.7695863441132929)","('bat (2).jpg', 0.917143098330343)","('bat (2).jpg', 0.9164434720432526)","('fishbowl (2).jpg', 0.9899169861771311)","('fishbowl (2).jpg', 0.9899242479505922)","('rainboots (2).jpg', 1.0176828819478965)","('rainboots (2).jpg', 1.0176910825521128)","('rainboots (2).jpg', 1.0176910825521128)","('nail (2).jpg', 1.0616078930664743)","('nail (2).jpg', 1.059101226253261)","('laundry (2).jpg', 1.1163442474259726)","('laundry (2).jpg', 1.1187724308600684)","('ovenmitt (2).jpg', 1.3397278463714861)","('nail (2).jpg', 1.3404615713423516)","('nail (2).jpg', 1.3404615713423516)","('basketballrim (2).jpg', 1.3672081844230917)","('basketballrim (2).jpg', 1.371657367267891)","('laundry (2).jpg', 1.5740958178233206)","('laundry (2).jpg', 1.6047046081497174)","('laundry (2).jpg', 1.6879943015863166)","('laundry (2).jpg', 1.8326019707637227)"
2,"('easel (2).jpg', 1.0000091255569876)","('rainboots (2).jpg', 0.9852352207902921)","('rainboots (2).jpg', 0.9849303131316411)","('toothbrush (2).jpg', 0.9339551461785436)","('toothbrush (2).jpg', 0.9339594754805984)","('toothbrush (2).jpg', 0.9339594754805984)","('toothbrush (2).jpg', 0.9327892303160931)","('toothbrush (2).jpg', 0.9327928155317536)","('broom (2).jpg', 0.9525910182595292)","('broom (2).jpg', 0.9525910182595292)","('broom (2).jpg', 0.9525910182595292)","('broom (2).jpg', 1.007303131971363)","('broom (2).jpg', 1.0072485884257343)","('sushi (2).jpg', 1.0175281589807585)","('sushi (2).jpg', 1.0175276439512215)","('laundry (2).jpg', 1.0621633424102437)","('laundry (2).jpg', 1.0621644833165882)","('laundry (2).jpg', 1.0621644833165882)","('fishbowl (2).jpg', 1.0761624641552043)","('fishbowl (2).jpg', 1.0762893783934364)","('fishbowl (2).jpg', 1.19321285768472)","('fishbowl (2).jpg', 1.1980406384024178)","('nail (2).jpg', 1.343080308493134)","('ovenmitt (2).jpg', 1.3444327261201645)","('ovenmitt (2).jpg', 1.3444327261201645)","('ovenmitt (2).jpg', 1.4093818641163167)","('ovenmitt (2).jpg', 1.4173694537133434)","('chair (2).jpg', 1.5994834185219926)","('chair (2).jpg', 1.6312521217094973)","('basketballrim (2).jpg', 1.8389029949667468)","('basketballrim (2).jpg', 1.932040874189797)"
3,"('coffeetable (2).jpg', 1.0000091255569876)","('cake (2).jpg', 0.9878178221013544)","('cake (2).jpg', 0.9875896245290265)","('dumbbell (2).jpg', 0.9553267606446517)","('dumbbell (2).jpg', 0.9553261426268427)","('dumbbell (2).jpg', 0.9553261426268427)","('bat (2).jpg', 0.9491514383047497)","('bat (2).jpg', 0.9491526835764871)","('balloon (2).jpg', 0.9773055330493539)","('balloon (2).jpg', 0.9773055330493539)","('balloon (2).jpg', 0.9773055330493539)","('nail (2).jpg', 1.0128971687365234)","('nail (2).jpg', 1.0112866414763775)","('dustpan (2).jpg', 1.0202040393238154)","('dustpan (2).jpg', 1.0201946311403174)","('balloon (2).jpg', 1.069301953723752)","('balloon (2).jpg', 1.069256484763487)","('balloon (2).jpg', 1.069256484763487)","('laundry (2).jpg', 1.088983096142386)","('laundry (2).jpg', 1.0892197632747305)","('kayak (2).jpg', 1.236074077571017)","('kayak (2).jpg', 1.2362865082945498)","('chair (2).jpg', 1.3935617897766248)","('dustpan (2).jpg', 1.3964486692844484)","('dustpan (2).jpg', 1.3964486692844484)","('nail (2).jpg', 1.4269215608865802)","('nail (2).jpg', 1.4323922261525461)","('dumbbell (2).jpg', 1.6702302072497415)","('dumbbell (2).jpg', 1.7052424038363703)","('dustpan (2).jpg', 1.923049260011197)","('dustpan (2).jpg', 2.0032872575832767)"
4,"('sofa (2).jpg', 1.0000091255569876)","('dustpan (2).jpg', 0.9886541793996507)","('toothbrush (2).jpg', 0.9893208501327441)","('broom (2).jpg', 0.9562548912942056)","('broom (2).jpg', 0.9562620091808598)","('broom (2).jpg', 0.9562620091808598)","('fish (2).jpg', 0.9679934304234553)","('fish (2).jpg', 0.9679892869688554)","('chopsticks (2).jpg', 0.9829887711911419)","('chopsticks (2).jpg', 0.9829887711911419)","('chopsticks (2).jpg', 0.9829887711911419)","('rainboots (2).jpg', 1.0138427419908427)","('rainboots (2).jpg', 1.0137501791459234)","('balloon (2).jpg', 1.029530288933098)","('balloon (2).jpg', 1.0295342705232984)","('dustpan (2).jpg', 1.0733953060709975)","('dustpan (2).jpg', 1.0734486755562649)","('dustpan (2).jpg', 1.0734486755562649)","('toothbrush (2).jpg', 1.0953360707415651)","('toothbrush (2).jpg', 1.0917665960750813)","('rainboots (2).jpg', 1.252008447933151)","('rainboots (2).jpg', 1.2542539446548329)","('dustpan (2).jpg', 1.3995772550906223)","('chair (2).jpg', 1.4010747772631191)","('chair (2).jpg', 1.4010747772631191)","('ironing (2).jpg', 1.4736910365664204)","('ironing (2).jpg', 1.4758781187649266)","('nail (2).jpg', 1.7792407261434893)","('can (2).jpg', 1.8254021215196705)","('chair (2).jpg', 2.0612694878590436)","('chair (2).jpg', 2.254388470665086)"
5,"('chair (2).jpg', 1.0000091255569876)","('toothbrush (2).jpg', 0.9891974096323102)","('dustpan (2).jpg', 0.9904498742461927)","('sushi (2).jpg', 0.9615287121805478)","('sushi (2).jpg', 0.9615343649199102)","('sushi (2).jpg', 0.9615343649199102)","('cake (2).jpg', 0.9711278275395967)","('cake (2).jpg', 0.9711269957230285)","('cake (2).jpg', 1.007263492535275)","('cake (2).jpg', 1.007263492535275)","('cake (2).jpg', 1.007263492535275)","('balloon (2).jpg', 1.0166229606159856)","('balloon (2).jpg', 1.0165506676645097)","('bat (2).jpg', 1.0306796010466224)","('bat (2).jpg', 1.0309344660086472)","('fishbowl (2).jpg', 1.0805776990441147)","('fishbowl (2).jpg', 1.080696096479672)","('fishbowl (2).jpg', 1.080696096479672)","('balloon (2).jpg', 1.1380134955873562)","('balloon (2).jpg', 1.1383614993969051)","('medal (2).jpg', 1.2718607247957272)","('medal (2).jpg', 1.2731191377548867)","('basketballrim (2).jpg', 1.420918239649959)","('basketballrim (2).jpg', 1.428978004567643)","('basketballrim (2).jpg', 1.428978004567643)","('chair (2).jpg', 1.4753926285377004)","('chair (2).jpg', 1.481822887704688)","('birdcage (2).jpg', 1.7912946662885332)","('ironing (2).jpg', 1.8258819961784742)","('dumbbell (2).jpg', 2.126266498950649)","('dumbbell (2).jpg', 2.287622924517376)"
6,"('lamp (2).jpg', 1.0000091255569876)","('stroller (2).jpg', 0.9913743107682005)","('stroller (2).jpg', 0.9913860444580089)","('balloon (2).jpg', 0.9675670711276816)","('balloon (2).jpg', 0.9675793036484461)","('balloon (2).jpg', 0.9675793036484461)","('stroller (2).jpg', 0.9754563617334225)","('stroller (2).jpg', 0.9754590462841766)","('fish (2).jpg', 1.0077396182905334)","('fish (2).jpg', 1.0077396182905334)","('fish (2).jpg', 1.0077396182905334)","('washer (2).jpg', 1.0227750501942143)","('washer (2).jpg', 1.0227679544464325)","('rainboots (2).jpg', 1.0392612499946585)","('rainboots (2).jpg', 1.039269338720839)","('cake (2).jpg', 1.0912353698899253)","('cake (2).jpg', 1.0912077165319187)","('cake (2).jpg', 1.0912077165319187)","('dustpan (2).jpg', 1.156106974670482)","('dustpan (2).jpg', 1.1551068566736151)","('sippycup (2).jpg', 1.2764539732659388)","('sippycup (2).jpg', 1.2784296863844362)","('sippycup (2).jpg', 1.4343241311716335)","('sippycup (2).jpg', 1.443665749179697)","('sippycup (2).jpg', 1.443665749179697)","('dustpan (2).jpg', 1.4796180800842713)","('dustpan (2).jpg', 1.484846042250723)","('ovenmitt (2).jpg', 1.7940176069479152)","('ovenmitt (2).jpg', 1.8306260356621606)","('ovenmitt (2).jpg', 2.2108981727560164)","('backyard_grill (2).jpg', 2.3771875491231005)"
7,"('key (2).jpg', 1.0000091255569876)","('bat (2).jpg', 0.992109774143308)","('bat (2).jpg', 0.99298463688559)","('dustpan (2).jpg', 0.9678000345773773)","('dustpan (2).jpg', 0.9678043618908689)","('dustpan (2).jpg', 0.9678043618908689)","('balloon (2).jpg', 0.9869501448242458)","('balloon (2).jpg', 0.986955222052937)","('dustpan (2).jpg', 1.009785845695529)","('dustpan (2).jpg', 1.009785845695529)","('dustpan (2).jpg', 1.009785845695529)","('dustpan (2).jpg', 1.0326089070855367)","('dustpan (2).jpg', 1.0328463660914151)","('broom (2).jpg', 1.0405719660144277)","('broom (2).jpg', 1.0405747862556283)","('nail (2).jpg', 1.1188472915400638)","('nail (2).jpg', 1.1189816883670844)","('nail (2).jpg', 1.1189816883670844)","('sippycup (2).jpg', 1.1655784623336105)","('sippycup (2).jpg', 1.16580649638398)","('ovenmitt (2).jpg', 1.282664549146975)","('ovenmitt (2).jpg', 1.2842942062157459)","('rainboots (2).jpg', 1.4637643795208672)","('ironing (2).jpg', 1.4713936364144107)","('ironing (2).jpg', 1.4713936364144107)","('dumbbell (2).jpg', 1.4959182576936063)","('dumbbell (2).jpg', 1.503109161909458)","('can (2).jpg', 1.7942577888130784)","('birdcage (2).jpg', 1.8376862005078052)","('backyard_grill (2).jpg', 2.2219385763079798)","('ovenmitt (2).jpg', 2.389050550793466)"
8,"('lock (2).jpg', 1.0000091255569876)","('dumbbell (2).jpg', 0.9921942154258383)","('dumbbell (2).jpg', 0.9931408593062752)","('trafficlight (2).jpg', 0.9754053978833347)","('trafficlight (2).jpg', 0.9754100223382866)","('trafficlight (2).jpg', 0.9754100223382866)","('chopsticks (2).jpg', 0.990949126491623)","('chopsticks (2).jpg', 0.990950896614988)","('trafficlight (2).jpg', 1.0132955108882937)","('trafficlight (2).jpg', 1.0132955108882937)","('trafficlight (2).jpg', 1.0132955108882937)","('trafficlight (2).jpg', 1.0358809003259741)","('trafficlight (2).jpg', 1.035823995959007)","('nail (2).jpg', 1.041213119536239)","('nail (2).jpg', 1.041877389579449)","('ovenmitt (2).jpg', 1.133772146780769)","('ovenmitt (2).jpg', 1.1337943258833747)","('ovenmitt (2).jpg', 1.1337943258833747)","('kayak (2).jpg', 1.1689335565801866)","('kayak (2).jpg', 1.168750315884278)","('dustpan (2).jpg', 1.297703645273337)","('dustpan (2).jpg', 1.295811319945762)","('ironing (2).jpg', 1.4657974674500684)","('rainboots (2).jpg', 1.4743496465488721)","('rainboots (2).jpg', 1.4743496465488721)","('birdcage (2).jpg', 1.5137111773053862)","('birdcage (2).jpg', 1.5144853319144937)","('ironing (2).jpg', 1.7985686204108842)","('nail (2).jpg', 1.840575560317475)","('medal (2).jpg', 2.254096618718995)","('cheesegrater (2).jpg', 2.4177131725892846)"
9,"('lipstick (2).jpg', 1.0000091255569876)","('garbagebin (2).jpg', 0.994031766757571)","('garbagebin (2).jpg', 0.994390974510956)","('stroller (2).jpg', 0.9761978344492593)","('stroller (2).jpg', 0.9762028180386263)","('stroller (2).jpg', 0.9762028180386263)","('medal (2).jpg', 1.0021326039933425)","('medal (2).jpg', 1.0021362153298001)","('rainboots (2).jpg', 1.0148792791284018)","('rainboots (2).jpg', 1.0148792791284018)","('rainboots (2).jpg', 1.0148792791284018)","('cake (2).jpg', 1.0496148330715718)","('cake (2).jpg', 1.0495154947033585)","('cake (2).jpg', 1.048519013926805)","('cake (2).jpg', 1.0485003114852263)","('bat (2).jpg', 1.135613946768312)","('bat (2).jpg', 1.1362543875057407)","('bat (2).jpg', 1.1362543875057407)","('footballball (2).jpg', 1.178574531806521)","('footballball (2).jpg', 1.1788122201415043)","('cheesegrater (2).jpg', 1.3019880122719814)","('cheesegrater (2).jpg', 1.2973174031528465)","('kayak (2).jpg', 1.4773715977152082)","('kayak (2).jpg', 1.4818216574441891)","('kayak (2).jpg', 1.4818216574441891)","('medal (2).jpg', 1.514633164946152)","('medal (2).jpg', 1.5216972391096248)","('medal (2).jpg', 1.813268706940426)","('medal (2).jpg', 1.8466775363276697)","('cheesegrater (2).jpg', 2.2799962264711793)","('train (2).jpg', 2.455072454444469)"
