,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10,Layer14_top10,Layer15_top10,Layer16_top10,Layer17_top10,Layer18_top10,Layer19_top10,Layer20_top10,Layer21_top10,Layer22_top10,Layer23_top10,Layer24_top10,Layer25_top10,Layer26_top10,Layer27_top10,Layer28_top10,Layer29_top10,Layer30_top10,Layer31_top10
0,"('01art', 1.0000091889294935)","('03backyard', 1.0290699405972656)","('03backyard', 1.0285634224487203)","('08beachball-pail', 1.1488461144669873)","('08beachball-pail', 1.1480398223480055)","('08beachball-pail', 1.1480398223480055)","('08beachball-pail', 1.4399271142887275)","('08beachball-pail', 1.439823372775283)","('45kitchen', 1.382385930215017)","('45kitchen', 1.382385930215017)","('45kitchen', 1.382385930215017)","('03backyard', 1.2369508984244943)","('03backyard', 1.2369160528168404)","('03backyard', 1.2312517736120896)","('03backyard', 1.2312514687816558)","('45kitchen', 1.3286014069512315)","('45kitchen', 1.3287152376102755)","('45kitchen', 1.3287152376102755)","('53ocean', 1.4105694421657962)","('53ocean', 1.4107415355835864)","('32farm_animals', 1.6383739124278545)","('32farm_animals', 1.6357575190456117)","('32farm_animals', 2.4498138711361377)","('32farm_animals', 2.436914856715177)","('32farm_animals', 2.436914856715177)","('32farm_animals', 4.003653391795644)","('32farm_animals', 3.9825689662905255)","('32farm_animals', 6.388679268068288)","('32farm_animals', 6.182423165181558)","('17burger', 5.140199315079895)","('17burger', 5.941324818368032)"
1,"('38groceryshopping', 1.0000091889294935)","('18car', 1.026606688708462)","('65toilet', 1.0263984186817137)","('03backyard', 1.120663921141838)","('03backyard', 1.1206651577258393)","('03backyard', 1.1206651577258393)","('03backyard', 1.241691821767719)","('03backyard', 1.2416992888842964)","('03backyard', 1.35934636388536)","('03backyard', 1.35934636388536)","('03backyard', 1.35934636388536)","('65toilet', 1.209946288123476)","('65toilet', 1.2097097837612478)","('65toilet', 1.1895814732392904)","('65toilet', 1.1895820542571718)","('03backyard', 1.2897714511647804)","('03backyard', 1.2898056621019371)","('03backyard', 1.2898056621019371)","('55office-computer-printer', 1.4021738027248691)","('55office-computer-printer', 1.402633183617232)","('55office-computer-printer', 1.574292937626501)","('55office-computer-printer', 1.5779117308320179)","('17burger', 1.9345580710374988)","('17burger', 1.929146401919564)","('17burger', 1.929146401919564)","('17burger', 2.0504353821542387)","('17burger', 2.070954899773367)","('17burger', 2.923755002850387)","('17burger', 2.9442147084168946)","('55office-computer-printer', 2.925786533920204)","('45kitchen', 3.2468020318490054)"
2,"('54office_supply', 1.0000091889294935)","('04barber', 1.0257188526384713)","('18car', 1.0260919157322645)","('18car', 1.1193540546698046)","('18car', 1.1193569278726148)","('18car', 1.1193569278726148)","('71valentines', 1.207796640987061)","('71valentines', 1.207796329421214)","('20casino', 1.3534217160349715)","('20casino', 1.3534217160349715)","('20casino', 1.3534217160349715)","('53ocean', 1.2074194582011923)","('53ocean', 1.2074331629416453)","('18car', 1.1717459540290454)","('18car', 1.1717562900253693)","('53ocean', 1.2762748236856314)","('53ocean', 1.2762881432406814)","('53ocean', 1.2762881432406814)","('45kitchen', 1.3777195584059132)","('45kitchen', 1.3765676173092516)","('45kitchen', 1.559038322492708)","('45kitchen', 1.5599410693266063)","('53ocean', 1.8219338754551602)","('53ocean', 1.8235675222825123)","('53ocean', 1.8235675222825123)","('53ocean', 1.9672290475304401)","('53ocean', 1.9654205810334637)","('53ocean', 2.6720507290379802)","('53ocean', 2.7193624795413327)","('45kitchen', 2.8734406157118038)","('55office-computer-printer', 3.2313136771177047)"
3,"('53ocean', 1.0000091889294935)","('65toilet', 1.0251876373345594)","('04barber', 1.0252076844878686)","('14boat', 1.1072343586625453)","('14boat', 1.107238585578868)","('14boat', 1.107238585578868)","('18car', 1.1994325652155637)","('18car', 1.1994371155004804)","('65toilet', 1.295986023781096)","('65toilet', 1.295986023781096)","('65toilet', 1.295986023781096)","('45kitchen', 1.193161532611521)","('45kitchen', 1.1926124526767707)","('45kitchen', 1.1659649008926354)","('45kitchen', 1.1660436069786864)","('55office-computer-printer', 1.247097568814658)","('55office-computer-printer', 1.2471331027271344)","('55office-computer-printer', 1.2471331027271344)","('08beachball-pail', 1.3261463859044236)","('08beachball-pail', 1.3264378598407307)","('53ocean', 1.5244151371685797)","('53ocean', 1.5243134912291767)","('55office-computer-printer', 1.776691053837457)","('55office-computer-printer', 1.7896446603591758)","('55office-computer-printer', 1.7896446603591758)","('55office-computer-printer', 1.9342572466353447)","('55office-computer-printer', 1.9479374553229791)","('55office-computer-printer', 2.3679174506403307)","('55office-computer-printer', 2.445794175058626)","('53ocean', 2.815043086646421)","('41hiking', 3.0857554724504053)"
4,"('52motorbike', 1.0000091889294935)","('37golf', 1.023555329295509)","('37golf', 1.0230590214109732)","('37golf', 1.1004543323385059)","('37golf', 1.1004575084530397)","('37golf', 1.1004575084530397)","('65toilet', 1.196211864849948)","('65toilet', 1.1962161731367216)","('08beachball-pail', 1.2888278440270642)","('08beachball-pail', 1.2888278440270642)","('08beachball-pail', 1.2888278440270642)","('18car', 1.1845141129767913)","('18car', 1.1844770251491823)","('53ocean', 1.1622953638607336)","('53ocean', 1.1622850695036455)","('42horseriding', 1.2361770136131178)","('42horseriding', 1.236194801122833)","('42horseriding', 1.236194801122833)","('32farm_animals', 1.3055446871664942)","('32farm_animals', 1.3056534562339208)","('17burger', 1.4656417180152959)","('17burger', 1.4648894879753689)","('45kitchen', 1.7742889906919408)","('45kitchen', 1.7838373095861662)","('45kitchen', 1.7838373095861662)","('45kitchen', 1.8722377784212234)","('45kitchen', 1.8860811707304879)","('45kitchen', 2.342690054448208)","('45kitchen', 2.411991597877364)","('41hiking', 2.8078518029975332)","('20casino', 2.9624789980425654)"
5,"('51makeup', 1.0000091889294935)","('57pancakes', 1.0232428855738633)","('57pancakes', 1.0229317856016862)","('42horseriding', 1.1004115659585219)","('42horseriding', 1.1004148082602987)","('42horseriding', 1.1004148082602987)","('20casino', 1.1877861530945821)","('20casino', 1.187782921357467)","('17burger', 1.2703222889850603)","('17burger', 1.2703222889850603)","('17burger', 1.2703222889850603)","('08beachball-pail', 1.175237898619146)","('08beachball-pail', 1.1751471050829712)","('20casino', 1.162135146409005)","('20casino', 1.1621358980327197)","('18car', 1.2307129874538294)","('18car', 1.2306758349558535)","('18car', 1.2306758349558535)","('17burger', 1.2835683277043886)","('17burger', 1.2838636161224144)","('08beachball-pail', 1.4413082458813162)","('08beachball-pail', 1.4431329784638642)","('08beachball-pail', 1.6350322208815595)","('08beachball-pail', 1.6443157982285344)","('08beachball-pail', 1.6443157982285344)","('41hiking', 1.755055815942489)","('41hiking', 1.7617797631168566)","('41hiking', 2.2474707387188984)","('41hiking', 2.3033758832986426)","('20casino', 2.6602621206372956)","('53ocean', 2.7881506261242097)"
6,"('50lock', 1.0000091889294935)","('71valentines', 1.0228514681306793)","('71valentines', 1.0224818893720313)","('65toilet', 1.095019149147477)","('65toilet', 1.0950150953145181)","('65toilet', 1.0950150953145181)","('42horseriding', 1.177071572740395)","('42horseriding', 1.1770760304456191)","('46kitchen2', 1.269489351616588)","('46kitchen2', 1.269489351616588)","('46kitchen2', 1.269489351616588)","('14boat', 1.1750099790668003)","('14boat', 1.1750197206110577)","('14boat', 1.1573461033416557)","('14boat', 1.1573557834095867)","('30emergency', 1.2282136199125562)","('30emergency', 1.2282358838012477)","('30emergency', 1.2282358838012477)","('65toilet', 1.2809872426726792)","('65toilet', 1.2809271356425)","('41hiking', 1.3719660589909857)","('41hiking', 1.3737156012334686)","('41hiking', 1.5456062303997329)","('41hiking', 1.5548804189302838)","('41hiking', 1.5548804189302838)","('31farm', 1.690912140005096)","('31farm', 1.6975006253790335)","('20casino', 2.0670347076233226)","('20casino', 2.112292576938242)","('42horseriding', 2.4088713479135904)","('42horseriding', 2.551404781065006)"
7,"('49livingroom-chair', 1.0000091889294935)","('11biking', 1.022431063189758)","('11biking', 1.0219584359700258)","('48livingroom', 1.0929332304648598)","('48livingroom', 1.0929310004269601)","('48livingroom', 1.0929310004269601)","('14boat', 1.1741928240590256)","('14boat', 1.1741964531507276)","('18car', 1.2675130230237355)","('18car', 1.2675130230237355)","('18car', 1.2675130230237355)","('30emergency', 1.1744560245933702)","('30emergency', 1.1743844899525884)","('55office-computer-printer', 1.157322490793359)","('55office-computer-printer', 1.1573230929551312)","('56office-desk-chair', 1.2280862954710534)","('56office-desk-chair', 1.22811898526243)","('56office-desk-chair', 1.22811898526243)","('03backyard', 1.2691180877944728)","('03backyard', 1.2693469736734762)","('20casino', 1.353225247028645)","('20casino', 1.3566684517799257)","('65toilet', 1.5331125039697404)","('65toilet', 1.5373639236011758)","('65toilet', 1.5373639236011758)","('08beachball-pail', 1.6763690688280994)","('08beachball-pail', 1.6828622604327828)","('31farm', 2.030756711331002)","('31farm', 2.0749993361878567)","('61street', 2.232692978102616)","('61street', 2.4031104481039516)"
8,"('48livingroom', 1.0000091889294935)","('30emergency', 1.0215958875591333)","('30emergency', 1.021160758182444)","('04barber', 1.0928359255641236)","('04barber', 1.0928385651330557)","('04barber', 1.0928385651330557)","('46kitchen2', 1.1661733301849617)","('46kitchen2', 1.1661779625322009)","('53ocean', 1.2366560619536788)","('53ocean', 1.2366560619536788)","('53ocean', 1.2366560619536788)","('42horseriding', 1.1736613238123552)","('42horseriding', 1.1736635963839437)","('30emergency', 1.1553031128673708)","('30emergency', 1.155296116217542)","('37golf', 1.227805882674199)","('37golf', 1.2278180062685617)","('37golf', 1.2278180062685617)","('37golf', 1.2506143701983234)","('37golf', 1.2508647184607824)","('65toilet', 1.3497501285680338)","('65toilet', 1.3473088366628574)","('31farm', 1.500839214011554)","('31farm', 1.5097332094459688)","('31farm', 1.5097332094459688)","('42horseriding', 1.6006852641695666)","('42horseriding', 1.601865633031736)","('14boat', 2.0274710163643057)","('14boat', 2.0676790547708457)","('14boat', 2.232040389483154)","('14boat', 2.363135323296371)"
9,"('47laundry', 1.0000091889294935)","('42horseriding', 1.0213812678167304)","('42horseriding', 1.0208814212984552)","('45kitchen', 1.0927191119672826)","('45kitchen', 1.0927166974674225)","('45kitchen', 1.0927166974674225)","('17burger', 1.1573014143639933)","('17burger', 1.1572997748611498)","('48livingroom', 1.2341099324700042)","('48livingroom', 1.2341099324700042)","('48livingroom', 1.2341099324700042)","('20casino', 1.1617838460849885)","('20casino', 1.161662070871369)","('08beachball-pail', 1.1525661022472689)","('08beachball-pail', 1.1525782925337087)","('08beachball-pail', 1.2249604113023929)","('08beachball-pail', 1.2250012463787399)","('08beachball-pail', 1.2250012463787399)","('14boat', 1.246486635258004)","('14boat', 1.2467070858509606)","('31farm', 1.33369995884778)","('31farm', 1.3355522935068675)","('14boat', 1.4328113046061524)","('20casino', 1.439898714399384)","('20casino', 1.439898714399384)","('65toilet', 1.5711808459275167)","('65toilet', 1.5763572911360824)","('42horseriding', 1.8593570042693486)","('42horseriding', 1.8899786879326876)","('66tools', 2.1999349707882394)","('66tools', 2.3496065998589204)"
