,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10,Layer14_bottom10,Layer15_bottom10,Layer16_bottom10,Layer17_bottom10,Layer18_bottom10,Layer19_bottom10,Layer20_bottom10,Layer21_bottom10,Layer22_bottom10,Layer23_bottom10,Layer24_bottom10,Layer25_bottom10,Layer26_bottom10,Layer27_bottom10,Layer28_bottom10,Layer29_bottom10,Layer30_bottom10,Layer31_bottom10,Layer32_bottom10,Layer33_bottom10,Layer34_bottom10,Layer35_bottom10,Layer36_bottom10,Layer37_bottom10
0,"('22chess', 0.9994710361086783)","('73winter', 0.9479844877645534)","('73winter', 0.9477536824172904)","('64tennis', 0.8032252361141627)","('64tennis', 0.8021067215371462)","('64tennis', 0.8021067215371462)","('64tennis', 0.7687318105663615)","('64tennis', 0.7683903599419433)","('38groceryshopping', 0.5492035087692086)","('38groceryshopping', 0.5492034881687153)","('38groceryshopping', 0.5492034881687153)","('01art', 0.7977795754116178)","('01art', 0.7977811744266626)","('05baseball', 0.7297760512240836)","('05baseball', 0.7298083626996316)","('05baseball', 0.6662760334551749)","('05baseball', 0.6662026571292258)","('05baseball', 0.6288185469291918)","('05baseball', 0.6284770760830048)","('05baseball', 0.6284770760830048)","('01art', 0.5962770327689132)","('01art', 0.5959239356118441)","('01art', 0.46421149033895404)","('01art', 0.46221138472199685)","('01art', 0.45182186944503006)","('01art', 0.4493906905672816)","('01art', 0.3847918429836622)","('01art', 0.3769577011817629)","('01art', 0.3769577011817629)","('01art', 0.2215545248828294)","('01art', 0.21587456511256398)","('01art', 0.18949118900213183)","('01art', 0.1682441982185652)","('01art', 0.15470270206764766)","('01art', 0.12956061657530005)","('12birdcage', -0.3816949088862997)","('12birdcage', -0.3882984526907018)"
1,"('06basketball', 0.9998742030873513)","('23childEating', 0.9620673532391101)","('23childEating', 0.9619497378382212)","('73winter', 0.8473047061296272)","('73winter', 0.8473330030834898)","('73winter', 0.8473330030834898)","('69tub', 0.8287068399568656)","('69tub', 0.8287127564882801)","('05baseball', 0.6423594114081796)","('05baseball', 0.6423594004016285)","('05baseball', 0.6423594004016285)","('05baseball', 0.8012830802828617)","('05baseball', 0.801283956334583)","('21cheese', 0.7923715518443456)","('21cheese', 0.7922517079278444)","('62sushi', 0.733259050481787)","('62sushi', 0.7332609122053582)","('01art', 0.6411113133502475)","('01art', 0.64074707714017)","('01art', 0.64074707714017)","('05baseball', 0.671337772651646)","('05baseball', 0.6705096275984308)","('62sushi', 0.5377945047274839)","('62sushi', 0.5323683275705609)","('67toy', 0.5562719301421281)","('67toy', 0.5592561156334079)","('12birdcage', 0.4119980053907549)","('12birdcage', 0.41376844896704346)","('12birdcage', 0.41376844896704346)","('22chess', 0.452186105251124)","('22chess', 0.4520663860158221)","('22chess', 0.28786770968388636)","('22chess', 0.2690150997799573)","('12birdcage', 0.24044488968965969)","('12birdcage', 0.23651478245614524)","('13birds', -0.22002663262662947)","('13birds', -0.14643220825087028)"
2,"('01art', 1.0000091889294935)","('69tub', 0.9683752300659719)","('69tub', 0.9686401460860787)","('69tub', 0.8794301660836799)","('69tub', 0.8791001475415325)","('69tub', 0.8791001475415325)","('38groceryshopping', 0.8502917526557795)","('38groceryshopping', 0.8502989492246015)","('01art', 0.7030153231571074)","('01art', 0.7030152972602453)","('01art', 0.7030152972602453)","('38groceryshopping', 0.8267763333513976)","('38groceryshopping', 0.8267766748057535)","('01art', 0.7999015776827545)","('01art', 0.7999080381559492)","('01art', 0.7547696459845835)","('01art', 0.754777482467582)","('62sushi', 0.7326587667581994)","('62sushi', 0.7322076505602815)","('62sushi', 0.7322076505602815)","('62sushi', 0.6735384812569425)","('62sushi', 0.6731150753040611)","('12birdcage', 0.638512372102289)","('12birdcage', 0.639590249318592)","('62sushi', 0.5755104181739708)","('62sushi', 0.5795194770169149)","('62sushi', 0.5655021892188659)","('62sushi', 0.5684676144429623)","('62sushi', 0.5684676144429623)","('62sushi', 0.5040416616473479)","('62sushi', 0.5022819506328189)","('67toy', 0.4980025951435613)","('67toy', 0.4890026421989641)","('68toys', 0.44214952721294226)","('68toys', 0.42594350953413035)","('01art', -0.021200821073686094)","('01art', -0.1290391640784067)"
3,"('52motorbike', 1.0000091889294935)","('38groceryshopping', 0.9702927643187202)","('38groceryshopping', 0.9700500635915948)","('23childEating', 0.8972624648417494)","('23childEating', 0.8973325151916148)","('23childEating', 0.8973325151916148)","('73winter', 0.8593442213832453)","('73winter', 0.8593505488842504)","('69tub', 0.7337043364868353)","('69tub', 0.7337043308538823)","('69tub', 0.7337043308538823)","('63teethhygene', 0.8379179924726274)","('63teethhygene', 0.8379200865183608)","('63teethhygene', 0.8241677913744928)","('63teethhygene', 0.8241242019209507)","('63teethhygene', 0.7845807406004077)","('63teethhygene', 0.7845786694466013)","('12birdcage', 0.7733344336817145)","('12birdcage', 0.7733440268681533)","('12birdcage', 0.7733440268681533)","('59pizza', 0.7190374755406986)","('59pizza', 0.7193000692084734)","('59pizza', 0.6713209280739066)","('59pizza', 0.6723856689070788)","('12birdcage', 0.6204979629576056)","('12birdcage', 0.620578975940004)","('67toy', 0.6510397028241889)","('67toy', 0.6551496155126636)","('67toy', 0.6551496155126636)","('12birdcage', 0.5120176932370912)","('12birdcage', 0.5120252131176789)","('25clothing', 0.5519643135527429)","('25clothing', 0.5375184770425245)","('25clothing', 0.4918765568171086)","('25clothing', 0.46628328985786816)","('59pizza', 0.11810376536026525)","('59pizza', 0.037490702435188955)"
4,"('51makeup', 1.0000091889294935)","('64tennis', 0.9802324684379478)","('01art', 0.9806447863513118)","('01art', 0.9066967148870807)","('01art', 0.9065566324116935)","('01art', 0.9065566324116935)","('23childEating', 0.8599789856339941)","('23childEating', 0.8599865685581052)","('73winter', 0.742700309011909)","('73winter', 0.7427002870467152)","('73winter', 0.7427002870467152)","('21cheese', 0.8390669011354559)","('21cheese', 0.8390332853274332)","('59pizza', 0.8374036230479642)","('59pizza', 0.8375402415567673)","('21cheese', 0.8377969712930851)","('21cheese', 0.8379382667991953)","('21cheese', 0.8136386235177437)","('21cheese', 0.8135589960702868)","('21cheese', 0.8135589960702868)","('12birdcage', 0.7323132952885076)","('12birdcage', 0.7324335157572897)","('33fishtank', 0.6769540040661033)","('33fishtank', 0.6785096557512272)","('33fishtank', 0.6480235365634043)","('33fishtank', 0.6489032386351733)","('22chess', 0.697377027633284)","('22chess', 0.6834531296277326)","('22chess', 0.6834531296277326)","('67toy', 0.6671672707750318)","('67toy', 0.6619717102057155)","('11biking', 0.567569223901586)","('11biking', 0.5552833486398605)","('67toy', 0.5011778109250737)","('67toy', 0.4803468825451134)","('19carpet', 0.2817677083985176)","('62sushi', 0.206265136632897)"
5,"('50lock', 1.0000091889294935)","('01art', 0.980600126672428)","('64tennis', 0.981586150631467)","('05baseball', 0.9371627467719246)","('05baseball', 0.9370392030669294)","('05baseball', 0.9370392030669294)","('01art', 0.8861448451937137)","('01art', 0.8861509641763551)","('19carpet', 0.7546551066886958)","('19carpet', 0.7546550779915349)","('19carpet', 0.7546550779915349)","('64tennis', 0.8585059871153615)","('64tennis', 0.8585056289342491)","('62sushi', 0.8793402380904475)","('62sushi', 0.8793785923361342)","('12birdcage', 0.8715030448746616)","('12birdcage', 0.8715005389885023)","('22chess', 0.817602674095434)","('22chess', 0.8176069130162429)","('22chess', 0.8176069130162429)","('21cheese', 0.7456108208853677)","('21cheese', 0.7455251681811054)","('22chess', 0.7167232031891062)","('22chess', 0.7122385112651215)","('22chess', 0.6645559567070135)","('22chess', 0.6605906205400398)","('33fishtank', 0.7321634676862929)","('33fishtank', 0.7344031329351028)","('33fishtank', 0.7344031329351028)","('59pizza', 0.7186776273025439)","('59pizza', 0.7219427552390145)","('13birds', 0.5926101382652158)","('26coathanging', 0.5845297222622662)","('33fishtank', 0.5059033935378912)","('33fishtank', 0.5141464786795619)","('62sushi', 0.31540113630666483)","('68toys', 0.3057949995333353)"
6,"('49livingroom-chair', 1.0000091889294935)","('21cheese', 0.9825613637133306)","('21cheese', 0.983670684860438)","('38groceryshopping', 0.9371718024575111)","('38groceryshopping', 0.9372110139864867)","('38groceryshopping', 0.9372110139864867)","('21cheese', 0.8962101933469062)","('21cheese', 0.8962173867237517)","('64tennis', 0.7823968612626451)","('64tennis', 0.7823968683060651)","('64tennis', 0.7823968683060651)","('59pizza', 0.8594679333244821)","('59pizza', 0.85946887045934)","('51makeup', 0.8888225912753245)","('51makeup', 0.8888318240319507)","('33fishtank', 0.8855932171051968)","('33fishtank', 0.8855917490866985)","('33fishtank', 0.8333155033482915)","('33fishtank', 0.833317031871129)","('33fishtank', 0.833317031871129)","('33fishtank', 0.8123399157395584)","('33fishtank', 0.8123115976563615)","('05baseball', 0.7565192107066105)","('05baseball', 0.749559839983975)","('25clothing', 0.7508239509696643)","('25clothing', 0.7506671734572985)","('39gun', 0.7362072758221578)","('39gun', 0.7349997326741662)","('39gun', 0.7349997326741662)","('26coathanging', 0.7288679807401323)","('26coathanging', 0.7276725232458622)","('26coathanging', 0.5997837268964511)","('62sushi', 0.5939993256571023)","('13birds', 0.5143068450924041)","('47laundry', 0.5267230746859237)","('68toys', 0.324459092058825)","('11biking', 0.34631941114888665)"
7,"('48livingroom', 1.0000091889294935)","('59pizza', 0.9873438243817111)","('59pizza', 0.9870548808837588)","('24cleaning', 0.9412548684214622)","('24cleaning', 0.9410949867047218)","('24cleaning', 0.9410949867047218)","('05baseball', 0.9119683475971029)","('05baseball', 0.9117552147262131)","('24cleaning', 0.784800581238706)","('24cleaning', 0.7848005739936373)","('24cleaning', 0.7848005739936373)","('73winter', 0.9007169842815199)","('73winter', 0.9007173602947949)","('15bowling', 0.9059585739704699)","('15bowling', 0.9059664753965406)","('38groceryshopping', 0.8953459228377842)","('38groceryshopping', 0.8953467783611149)","('67toy', 0.8337411696325437)","('67toy', 0.8337483341907629)","('67toy', 0.8337483341907629)","('63teethhygene', 0.8260333147450023)","('63teethhygene', 0.8249228952663488)","('67toy', 0.7607938952691677)","('67toy', 0.7626717659724342)","('39gun', 0.7537405995494304)","('39gun', 0.7519505767289839)","('68toys', 0.7781500177240673)","('68toys', 0.7802750131627506)","('68toys', 0.7802750131627506)","('05baseball', 0.7403965107996172)","('05baseball', 0.7314070361874547)","('62sushi', 0.6092431115019745)","('13birds', 0.597693767985045)","('47laundry', 0.5319739318415124)","('59pizza', 0.5316965586849666)","('47laundry', 0.35257560001396765)","('47laundry', 0.34915018381772267)"
8,"('47laundry', 1.0000091889294935)","('58party', 0.990551378371001)","('58party', 0.990421749117633)","('28construction', 0.9467188327065756)","('28construction', 0.9467975508559426)","('28construction', 0.9467975508559426)","('24cleaning', 0.9383000170881381)","('24cleaning', 0.9383054708267541)","('21cheese', 0.7989275496975703)","('21cheese', 0.7989275434086978)","('21cheese', 0.7989275434086978)","('15bowling', 0.9081065162398714)","('15bowling', 0.9081073153887178)","('38groceryshopping', 0.9138599704148)","('38groceryshopping', 0.913863268893091)","('39gun', 0.9041537257365785)","('39gun', 0.9041564625124484)","('39gun', 0.8493044308789021)","('39gun', 0.8491921824991931)","('39gun', 0.8491921824991931)","('22chess', 0.8612685115474634)","('22chess', 0.860672292658767)","('21cheese', 0.8397017937115995)","('21cheese', 0.8387583819682977)","('68toys', 0.8182136763658259)","('68toys', 0.8196401637895647)","('38groceryshopping', 0.7911831510212309)","('38groceryshopping', 0.7883947151002695)","('38groceryshopping', 0.7883947151002695)","('19carpet', 0.7575847667801949)","('19carpet', 0.7512889444960253)","('12birdcage', 0.6425296099170332)","('12birdcage', 0.658341008086276)","('59pizza', 0.5523678199453564)","('13birds', 0.5334669231963785)","('11biking', 0.37704552880308556)","('19carpet', 0.380870253661269)"
9,"('46kitchen2', 1.0000091889294935)","('44kayak', 0.9936010187136066)","('44kayak', 0.9933801817381731)","('21cheese', 0.9486477144922589)","('21cheese', 0.9496012427989249)","('21cheese', 0.9496012427989249)","('19carpet', 0.9576465520302656)","('19carpet', 0.957656151328051)","('63teethhygene', 0.8281856801211364)","('63teethhygene', 0.8281856556191189)","('63teethhygene', 0.8281856556191189)","('19carpet', 0.923596164474066)","('19carpet', 0.9235967120303452)","('64tennis', 0.9225840381800404)","('64tennis', 0.9225896943569565)","('67toy', 0.9166066999399912)","('67toy', 0.9166093447340683)","('63teethhygene', 0.883996189005917)","('63teethhygene', 0.88401277575105)","('63teethhygene', 0.88401277575105)","('67toy', 0.8644502596255441)","('67toy', 0.8642060313143002)","('38groceryshopping', 0.851365417424032)","('38groceryshopping', 0.8512232313006143)","('59pizza', 0.8221502811955207)","('59pizza', 0.8225710839980227)","('26coathanging', 0.7983789443316579)","('26coathanging', 0.7953003114559696)","('26coathanging', 0.7953003114559696)","('25clothing', 0.7699168763990181)","('25clothing', 0.7705699521514426)","('19carpet', 0.6969957472294112)","('19carpet', 0.6865081983770894)","('19carpet', 0.5744439759436868)","('22chess', 0.5409943200539317)","('67toy', 0.420496525616936)","('67toy', 0.3838367594797376)"
