,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10,Layer14_top10,Layer15_top10,Layer16_top10,Layer17_top10,Layer18_top10,Layer19_top10,Layer20_top10,Layer21_top10,Layer22_top10,Layer23_top10,Layer24_top10,Layer25_top10,Layer26_top10,Layer27_top10,Layer28_top10,Layer29_top10,Layer30_top10,Layer31_top10,Layer32_top10,Layer33_top10,Layer34_top10,Layer35_top10,Layer36_top10,Layer37_top10
0,"('01art', 1.0000091889294935)","('03backyard', 1.0394636618551807)","('03backyard', 1.0390625829449764)","('03backyard', 1.1278155477766454)","('03backyard', 1.127777050553494)","('03backyard', 1.127777050553494)","('08beachball-pail', 1.3711376679476874)","('08beachball-pail', 1.3711537888133825)","('08beachball-pail', 1.4949406749386165)","('08beachball-pail', 1.4949406411119586)","('08beachball-pail', 1.4949406411119586)","('03backyard', 1.2530932686012848)","('03backyard', 1.2530953545452364)","('45kitchen', 1.2469381840739937)","('45kitchen', 1.246985267272178)","('08beachball-pail', 1.1814406027189281)","('08beachball-pail', 1.1814447184327834)","('45kitchen', 1.2900974010501574)","('45kitchen', 1.2897703089196093)","('45kitchen', 1.2897703089196093)","('17burger', 1.3978072005125823)","('17burger', 1.398081012944125)","('32farm_animals', 1.5243674772193474)","('32farm_animals', 1.5242144594501523)","('32farm_animals', 1.9666086572365575)","('32farm_animals', 1.9636995573119864)","('32farm_animals', 2.3556600662111493)","('32farm_animals', 2.351507801964678)","('32farm_animals', 2.351507801964678)","('32farm_animals', 3.0281699049283297)","('32farm_animals', 3.0282354903910216)","('32farm_animals', 4.2547748212789465)","('32farm_animals', 4.211903663144937)","('32farm_animals', 6.9941899205673295)","('32farm_animals', 6.931192841839984)","('32farm_animals', 50.6041744992889)","('32farm_animals', 27.188412549551014)"
1,"('38groceryshopping', 1.0000091889294935)","('18car', 1.0377929576510543)","('18car', 1.0373879665461052)","('18car', 1.1163177433801048)","('18car', 1.1162852363188758)","('18car', 1.1162852363188758)","('03backyard', 1.262095642671211)","('03backyard', 1.2621089578310458)","('45kitchen', 1.4706613729264093)","('45kitchen', 1.4706575866401101)","('45kitchen', 1.4706575866401101)","('17burger', 1.1984759165055192)","('17burger', 1.1984767136233876)","('03backyard', 1.2236888886523596)","('03backyard', 1.2236944992233836)","('03backyard', 1.1699391769155982)","('03backyard', 1.1699471867757645)","('55office-computer-printer', 1.25588839578734)","('55office-computer-printer', 1.2559090833796147)","('55office-computer-printer', 1.2559090833796147)","('55office-computer-printer', 1.3944904115819248)","('55office-computer-printer', 1.3946721608074217)","('55office-computer-printer', 1.5057549703310233)","('55office-computer-printer', 1.5072757791375775)","('17burger', 1.7117357250033773)","('17burger', 1.7137445894062593)","('17burger', 1.9688312950252462)","('17burger', 1.9784609632000218)","('17burger', 1.9784609632000218)","('17burger', 2.1918569278703193)","('17burger', 2.1965123760714165)","('17burger', 2.5482113640526074)","('17burger', 2.5596747715162054)","('17burger', 2.757538241255655)","('17burger', 2.7873119119176017)","('17burger', 3.635190531766184)","('17burger', 4.073958886569009)"
2,"('54office_supply', 1.0000091889294935)","('71valentines', 1.0319046645522458)","('71valentines', 1.031613391301551)","('71valentines', 1.1042391631869766)","('71valentines', 1.104305686253233)","('71valentines', 1.104305686253233)","('18car', 1.2054525038042696)","('18car', 1.2054623963369984)","('03backyard', 1.4504396967530537)","('03backyard', 1.450439703586984)","('03backyard', 1.450439703586984)","('65toilet', 1.1955090967540167)","('65toilet', 1.195510811238606)","('53ocean', 1.1774058066375657)","('53ocean', 1.1773972865706601)","('53ocean', 1.16959394041365)","('53ocean', 1.1695914386570312)","('03backyard', 1.2532006668492763)","('03backyard', 1.2532079745241096)","('03backyard', 1.2532079745241096)","('53ocean', 1.3582552558326213)","('53ocean', 1.358548635851817)","('45kitchen', 1.479417822022823)","('45kitchen', 1.4807471816843925)","('45kitchen', 1.6884652057771918)","('45kitchen', 1.6878222961446194)","('55office-computer-printer', 1.7742259374272507)","('55office-computer-printer', 1.7819389871037827)","('55office-computer-printer', 1.7819389871037827)","('55office-computer-printer', 1.9083073360616964)","('55office-computer-printer', 1.915695702466409)","('41hiking', 2.0871301997358667)","('41hiking', 2.1183179670106087)","('55office-computer-printer', 2.260818727653226)","('55office-computer-printer', 2.3050258365828737)","('41hiking', 2.9193887891858576)","('41hiking', 3.2027144200719078)"
3,"('53ocean', 1.0000091889294935)","('42horseriding', 1.0304894872075614)","('42horseriding', 1.0301078018519987)","('14boat', 1.1038827670698874)","('14boat', 1.1038670128571384)","('14boat', 1.1038670128571384)","('42horseriding', 1.1707004003886203)","('42horseriding', 1.1707084815681659)","('20casino', 1.399043980072288)","('20casino', 1.3990439002901094)","('20casino', 1.3990439002901094)","('08beachball-pail', 1.1949004972537889)","('08beachball-pail', 1.1949025307497956)","('17burger', 1.1769712437761883)","('17burger', 1.1769714113354677)","('55office-computer-printer', 1.1663085397728419)","('55office-computer-printer', 1.1663167883696737)","('53ocean', 1.2289418640827634)","('53ocean', 1.2289448159870504)","('53ocean', 1.2289448159870504)","('32farm_animals', 1.3324065701264476)","('32farm_animals', 1.3324842060382538)","('17burger', 1.426438794044751)","('17burger', 1.426520400276835)","('55office-computer-printer', 1.6724310697099642)","('55office-computer-printer', 1.6750338039131143)","('45kitchen', 1.7344491538220324)","('45kitchen', 1.7446767036045867)","('45kitchen', 1.7446767036045867)","('45kitchen', 1.8165763558325194)","('45kitchen', 1.8208109782009616)","('55office-computer-printer', 2.083319336084969)","('55office-computer-printer', 2.104417451334859)","('41hiking', 2.2369132738692343)","('41hiking', 2.299246925063201)","('55office-computer-printer', 2.804970857721714)","('55office-computer-printer', 2.8403570780991387)"
4,"('52motorbike', 1.0000091889294935)","('04barber', 1.0304726487206712)","('04barber', 1.030076674244405)","('37golf', 1.0983036551153302)","('37golf', 1.0982651456146373)","('37golf', 1.0982651456146373)","('30emergency', 1.1651232413106583)","('30emergency', 1.1651320981021416)","('65toilet', 1.3698629443561243)","('65toilet', 1.369862965822237)","('65toilet', 1.369862965822237)","('53ocean', 1.1944897503232037)","('53ocean', 1.1944910405318008)","('08beachball-pail', 1.1665144416581763)","('08beachball-pail', 1.1665310460367466)","('20casino', 1.1647437545985362)","('20casino', 1.164750469179437)","('08beachball-pail', 1.2287559621295436)","('08beachball-pail', 1.2287601232252572)","('08beachball-pail', 1.2287601232252572)","('45kitchen', 1.3309148974729368)","('45kitchen', 1.330967401928013)","('53ocean', 1.3894076619186262)","('53ocean', 1.3890868296056913)","('53ocean', 1.5481872207782892)","('53ocean', 1.5471985397411296)","('53ocean', 1.7007688329634143)","('53ocean', 1.704412560752482)","('53ocean', 1.704412560752482)","('41hiking', 1.8013308492720743)","('41hiking', 1.811771151754759)","('31farm', 1.9551530536093882)","('31farm', 1.9777934919242648)","('45kitchen', 2.0003245487612147)","('45kitchen', 2.028666102357287)","('45kitchen', 2.591964650535789)","('45kitchen', 2.6800658413909217)"
5,"('51makeup', 1.0000091889294935)","('11biking', 1.0304291434599138)","('11biking', 1.0300494913425682)","('45kitchen', 1.0932856287514028)","('45kitchen', 1.0945329024917738)","('45kitchen', 1.0945329024917738)","('71valentines', 1.1644826734019598)","('71valentines', 1.164491174262036)","('46kitchen2', 1.3367347977841892)","('46kitchen2', 1.3367348168994435)","('46kitchen2', 1.3367348168994435)","('45kitchen', 1.191132849440374)","('45kitchen', 1.1911354749959093)","('14boat', 1.1563392116840236)","('14boat', 1.1563427609401307)","('18car', 1.1586075147528532)","('18car', 1.1586155907585112)","('32farm_animals', 1.211742410642337)","('32farm_animals', 1.2117508685002678)","('32farm_animals', 1.2117508685002678)","('08beachball-pail', 1.2743438719058267)","('08beachball-pail', 1.274395651798005)","('08beachball-pail', 1.3695233365241706)","('08beachball-pail', 1.3696676183729066)","('41hiking', 1.5307283542976933)","('41hiking', 1.5328837404842175)","('41hiking', 1.6311161337740665)","('41hiking', 1.638427660206955)","('41hiking', 1.638427660206955)","('53ocean', 1.7156241664895744)","('53ocean', 1.7208769523175664)","('53ocean', 1.9544062111152503)","('53ocean', 1.9688164672164483)","('53ocean', 1.9973241929445655)","('53ocean', 2.014208641084261)","('61street', 2.5058102584433812)","('61street', 2.5921077809800397)"
6,"('50lock', 1.0000091889294935)","('57pancakes', 1.0295411191818256)","('57pancakes', 1.0293235002337537)","('42horseriding', 1.0931173255698345)","('42horseriding', 1.0931029810919681)","('42horseriding', 1.0931029810919681)","('56office-desk-chair', 1.1640500128581572)","('56office-desk-chair', 1.1640593870325948)","('17burger', 1.336140126968349)","('17burger', 1.336140071079594)","('17burger', 1.336140071079594)","('18car', 1.186597836571829)","('18car', 1.1866001043538394)","('65toilet', 1.1549187146623472)","('65toilet', 1.1549251712692694)","('42horseriding', 1.1552272579941663)","('42horseriding', 1.1552262176380474)","('37golf', 1.2088103810127258)","('37golf', 1.2088213650250883)","('37golf', 1.2088213650250883)","('03backyard', 1.2623951558196396)","('03backyard', 1.2626035621567193)","('20casino', 1.3437402877384712)","('20casino', 1.3459555245758892)","('08beachball-pail', 1.4667751269669511)","('08beachball-pail', 1.4672113938552829)","('08beachball-pail', 1.5438786772822437)","('08beachball-pail', 1.5486292892768598)","('08beachball-pail', 1.5486292892768598)","('31farm', 1.6487689206396383)","('31farm', 1.6531870611993396)","('14boat', 1.8761410861187775)","('14boat', 1.892302281329693)","('31farm', 1.9796590172613948)","('31farm', 2.0127517045059578)","('66tools', 2.4985907318442035)","('66tools', 2.564053470703758)"
7,"('49livingroom-chair', 1.0000091889294935)","('37golf', 1.029461314478203)","('37golf', 1.0290615738535496)","('30emergency', 1.0916704952193894)","('30emergency', 1.0916531844711965)","('30emergency', 1.0916531844711965)","('20casino', 1.1610052818470504)","('20casino', 1.1610150709547158)","('18car', 1.3144252551364395)","('18car', 1.3144252629287172)","('18car', 1.3144252629287172)","('56office-desk-chair', 1.1858448098964645)","('56office-desk-chair', 1.1858472410524887)","('42horseriding', 1.1548257820431496)","('42horseriding', 1.1548247460167735)","('45kitchen', 1.140930624707702)","('45kitchen', 1.1408515219189743)","('65toilet', 1.2055306152376435)","('65toilet', 1.205535066416626)","('65toilet', 1.205535066416626)","('65toilet', 1.2586030508012347)","('65toilet', 1.258416881629945)","('41hiking', 1.34210164432824)","('41hiking', 1.3436163148791853)","('20casino', 1.4381556827607491)","('20casino', 1.4421266242695872)","('14boat', 1.4847026518978106)","('14boat', 1.4894913888128127)","('14boat', 1.4894913888128127)","('14boat', 1.6204746214758177)","('14boat', 1.625329582545952)","('45kitchen', 1.8402483953252127)","('45kitchen', 1.8562467764467803)","('66tools', 1.8956602154604736)","('66tools', 1.9308988732938426)","('53ocean', 2.3796153989346607)","('42horseriding', 2.4063593905010596)"
8,"('48livingroom', 1.0000091889294935)","('14boat', 1.0290782538581558)","('14boat', 1.0287358371388096)","('10bed-dresser', 1.0867413062678546)","('10bed-dresser', 1.086736576365335)","('10bed-dresser', 1.086736576365335)","('65toilet', 1.1604555079762044)","('65toilet', 1.1604687368562798)","('48livingroom', 1.3025120880728778)","('48livingroom', 1.3025120675339052)","('48livingroom', 1.3025120675339052)","('14boat', 1.1825345430174967)","('14boat', 1.1825366946412126)","('20casino', 1.1516667400574363)","('20casino', 1.1516770923877102)","('31farm', 1.1362909470555609)","('31farm', 1.136297755814795)","('07bathrobe-slippers', 1.198311026199057)","('07bathrobe-slippers', 1.1982890114991105)","('07bathrobe-slippers', 1.1982890114991105)","('50lock', 1.2151216639134366)","('50lock', 1.2153076694050617)","('03backyard', 1.320072382024647)","('03backyard', 1.3212179258713277)","('65toilet', 1.3976314048017406)","('65toilet', 1.399210904701852)","('31farm', 1.470847219485824)","('31farm', 1.4760585571678841)","('31farm', 1.4760585571678841)","('50lock', 1.5463975457788823)","('50lock', 1.5491351015696)","('07bathrobe-slippers', 1.8378202132761328)","('07bathrobe-slippers', 1.8505900100533683)","('07bathrobe-slippers', 1.862279066365845)","('07bathrobe-slippers', 1.87991456382351)","('42horseriding', 2.3405944314208496)","('53ocean', 2.38988905790374)"
9,"('47laundry', 1.0000091889294935)","('65toilet', 1.0271462246711565)","('65toilet', 1.0285141828776838)","('57pancakes', 1.0853630351514572)","('57pancakes', 1.0854672198813151)","('57pancakes', 1.0854672198813151)","('14boat', 1.1585868615578887)","('14boat', 1.1585954960420715)","('56office-desk-chair', 1.2630295371706777)","('56office-desk-chair', 1.2630295423699531)","('56office-desk-chair', 1.2630295423699531)","('42horseriding', 1.1817714080486283)","('42horseriding', 1.1817723405126268)","('56office-desk-chair', 1.1507383074498359)","('56office-desk-chair', 1.1507655636981966)","('32farm_animals', 1.1356180284421773)","('32farm_animals', 1.1356134507803455)","('30emergency', 1.1943850489496513)","('30emergency', 1.19441203878278)","('30emergency', 1.19441203878278)","('37golf', 1.2148597644935162)","('37golf', 1.2150387259304392)","('65toilet', 1.302722053766713)","('65toilet', 1.3031319224976736)","('18car', 1.3738218628284455)","('18car', 1.3736607011647073)","('50lock', 1.450464689866554)","('50lock', 1.4559588847368878)","('50lock', 1.4559588847368878)","('08beachball-pail', 1.5422116326444206)","('08beachball-pail', 1.543113366977484)","('66tools', 1.7093017909123558)","('66tools', 1.7248175723789683)","('50lock', 1.847673853594299)","('50lock', 1.8742746371383472)","('31farm', 2.102700664099862)","('31farm', 2.190925726009761)"
