,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10
0,"('racket', 0.719749433117221)","('racket', 0.7197882165046415)","('racket', 0.7197882165046415)","('sleepingbag', 0.5003659498138361)","('sleepingbag', 0.45275193017420884)","('sleepingbag', 0.45275193017420884)","('golfcart', -0.04911693385997214)","('golfcart', -0.0704863275232885)","('chicken', -5.017827538792859)","('chicken', -5.307869006539234)","('burger', -94.2020748715028)","('beachball', -14.484957375959361)","('beachball', -14.484957375959361)"
1,"('sleepingbag', 0.7893726714654553)","('nail', 0.7857446422392793)","('nail', 0.7857446422392793)","('garbagebag', 0.5814398103888739)","('garbagebag', 0.579091394610747)","('garbagebag', 0.579091394610747)","('sleepingbag', 0.1286021290530401)","('sleepingbag', 0.13599375068415678)","('seashell', -1.8799381337222631)","('sushi', -1.8523837766317461)","('pizza', -13.554400019127163)","('footballball', -2.458235227515013)","('footballball', -2.458235227515013)"
2,"('nail', 0.7979438457839795)","('sleepingbag', 0.7894196490110779)","('sleepingbag', 0.7894196490110779)","('nail', 0.6549565737773244)","('nail', 0.6423247056133257)","('nail', 0.6423247056133257)","('nail', 0.4503542456015217)","('nail', 0.44803309115071965)","('doll', -1.1432780619790264)","('seashell', -1.5641208204688506)","('seashell', -1.9630610539916866)","('pizza', -2.2259369796085084)","('pizza', -2.2259369796085084)"
3,"('garbagebag', 0.8382607280865655)","('garbagebag', 0.8343795953747162)","('garbagebag', 0.8343795953747162)","('golfcart', 0.6657808472085973)","('golfcart', 0.6556558646483779)","('golfcart', 0.6556558646483779)","('seashell', 0.5197667585252898)","('seashell', 0.5080634699662752)","('horse', -1.0891399694533732)","('horse', -1.3281687465500156)","('doll', -1.854270342871517)","('medal', -1.7576253255122407)","('medal', -1.7576253255122407)"
4,"('footballball', 0.8545394266587496)","('bat', 0.8538500228718466)","('bat', 0.8538500228718466)","('footballball', 0.7181613964844642)","('footballball', 0.7180642609205)","('footballball', 0.7180642609205)","('kayak', 0.539723943922703)","('kayak', 0.5470639681245891)","('sushi', -0.41439830802143185)","('doll', -1.1706396220571844)","('chicken', -0.6502167568330769)","('doll', -1.523186013828689)","('doll', -1.523186013828689)"
5,"('bat', 0.8656404093078708)","('footballball', 0.8545777675247701)","('footballball', 0.8545777675247701)","('beachumbrella', 0.7867711418334448)","('beachumbrella', 0.7894487466195845)","('beachumbrella', 0.7894487466195845)","('sushi', 0.5583342422420337)","('sushi', 0.5538447664091896)","('tractor', -0.29651559078179984)","('golfcart', -0.24997909882646827)","('medal', -0.33834195483115476)","('seashell', -1.3983627645651178)","('seashell', -1.3983627645651178)"
6,"('trafficlight', 0.8755172041253813)","('trafficlight', 0.875611752767957)","('trafficlight', 0.875611752767957)","('seashell', 0.8115577915124634)","('bat', 0.8237418657400372)","('bat', 0.8237418657400372)","('garbagebag', 0.6294928962439917)","('garbagebag', 0.6128724783943934)","('golfcart', -0.1803728837789142)","('tractor', -0.22451839087858624)","('golfcart', -0.23133622551361488)","('garbagebag', -1.2681891636049878)","('garbagebag', -1.2681891636049878)"
7,"('golfcart', 0.8940472264477349)","('golfcart', 0.8946781918063795)","('golfcart', 0.8946781918063795)","('bat', 0.8328997828143969)","('seashell', 0.828717191471032)","('seashell', 0.828717191471032)","('tractor', 0.6669148959098292)","('bat', 0.6357842314985067)","('kayak', 0.10550608461950678)","('kayak', 0.1111265531459861)","('kayak', -0.04817133668539419)","('kayak', -0.7795644683846491)","('kayak', -0.7795644683846491)"
8,"('horse', 0.8993106785985424)","('horse', 0.8993656200687821)","('horse', 0.8993656200687821)","('racket', 0.8886776112114534)","('racket', 0.890945531509889)","('racket', 0.890945531509889)","('bat', 0.6809239184949952)","('tractor', 0.6771998827239107)","('garbagebag', 0.6320579033222804)","('sleepingbag', 0.632851098735133)","('bowlingball', 0.2020128327946691)","('burger', -0.7766250207305239)","('burger', -0.7766250207305239)"
9,"('computer', 0.9154558088420407)","('computer', 0.9154995076994893)","('computer', 0.9154995076994893)","('chicken', 0.9133932561824087)","('chicken', 0.9133632462073239)","('chicken', 0.9133632462073239)","('footballball', 0.7121691380891143)","('footballball', 0.7006682636417982)","('sleepingbag', 0.6785717846671379)","('garbagebag', 0.6848699024977718)","('sleepingbag', 0.27180838687702563)","('chicken', -0.6214245007740641)","('chicken', -0.6214245007740641)"
