,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10
0,"('beachball', 1.8556706343987246)","('beachball', 1.8661007514508878)","('beachball', 1.8661007514508878)","('tub', 1.7828484465260976)","('tub', 1.8274874851365677)","('tub', 1.8274874851365677)","('tub', 2.166909386914622)","('tub', 2.1992220369306748)","('bowlingball', 7.144193829265546)","('bowlingball', 6.763008864121607)","('bathrobe', 3.7935196896333574)","('scissors', 6.977670524752239)","('scissors', 6.977670524752239)"
1,"('rearview_mirror', 1.4715637767167076)","('rearview_mirror', 1.4715761041206443)","('rearview_mirror', 1.4715761041206443)","('coat', 1.704338036563004)","('coat', 1.710612905351741)","('coat', 1.710612905351741)","('bathrobe', 2.0339479959136155)","('bathrobe', 2.0472283060039946)","('bathrobe', 2.5817460398494223)","('bathrobe', 2.6960074569474672)","('tub', 3.7596889165646976)","('bathrobe', 6.087787475071085)","('bathrobe', 6.087787475071085)"
2,"('coat', 1.4414971388283648)","('coat', 1.4415615142998062)","('coat', 1.4415615142998062)","('bathrobe', 1.589732606571409)","('bathrobe', 1.6158435449230966)","('bathrobe', 1.6158435449230966)","('toiletseat', 1.8724022611892914)","('toiletseat', 1.8604710074616697)","('pizza', 2.5121177459717985)","('pizza', 2.6316147469016196)","('beachball', 3.7490724483483318)","('trafficlight', 5.378009631761833)","('trafficlight', 5.378009631761833)"
3,"('pokerchips', 1.3559992473754432)","('bathrobe', 1.3812570483762243)","('bathrobe', 1.3812570483762243)","('rearview_mirror', 1.5712334842103435)","('rearview_mirror', 1.5738957229864772)","('rearview_mirror', 1.5738957229864772)","('doll', 1.788818306629309)","('doll', 1.7795994771381387)","('toiletseat', 2.40528461446929)","('toiletseat', 2.523333010344656)","('scissors', 3.3728828571023253)","('tub', 4.692159750184319)","('tub', 4.692159750184319)"
4,"('lego', 1.350876567560851)","('lego', 1.3616387958406944)","('lego', 1.3616387958406944)","('toiletseat', 1.492407180451572)","('toiletseat', 1.5046042477832107)","('toiletseat', 1.5046042477832107)","('coat', 1.7288031669224702)","('coat', 1.7396301219965657)","('tub', 2.3022686728718225)","('tub', 2.3741265065966357)","('toiletseat', 3.1988892258331303)","('toiletseat', 4.167913100789015)","('toiletseat', 4.167913100789015)"
5,"('cheese', 1.34170636537973)","('pokerchips', 1.3561648754449265)","('pokerchips', 1.3561648754449265)","('pizza', 1.4678328206313696)","('pizza', 1.4618979560085146)","('pizza', 1.4618979560085146)","('scissors', 1.7024279624185037)","('scissors', 1.7130517793259292)","('scissors', 2.0138950610456483)","('scissors', 2.0992599831572836)","('trafficlight', 3.1737128803062)","('boxing_gloves', 3.9125260401853628)","('boxing_gloves', 3.9125260401853628)"
6,"('bathrobe', 1.3373495839845677)","('cheese', 1.3526957244959468)","('cheese', 1.3526957244959468)","('cheese', 1.4492862509995807)","('scissors', 1.4296628080687652)","('scissors', 1.4296628080687652)","('pizza', 1.681427473109687)","('pizza', 1.67247648582661)","('boxing_gloves', 1.850101227645176)","('lego', 1.8842416632730536)","('boxing_gloves', 2.854077087645758)","('cheese', 3.710603331455063)","('cheese', 3.710603331455063)"
7,"('bag', 1.3252945020529079)","('bag', 1.3255482473430558)","('bag', 1.3255482473430558)","('scissors', 1.4250755395819927)","('cheese', 1.4214298746646836)","('cheese', 1.4214298746646836)","('lego', 1.6318942781379377)","('lego', 1.6590908330949736)","('lego', 1.8315052790909867)","('boxing_gloves', 1.8707647049943903)","('rearview_mirror', 2.795115075232568)","('pokerchips', 3.425757771361358)","('pokerchips', 3.425757771361358)"
8,"('kayak', 1.3198576984037136)","('kayak', 1.319986127091788)","('kayak', 1.319986127091788)","('lego', 1.384060719912228)","('lego', 1.3923430216089578)","('lego', 1.3923430216089578)","('rearview_mirror', 1.6271529328408803)","('rearview_mirror', 1.6201325579306605)","('rearview_mirror', 1.7275885766566992)","('rearview_mirror', 1.7497312650862564)","('bike', 2.3878491899250114)","('rearview_mirror', 3.3832305275004986)","('rearview_mirror', 3.3832305275004986)"
9,"('medal', 1.2974408121423144)","('medal', 1.297552619220867)","('medal', 1.297552619220867)","('maplesyrup', 1.3318683986060693)","('maplesyrup', 1.3328872337231346)","('maplesyrup', 1.3328872337231346)","('board', 1.4574926987461962)","('maplesyrup', 1.4668716824220305)","('coat', 1.6443760397714542)","('coat', 1.6725498120469358)","('racket', 2.3757307341144016)","('bike', 3.267889031514362)","('bike', 3.267889031514362)"
