,AlexNet
0,"(1.1031860142268268, 0.20738386943335496)"
1,"(1.106509679622192, 0.2109209295751312)"
2,"(1.106509679622192, 0.2109209295751312)"
3,"(1.1272610198214568, 0.2741993159760498)"
4,"(1.1279200370803795, 0.2804005855426646)"
5,"(1.1279200370803795, 0.2804005855426646)"
6,"(1.1361556129726362, 0.4522061608971728)"
7,"(1.1370555159073548, 0.4558905297308284)"
8,"(1.0607889521574283, 1.49354625781425)"
9,"(1.033576745719386, 1.5369938122982725)"
10,"(-0.7655716608525616, 13.56745872252708)"
11,"(1.2188299627216312, 3.0161105858956905)"
12,"(1.2188299627216312, 3.0161105858956905)"
