,AlexNet
0,"(0.45780626361278903, 0.015085826872817986)"
1,"(0.45614120608544717, 0.0153581464274304)"
2,"(0.45614120608544717, 0.0153581464274304)"
3,"(0.30048117659706397, 0.012509110162322649)"
4,"(0.29901952047292546, 0.012691311022694645)"
5,"(0.29901952047292546, 0.012691311022694645)"
6,"(0.21094086106301382, 0.0139157517461709)"
7,"(0.20577503879586237, 0.013722921104193764)"
8,"(0.148083364694781, 0.012860602220691419)"
9,"(0.1415754776648491, 0.012599841774759668)"
10,"(0.12790985592991752, 0.013578859836968153)"
11,"(0.09955836186690344, 0.012739980257892585)"
12,"(0.09955836186690344, 0.012739980257892585)"
