,AlexNet
0,"(0.4196455183488297, 0.08289118269276993)"
1,"(0.4171755664136384, 0.08541860612231411)"
2,"(0.4171755664136384, 0.08541860612231411)"
3,"(0.2662552496594506, 0.05075230211380624)"
4,"(0.26467458964450385, 0.05117430725759696)"
5,"(0.26467458964450385, 0.05117430725759696)"
6,"(0.18245405679469573, 0.04666193404071403)"
7,"(0.1776652689833851, 0.046296462312909674)"
8,"(0.117908966565049, 0.06429357212485558)"
9,"(0.1116621773408842, 0.06185582522194967)"
10,"(0.07417074931521633, 0.06198260210324694)"
11,"(0.047690011482276425, 0.05518261433943353)"
12,"(0.047690011482276425, 0.05518261433943353)"
