,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10
0,"('golfcart', 0.9254079730920716)","('golfcart', 0.9260661358053275)","('golfcart', 0.9260661358053275)","('sleepingbag', 0.8957182842477102)","('sleepingbag', 0.9087139245096783)","('sleepingbag', 0.9087139245096783)","('sleepingbag', 0.9318058173141986)","('sleepingbag', 0.9149564347162951)","('golfcart', -0.5731355619929246)","('golfcart', -0.6669802730993402)","('sleepingbag', -7.186763844958446)","('sleepingbag', -11.419444107352607)","('sleepingbag', -11.419444107352607)"
1,"('horse', 0.9415002575288219)","('horse', 0.9414790837807365)","('horse', 0.9414790837807365)","('golfcart', 0.9145905473900977)","('golfcart', 0.9195259779254259)","('golfcart', 0.9195259779254259)","('garbagebag', 0.9405518680755292)","('golfcart', 0.9305050087218373)","('sleepingbag', -0.1252468664947679)","('sleepingbag', -0.3815405658786275)","('pizza', -6.432458954311629)","('pizza', -7.404587191058006)","('pizza', -7.404587191058006)"
2,"('sleepingbag', 0.9427516613907352)","('garbagebag', 0.942553020189187)","('garbagebag', 0.942553020189187)","('garbagebag', 0.9456892805017063)","('garbagebag', 0.9447397640128562)","('garbagebag', 0.9447397640128562)","('golfcart', 0.947363234691971)","('garbagebag', 0.9320714940505135)","('bag', 0.21887685359379047)","('bag', 0.10597951369769555)","('burger', -3.8020261996950313)","('nail', -3.8331118176681795)","('nail', -3.8331118176681795)"
3,"('garbagebag', 0.9432522893292226)","('sleepingbag', 0.9432517160168196)","('sleepingbag', 0.9432517160168196)","('bat', 0.9625749134904036)","('bat', 0.9614668211168423)","('bat', 0.9614668211168423)","('seashell', 0.9637941866364528)","('seashell', 0.9546672860447988)","('tractor', 0.2765077227347852)","('tractor', 0.26164882175697884)","('nail', -3.650627691252089)","('burger', -3.539961737220338)","('burger', -3.539961737220338)"
4,"('racket', 0.9651031239200811)","('racket', 0.9648943820971533)","('racket', 0.9648943820971533)","('footballball', 0.9701353887444502)","('footballball', 0.9693754240041409)","('footballball', 0.9693754240041409)","('bat', 0.9678889985954507)","('chicken', 0.9617515150934611)","('garbagebag', 0.42478509177481816)","('garbagebag', 0.3479040058103629)","('chicken', -3.0756430144236004)","('chicken', -2.1105604941871423)","('chicken', -2.1105604941871423)"
5,"('footballball', 0.9669567246732927)","('footballball', 0.9673148501366526)","('footballball', 0.9673148501366526)","('horse', 0.9726825134194326)","('horse', 0.9714445431428166)","('horse', 0.9714445431428166)","('chicken', 0.9688616185898916)","('bat', 0.9631923976460571)","('kayak', 0.4938470818893469)","('kayak', 0.42551594463979664)","('seashell', -2.270375490634327)","('medal', -1.8926233621614579)","('medal', -1.8926233621614579)"
6,"('chicken', 0.980789844302897)","('chicken', 0.9805943248703565)","('chicken', 0.9805943248703565)","('nail', 0.977165818889497)","('racket', 0.9792749966143391)","('racket', 0.9792749966143391)","('beachumbrella', 0.9847831494498218)","('beachumbrella', 0.97776391085538)","('trafficlight', 0.5036309077203126)","('medal', 0.4671710915153432)","('medal', -1.4067214030991058)","('seashell', -1.78637565191883)","('seashell', -1.78637565191883)"
7,"('bowlingball', 0.9826545243441362)","('bowlingball', 0.982572156431498)","('bowlingball', 0.982572156431498)","('chicken', 0.9788295536947001)","('beachumbrella', 0.9797366286475874)","('beachumbrella', 0.9797366286475874)","('horse', 0.9895258880343281)","('horse', 0.9855153330882799)","('medal', 0.5267576179126113)","('trafficlight', 0.48121446615064584)","('bowlingball', -0.9658492812795383)","('bowlingball', -1.7101275761442354)","('bowlingball', -1.7101275761442354)"
8,"('toothbrush', 0.983740534917469)","('toothbrush', 0.9839405609674344)","('toothbrush', 0.9839405609674344)","('racket', 0.9791061234081543)","('sushi', 0.9803811948353616)","('sushi', 0.9803811948353616)","('mailbox', 0.9896162254943864)","('racket', 0.9855526948637492)","('nail', 0.5873506203421607)","('nail', 0.5715398027511707)","('bat', -0.7038886275443859)","('garbagebag', -0.8306816112454715)","('garbagebag', -0.8306816112454715)"
9,"('computer', 0.9875625726540723)","('computer', 0.9874594994917549)","('computer', 0.9874594994917549)","('beachumbrella', 0.9805898074275095)","('chicken', 0.9820386697283646)","('chicken', 0.9820386697283646)","('footballball', 0.9914917019230032)","('mailbox', 0.988563187338659)","('horse', 0.6666429220617984)","('sushi', 0.6312854497674287)","('footballball', -0.44663508278946196)","('footballball', -0.7646882620170865)","('footballball', -0.7646882620170865)"
