,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10
0,"('rearview_mirror', 1.120704194500053)","('rearview_mirror', 1.1204434800831373)","('rearview_mirror', 1.1204434800831373)","('rearview_mirror', 1.0841273502377895)","('rearview_mirror', 1.0828104055848196)","('rearview_mirror', 1.0828104055848196)","('tub', 1.084679741035926)","('tub', 1.1011329419931013)","('rearview_mirror', 2.466644198107378)","('rearview_mirror', 2.5845534693890246)","('coat', 25.97499194135976)","('coat', 166.4111323436172)","('coat', 166.4111323436172)"
1,"('kayak', 1.0824190005177023)","('kayak', 1.0822782124990378)","('kayak', 1.0822782124990378)","('coat', 1.0686206658470747)","('coat', 1.0671828783258548)","('coat', 1.0671828783258548)","('rearview_mirror', 1.083751486395908)","('rearview_mirror', 1.096163859041191)","('bathrobe', 2.3475438792062904)","('bathrobe', 2.5778528378160597)","('bathrobe', 22.362999397568313)","('bathrobe', 53.03514553504774)","('bathrobe', 53.03514553504774)"
2,"('coat', 1.080612896491025)","('coat', 1.0804904101381088)","('coat', 1.0804904101381088)","('toiletseat', 1.0546899780126293)","('toiletseat', 1.0531909767888614)","('toiletseat', 1.0531909767888614)","('toiletseat', 1.0719944733079163)","('toiletseat', 1.0842624729040997)","('tub', 2.2665655586397486)","('tub', 2.4112760204585895)","('sushi', 9.20091951459169)","('sushi', 8.05487780291907)","('sushi', 8.05487780291907)"
3,"('medal', 1.0763498141852372)","('medal', 1.076238359141885)","('medal', 1.076238359141885)","('tub', 1.053211292685444)","('tub', 1.0514826141252835)","('tub', 1.0514826141252835)","('television', 1.06698142997164)","('television', 1.077744663545872)","('lego', 2.1218435963987683)","('lego', 2.2723971500178495)","('rearview_mirror', 6.251669973985022)","('rearview_mirror', 6.66965278659465)","('rearview_mirror', 6.66965278659465)"
4,"('maplesyrup', 1.0639010858632152)","('cheese', 1.0639143206381099)","('cheese', 1.0639143206381099)","('television', 1.0512249391166313)","('television', 1.0498729145299652)","('television', 1.0498729145299652)","('scissors', 1.058463688103398)","('bathrobe', 1.068399779186912)","('scissors', 2.1171413446992533)","('ovenmitt', 2.221433682162032)","('tub', 4.655612676547611)","('tub', 5.02283951796415)","('tub', 5.02283951796415)"
5,"('cheese', 1.0636847617829093)","('maplesyrup', 1.0636491524241762)","('maplesyrup', 1.0636491524241762)","('fridge', 1.0503261896285543)","('fridge', 1.0482780263984577)","('fridge', 1.0482780263984577)","('bathrobe', 1.0523638291895951)","('scissors', 1.0678536023928669)","('ovenmitt', 2.0830223403557517)","('scissors', 2.179857507697665)","('toiletseat', 4.033657832267372)","('toiletseat', 4.182992042826581)","('toiletseat', 4.182992042826581)"
6,"('pokerchips', 1.0617392057111803)","('pokerchips', 1.0613614283560353)","('pokerchips', 1.0613614283560353)","('bathrobe', 1.0437585824033473)","('bathrobe', 1.042074174636283)","('bathrobe', 1.042074174636283)","('coat', 1.0502728888867434)","('coat', 1.0628881112704047)","('toiletseat', 1.907228413785877)","('doll', 2.0564329625161326)","('pokerchips', 3.3540417157221274)","('pokerchips', 3.8097209171463753)","('pokerchips', 3.8097209171463753)"
7,"('coffeetable', 1.0525978903060602)","('coffeetable', 1.0523113791515966)","('coffeetable', 1.0523113791515966)","('highchair', 1.0414588685943091)","('highchair', 1.0410913575571483)","('highchair', 1.0410913575571483)","('ovenmitt', 1.0456026625385848)","('ovenmitt', 1.0556026167682573)","('doll', 1.900865420927903)","('coat', 1.9950761940420931)","('toothbrush', 3.0566820100482115)","('boxing_gloves', 3.4439313298084513)","('boxing_gloves', 3.4439313298084513)"
8,"('lego', 1.0462690223491435)","('tub', 1.0465090724265884)","('tub', 1.0465090724265884)","('ovenmitt', 1.0395185664477886)","('ovenmitt', 1.038135421195757)","('ovenmitt', 1.038135421195757)","('fridge', 1.0438017781239337)","('fridge', 1.052685844855106)","('coat', 1.8925054305311046)","('toiletseat', 1.9572789200091203)","('boxing_gloves', 3.049455934381477)","('ovenmitt', 3.145311270604944)","('ovenmitt', 3.145311270604944)"
9,"('tub', 1.0459446836416815)","('lego', 1.0461633144913454)","('lego', 1.0461633144913454)","('tractor', 1.0354502769974765)","('pokerchips', 1.0361341327406814)","('pokerchips', 1.0361341327406814)","('dishrack', 1.041880645615315)","('cheese', 1.0479559528747593)","('seashell', 1.7769115313153463)","('seashell', 1.9107825130625047)","('ovenmitt', 3.047546959624046)","('scissors', 2.954186474564877)","('scissors', 2.954186474564877)"
