,AlexNet_Places365
0,"(1.0184208950150941, 0.03835453429243216)"
1,"(1.0183499704002745, 0.03824240611765214)"
2,"(1.0183499704002745, 0.03824240611765214)"
3,"(1.0104567453180673, 0.035245657730517944)"
4,"(1.0103625437826598, 0.0336286622016861)"
5,"(1.0103625437826598, 0.0336286622016861)"
6,"(1.0149666706680736, 0.03297247860930044)"
7,"(1.017464774076865, 0.039846421976315535)"
8,"(1.1908880560988218, 0.6254131582087619)"
9,"(1.2151804038149079, 0.6949596053539463)"
10,"(1.965981759235843, 5.315551050213183)"
11,"(5.31535913224835, 24.337531153512217)"
12,"(5.31535913224835, 24.337531153512217)"
