,AlexNet_Places365
0,"(0.8033474176212559, 0.009070953819877723)"
1,"(0.8045120208593355, 0.008981343281612913)"
2,"(0.8045120208593355, 0.008981343281612913)"
3,"(0.8386128775498343, 0.005054103919185727)"
4,"(0.8396353066780613, 0.004899970718546699)"
5,"(0.8396353066780613, 0.004899970718546699)"
6,"(0.7862283933563171, 0.005922057831316314)"
7,"(0.7562533792014074, 0.006198142208893233)"
8,"(0.1655986500129076, 0.013817531759550573)"
9,"(0.15406400107754115, 0.013717861387077)"
10,"(0.08793063912847464, 0.016033937623716757)"
11,"(0.07975005817085563, 0.015016660203276124)"
12,"(0.07975005817085563, 0.015016660203276124)"
