,AlexNet_Places365
0,"(0.7889785769950038, 0.05740055365745285)"
1,"(0.790173347297084, 0.05671923345068865)"
2,"(0.790173347297084, 0.05671923345068865)"
3,"(0.829974481845107, 0.022095851492673013)"
4,"(0.8310635591377183, 0.022022860967978324)"
5,"(0.8310635591377183, 0.022022860967978324)"
6,"(0.7747656475430778, 0.036022748189539426)"
7,"(0.7434386691778148, 0.035849922605772154)"
8,"(0.14024884111760452, 0.04598408986541342)"
9,"(0.12862310152139866, 0.044458298269276886)"
10,"(0.043233143328938045, 0.036883387901721305)"
11,"(0.03706731176644981, 0.03520198352798836)"
12,"(0.03706731176644981, 0.03520198352798836)"
