,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10,Layer14_top10,Layer15_top10,Layer16_top10,Layer17_top10,Layer18_top10
0,"('toiletseat', 1.0712931432333979)","('toiletseat', 1.0712931432333979)","('board', 1.0556283312509167)","('board', 1.2086602154341144)","('board', 1.2086602154341144)","('board', 1.1656278885718951)","('tub', 1.1447827802581814)","('tub', 1.1447827802581814)","('toiletseat', 1.2334230202295824)","('toiletseat', 1.10255183657125)","('toiletseat', 1.0847186126507902)","('tub', 1.185528709414314)","('board', 1.1944150744587934)","('board', 1.1944150744587934)","('doll', 1.1416665621686295)","('board', 1.3263937064624924)","('chicken', 1.022371093613408)","('golfcart', 1.7706284859227277)"
1,"('ovenmitt', 1.069979039811097)","('ovenmitt', 1.069979039811097)","('trafficlight', 1.052768656696118)","('tub', 1.1560999406208732)","('tub', 1.1560999406208732)","('bike', 1.12047789838285)","('coat', 1.1430303053703603)","('coat', 1.1430303053703603)","('scissors', 1.2295590983639488)","('scissors', 1.09165724696147)","('tub', 1.0728598824957125)","('toiletseat', 1.1724245542937342)","('toiletseat', 1.1674368962676807)","('toiletseat', 1.1674368962676807)","('board', 1.1180620377166433)","('ovenmitt', 1.2990824495010622)","('dishrack', 1.0200899234752727)","('bathrobe', 1.691029425079645)"
2,"('coat', 1.0577121702495664)","('coat', 1.0577121702495664)","('coat', 1.0499739270103756)","('doll', 1.1420856634016028)","('doll', 1.1420856634016028)","('doll', 1.109742420725843)","('beachumbrella', 1.1332140836397147)","('beachumbrella', 1.1332140836397147)","('toothbrush', 1.1900260677495618)","('beachumbrella', 1.0741873559190904)","('board', 1.0671667429038585)","('board', 1.1608464965956928)","('doll', 1.1559876641387201)","('doll', 1.1559876641387201)","('bathrobe', 1.0961480782495272)","('tub', 1.2597342077738953)","('rearview_mirror', 1.0197584398043376)","('tractor', 1.634969884678946)"
3,"('maplesyrup', 1.051897130008861)","('maplesyrup', 1.051897130008861)","('pokerchips', 1.0467055667271337)","('bike', 1.122611111122148)","('bike', 1.122611111122148)","('tub', 1.1072265590652548)","('toiletseat', 1.12945194849719)","('toiletseat', 1.12945194849719)","('beachumbrella', 1.1778256589864677)","('coat', 1.0740653314533624)","('horse', 1.0611368229264164)","('doll', 1.1148987886879436)","('bathrobe', 1.1435622321998526)","('bathrobe', 1.1435622321998526)","('coffeetable', 1.0927193484141624)","('pokerchips', 1.235947376594851)","('sleepingbag', 1.0185910664215982)","('garbagebag', 1.5999422359261868)"
4,"('toothbrush', 1.0511236709155942)","('toothbrush', 1.0511236709155942)","('lego', 1.0437138951228495)","('cheese', 1.1163808240744593)","('cheese', 1.1163808240744593)","('coat', 1.0794387328645616)","('doll', 1.123819645234262)","('doll', 1.123819645234262)","('racket', 1.1529113386302177)","('beachball', 1.0615807714230887)","('coffeetable', 1.053992441668969)","('horse', 1.109371694725683)","('coffeetable', 1.128852388145178)","('coffeetable', 1.128852388145178)","('coffeemaker', 1.082596206679586)","('medal', 1.176124081253246)","('seashell', 1.0154684934902352)","('racket', 1.564502021768438)"
5,"('coffeetable', 1.0501570435539296)","('coffeetable', 1.0501570435539296)","('doll', 1.0432866651341837)","('coat', 1.1108492232690512)","('coat', 1.1108492232690512)","('scissors', 1.0690348955330227)","('board', 1.1215724680703794)","('board', 1.1215724680703794)","('coat', 1.1481692029624766)","('tub', 1.060455272133617)","('rearview_mirror', 1.0488073555977981)","('coat', 1.1025907110255568)","('lego', 1.11966973913936)","('lego', 1.11966973913936)","('ovenmitt', 1.07822561020613)","('nail', 1.1678951839377638)","('television', 1.0147997542380938)","('seashell', 1.5536299813548695)"
6,"('boxing_gloves', 1.0475120542423022)","('boxing_gloves', 1.0475120542423022)","('coffeetable', 1.0431506998608564)","('bathrobe', 1.1031707086378282)","('bathrobe', 1.1031707086378282)","('toothbrush', 1.0591656358957817)","('scissors', 1.1110347673166254)","('scissors', 1.1110347673166254)","('doll', 1.1440755893446566)","('horse', 1.0556440683355817)","('racket', 1.0468464443518521)","('ovenmitt', 1.0835493899318867)","('tub', 1.100997504752545)","('tub', 1.100997504752545)","('racket', 1.0588391919698812)","('belt', 1.1571900418767525)","('cheese', 1.0147915001951033)","('coffeemaker', 1.5296651817773483)"
7,"('fridge', 1.0457619459276528)","('fridge', 1.0457619459276528)","('fridge', 1.0423067179937564)","('toothbrush', 1.0951557282473001)","('toothbrush', 1.0951557282473001)","('beachumbrella', 1.0589134743003041)","('beachball', 1.0830547404484023)","('beachball', 1.0830547404484023)","('board', 1.1408598087592048)","('chicken', 1.0547979914295924)","('sushi', 1.0428322130486398)","('scissors', 1.0799175799506142)","('ovenmitt', 1.088792216851284)","('ovenmitt', 1.088792216851284)","('toothbrush', 1.0570502569019937)","('coffeetable', 1.157151172166995)","('coat', 1.0128382316233264)","('maplesyrup', 1.3569606231657871)"
8,"('highchair', 1.0428696122686967)","('highchair', 1.0428696122686967)","('excersiceequipment', 1.0382748998933395)","('excersiceequipment', 1.0793800295974996)","('excersiceequipment', 1.0793800295974996)","('maplesyrup', 1.0575148873372526)","('coffeetable', 1.055321423316231)","('coffeetable', 1.055321423316231)","('tub', 1.1359201454599643)","('board', 1.050176250587361)","('beachball', 1.0395208645969203)","('beachball', 1.0703798720141935)","('coat', 1.07112439328547)","('coat', 1.07112439328547)","('medal', 1.057013176531041)","('bike', 1.115122266490532)","('mailbox', 1.0119702743175274)","('tub', 1.3332334382221016)"
9,"('bike', 1.0421322976749015)","('bike', 1.0421322976749015)","('backhoe', 1.0379874988415327)","('fridge', 1.0748009975624948)","('fridge', 1.0748009975624948)","('boxing_gloves', 1.0559972396343273)","('toothbrush', 1.054744777260569)","('toothbrush', 1.054744777260569)","('rearview_mirror', 1.1215497947697595)","('racket', 1.043899172437327)","('doll', 1.035133579489245)","('coffeetable', 1.0700618322062947)","('toothbrush', 1.0706707958714017)","('toothbrush', 1.0706707958714017)","('tub', 1.0547369933513877)","('chair', 1.0994369189411428)","('board', 1.0109108518204215)","('computer', 1.3321328367249072)"
