,GoogLeNet
0,"(1.0083951764225096, 0.03745653915380294)"
1,"(1.0083951764225096, 0.03745653915380294)"
2,"(1.0064284831200228, 0.03441375901968465)"
3,"(1.0175427379398334, 0.07902617878435675)"
4,"(1.0175427379398334, 0.07902617878435675)"
5,"(1.0029393569532496, 0.06830629241346456)"
6,"(1.0087946821020237, 0.07145979483415271)"
7,"(1.0087946821020237, 0.07145979483415271)"
8,"(1.003904068824821, 0.11755912361049217)"
9,"(0.9989541367148922, 0.051651199124613904)"
10,"(1.0016957106491688, 0.045148136221116776)"
11,"(1.0017101772932624, 0.0847089695258585)"
12,"(0.9987298567886241, 0.09226726585824532)"
13,"(0.9987298567886241, 0.09226726585824532)"
14,"(1.001458208934041, 0.06145601073309665)"
15,"(0.9965141032663423, 0.13580061081700778)"
16,"(1.0009737122397915, 0.010906463369812854)"
17,"(1.024493754094995, 0.33494980002817065)"
