,GoogLeNet
0,"(0.7903715103116123, 0.008430569116439416)"
1,"(0.7903715103116123, 0.008430569116439416)"
2,"(0.7797222224520737, 0.0074033811798871136)"
3,"(0.5895951432759541, 0.009971837703585661)"
4,"(0.5895951432759541, 0.009971837703585661)"
5,"(0.6089289468900221, 0.007882890140042547)"
6,"(0.4854913273229901, 0.007368718702462117)"
7,"(0.4854913273229901, 0.007368718702462117)"
8,"(0.3341626343105892, 0.00660707942938116)"
9,"(0.5248113990770096, 0.0052420922030401405)"
10,"(0.5952789232569045, 0.004629193303209357)"
11,"(0.49990466424993757, 0.007267244965763322)"
12,"(0.44712157096478095, 0.007357700884471889)"
13,"(0.44712157096478095, 0.007357700884471889)"
14,"(0.46144850726888137, 0.005422547586527556)"
15,"(0.0844486894016442, 0.002030588929282812)"
16,"(0.7032390329807946, 0.0015746108812992503)"
17,"(0.02152687752031944, 0.0009941698331048406)"
