,GoogLeNet
0,"(0.7840822467524149, 0.05565755938850967)"
1,"(0.7840822467524149, 0.05565755938850967)"
2,"(0.7748345335505995, 0.045780954463077665)"
3,"(0.5807425129271472, 0.0662558281818117)"
4,"(0.5807425129271472, 0.0662558281818117)"
5,"(0.6072680762928986, 0.03908760164173217)"
6,"(0.4817823520574061, 0.04533294942776067)"
7,"(0.4817823520574061, 0.04533294942776067)"
8,"(0.3329128659458542, 0.02632032402195501)"
9,"(0.525269401946273, 0.02373948423272408)"
10,"(0.5943205293304773, 0.020417674335630753)"
11,"(0.4989109548347968, 0.0262693376714022)"
12,"(0.44744021463296174, 0.0285499233120369)"
13,"(0.44744021463296174, 0.0285499233120369)"
14,"(0.4607227709459547, 0.02500541513205004)"
15,"(0.08475731355542238, 0.00844719751811973)"
16,"(0.7025513434544369, 0.0077424071061182615)"
17,"(0.021151020722396982, 0.0026891416302508237)"
