,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10
0,"('rearview_mirror', 1.0692765162948465)","('cheese', 1.0659975948141067)","('cheese', 1.0660017146628715)","('cheese', 1.0660017146628715)","('board', 1.1192447381903765)","('cheese', 1.1191321830186178)","('tub', 1.2751174659405535)","('sleepingbag', 1.0383134368257467)","('medal', 1.0061065726447709)"
1,"('bike', 1.0599138788637987)","('coat', 1.0649539155226)","('coat', 1.0649594038172094)","('coat', 1.0649594038172094)","('toothbrush', 1.0946769859280536)","('toothbrush', 1.0845650650893839)","('toiletseat', 1.2247760946844846)","('backhoe', 1.0369335986848671)","('rearview_mirror', 1.0058364026609021)"
2,"('pokerchips', 1.0498017240005344)","('toothbrush', 1.0640633668846187)","('toothbrush', 1.0639157319074704)","('toothbrush', 1.0639157319074704)","('doll', 1.087451929801279)","('board', 1.0760313801790136)","('rearview_mirror', 1.2023109324398975)","('pokerchips', 1.0368473361927666)","('burger', 1.005301253642006)"
3,"('bag', 1.0488999737248725)","('coffeetable', 1.0541037558607584)","('coffeetable', 1.054104236205187)","('coffeetable', 1.054104236205187)","('cheese', 1.0851796212406346)","('bike', 1.0710497702967403)","('lego', 1.186234313458747)","('fridge', 1.0307108135257779)","('computer', 1.0049420311258574)"
4,"('coat', 1.0485051892625337)","('bathrobe', 1.052162543640077)","('bathrobe', 1.0521645452086632)","('bathrobe', 1.0521645452086632)","('bathrobe', 1.0817391396147922)","('maplesyrup', 1.0679982180618364)","('boxing_gloves', 1.1795253479107033)","('racket', 1.0306386252670323)","('fridge', 1.0043146215046252)"
5,"('dishrack', 1.048058132666135)","('maplesyrup', 1.0446440130307078)","('maplesyrup', 1.0446467634977001)","('maplesyrup', 1.0446467634977001)","('coat', 1.0750387308393188)","('toiletseat', 1.0666740056495683)","('coffeemaker', 1.1436276122471796)","('scissors', 1.0298473849516157)","('coffeemaker', 1.0041708240669993)"
6,"('coffeetable', 1.0447796587413505)","('fridge', 1.0432422370050862)","('fridge', 1.043243958026354)","('fridge', 1.043243958026354)","('tub', 1.0722923849808381)","('tub', 1.0616604412380823)","('doll', 1.1358197950105573)","('toiletseat', 1.0285638708197833)","('sleepingbag', 1.003647571773264)"
7,"('kayak', 1.040613079387973)","('tub', 1.033427324457854)","('tub', 1.0334315957267897)","('tub', 1.0334315957267897)","('maplesyrup', 1.0711240308977898)","('computer', 1.060609887596166)","('fridge', 1.1141569860807528)","('coffeetable', 1.0257598286823928)","('ovenmitt', 1.0036364775591722)"
8,"('mailbox', 1.039944576712695)","('trafficlight', 1.0323234588835157)","('trafficlight', 1.0323317081712957)","('trafficlight', 1.0323317081712957)","('trafficlight', 1.0663661070253045)","('beachball', 1.0581332182518721)","('ovenmitt', 1.1086780374806884)","('tub', 1.02509552834144)","('highchair', 1.0032879826995615)"
9,"('medal', 1.039404198854736)","('rearview_mirror', 1.0320485181970038)","('rearview_mirror', 1.032010905266397)","('rearview_mirror', 1.032010905266397)","('pizza', 1.0636530966253641)","('fridge', 1.0579071284588852)","('belt', 1.0846461244059533)","('medal', 1.022355118252048)","('dishrack', 1.0032814919819348)"
