,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10
0,"('sleepingbag', 0.8781943935461287)","('nail', 0.7952677239026934)","('nail', 0.7952219424804806)","('nail', 0.7952219424804806)","('sleepingbag', 0.78776040966083)","('sleepingbag', 0.8153114220324511)","('tractor', 0.616351187849259)","('carpet', 0.9512601390480886)","('tractor', 0.9893586081663404)"
1,"('seashell', 0.9169305267885687)","('sleepingbag', 0.8261468365689355)","('sleepingbag', 0.826113867496252)","('sleepingbag', 0.826113867496252)","('nail', 0.835401979093547)","('golfcart', 0.8447959250906436)","('golfcart', 0.6377066853127195)","('bag', 0.9605805446900213)","('toothbrush', 0.991427841106574)"
2,"('golfcart', 0.9215849316843209)","('bowlingball', 0.8315733049533098)","('bowlingball', 0.8315733040296445)","('bowlingball', 0.8315733040296445)","('sushi', 0.8493808144622499)","('bag', 0.8449250484368466)","('bag', 0.6803892804063075)","('scissors', 0.9704942355077245)","('carpet', 0.9924525165969592)"
3,"('nail', 0.9260769636233923)","('sushi', 0.833194534864798)","('sushi', 0.8331945340847591)","('sushi', 0.8331945340847591)","('seashell', 0.8586092074897874)","('chicken', 0.8559559279783949)","('carpet', 0.7233211260151378)","('pizza', 0.9715927945884102)","('pizza', 0.9951949549374595)"
4,"('racket', 0.9422835684579912)","('mailbox', 0.8667738153723145)","('mailbox', 0.8667524196216637)","('mailbox', 0.8667524196216637)","('chicken', 0.902498494188761)","('kayak', 0.8625807470505203)","('sleepingbag', 0.7592098610658025)","('chair', 0.9720294380986951)","('horse', 0.9954504270216202)"
5,"('beachball', 0.9447209791183729)","('golfcart', 0.8838626954878024)","('golfcart', 0.883969495267736)","('golfcart', 0.883969495267736)","('golfcart', 0.902671778310976)","('racket', 0.9073709459715513)","('belt', 0.7847696874825633)","('ovenmitt', 0.9721433603331636)","('chicken', 0.9955923068767212)"
6,"('beachumbrella', 0.958872870083822)","('garbagebag', 0.9137348957554459)","('garbagebag', 0.9137348953399484)","('garbagebag', 0.9137348953399484)","('bowlingball', 0.9180717410227716)","('beachumbrella', 0.9138266658861584)","('toothbrush', 0.8117788250171238)","('fridge', 0.9725113048372804)","('bathrobe', 0.9963734149105482)"
7,"('bat', 0.9594434288526803)","('bag', 0.9234877188884176)","('bag', 0.923487718167516)","('bag', 0.923487718167516)","('burger', 0.9341146118590742)","('burger', 0.9258944574401899)","('backhoe', 0.8258391100763451)","('cheese', 0.9745050607980794)","('board', 0.9964249976395381)"
8,"('bowlingball', 0.9625445029794177)","('medal', 0.9270063881912962)","('medal', 0.9269877363804643)","('medal', 0.9269877363804643)","('pokerchips', 0.956555610559791)","('backhoe', 0.9316029605912461)","('highchair', 0.832391740784602)","('doll', 0.9775439198159425)","('doll', 0.9965420102267504)"
9,"('garbagebag', 0.9664188946797222)","('burger', 0.9325433382067269)","('burger', 0.9325433375767102)","('burger', 0.9325433375767102)","('carpet', 0.9589383575325144)","('nail', 0.939041122385026)","('medal', 0.8625295698664371)","('coat', 0.977642943228155)","('footballball', 0.9976638577921759)"
