,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10
0,"('seashell', 0.9158219822122361)","('golfcart', 0.958850642194199)","('golfcart', 0.9586096624697421)","('golfcart', 0.9586096624697421)","('toothbrush', 0.9094265804477507)","('sleepingbag', 0.7968645294080963)","('nail', 0.2620327670266052)","('ovenmitt', 0.36114714315296864)","('ovenmitt', -0.41519161371540225)"
1,"('sleepingbag', 0.9211318639369221)","('racket', 0.962885702323251)","('racket', 0.9627624295089299)","('racket', 0.9627624295089299)","('racket', 0.9400071530186795)","('golfcart', 0.8813919644748567)","('sleepingbag', 0.46252620005465217)","('trafficlight', 0.5296754002447681)","('nail', -0.02432978273952356)"
2,"('racket', 0.9455753880683679)","('horse', 0.9664175532303222)","('horse', 0.9665613513253258)","('horse', 0.9665613513253258)","('horse', 0.9536100972379495)","('garbagebag', 0.9076872307748806)","('golfcart', 0.5049946325744508)","('sleepingbag', 0.5571304169002684)","('sleepingbag', 0.24415598847178072)"
3,"('golfcart', 0.9484745931756353)","('garbagebag', 0.9753035623976651)","('garbagebag', 0.974898495508107)","('garbagebag', 0.974898495508107)","('golfcart', 0.9603753369541742)","('nail', 0.91054581733813)","('trafficlight', 0.5342839281652527)","('nail', 0.6611958099762865)","('trafficlight', 0.278987111734299)"
4,"('beachumbrella', 0.9603826340215501)","('beachball', 0.976561274974558)","('beachball', 0.9764960868543319)","('beachball', 0.9764960868543319)","('beachball', 0.9638955426635681)","('kayak', 0.9156772033683442)","('garbagebag', 0.6228407227436259)","('belt', 0.9080947613626732)","('bathrobe', 0.6690941810939938)"
5,"('computer', 0.9631149707622271)","('board', 0.9793056900368089)","('board', 0.9789874594150565)","('board', 0.9789874594150565)","('carpet', 0.9639761600364046)","('footballball', 0.9276200066778149)","('sushi', 0.7240044487715629)","('garbagebag', 0.9376949632076983)","('mailbox', 0.7193322017440832)"
6,"('beachball', 0.9640677139072849)","('beachumbrella', 0.9804175393790994)","('sleepingbag', 0.981170551421845)","('sleepingbag', 0.981170551421845)","('sleepingbag', 0.9702588911981919)","('racket', 0.9387215564262501)","('tractor', 0.8341775768723618)","('mailbox', 1.0040275386017234)","('belt', 0.8084945481871738)"
7,"('toothbrush', 0.966308654454782)","('sleepingbag', 0.9812989961478682)","('seashell', 0.9813126393487315)","('seashell', 0.9813126393487315)","('board', 0.9714568629410552)","('toothbrush', 0.9467402384174004)","('bag', 0.8355399286933742)","('bathrobe', 1.0353675223591794)","('coat', 0.8997157514506912)"
8,"('horse', 0.9666181290704141)","('seashell', 0.9815625934790242)","('beachumbrella', 0.9843194609288998)","('beachumbrella', 0.9843194609288998)","('trafficlight', 0.976328977695546)","('boxing_gloves', 0.9634466873220789)","('footballball', 0.8412114836939886)","('coat', 1.0864301543829005)","('cheese', 1.2547945343019273)"
9,"('bat', 0.9723691303253267)","('toothbrush', 0.9846363284272894)","('toothbrush', 0.9855345270911083)","('toothbrush', 0.9855345270911083)","('beachumbrella', 0.9801927906210894)","('beachumbrella', 0.964652265130857)","('bowlingball', 0.8521816028814683)","('coffeetable', 1.141674792120081)","('garbagebag', 1.3100458673632565)"
