,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10
0,"('rearview_mirror', 1.0813583558585322)","('cheese', 1.0383395015302401)","('cheese', 1.0378098433203249)","('cheese', 1.0378098433203249)","('rearview_mirror', 1.0787470900319767)","('rearview_mirror', 1.2961292741369097)","('rearview_mirror', 2.5871606666571125)","('seashell', 4.209958258094531)","('chicken', 7.201150767176753)"
1,"('coat', 1.0612794813754407)","('rearview_mirror', 1.03570754003597)","('rearview_mirror', 1.035566714963519)","('rearview_mirror', 1.035566714963519)","('excersiceequipment', 1.0583832105173605)","('bathrobe', 1.1931264562003665)","('tub', 2.1468421004989535)","('chicken', 3.468902237750942)","('backhoe', 7.10797043751291)"
2,"('bike', 1.0611998044973927)","('medal', 1.033164673244359)","('medal', 1.0330567714440515)","('medal', 1.0330567714440515)","('mailbox', 1.0514475757707957)","('toiletseat', 1.1398651759598055)","('seashell', 2.1154239734623848)","('backhoe', 3.468730368467416)","('seashell', 7.001537768786373)"
3,"('cheese', 1.0604076013183459)","('kayak', 1.0294949064420664)","('kayak', 1.0293994606475672)","('kayak', 1.0293994606475672)","('medal', 1.0514095385689923)","('television', 1.1329606606231566)","('toiletseat', 2.071098442337959)","('tub', 3.2958860362359994)","('horse', 6.936274991693364)"
4,"('pokerchips', 1.0603657955108423)","('coffeetable', 1.024738632339627)","('coffeetable', 1.0246007939772566)","('coffeetable', 1.0246007939772566)","('cheese', 1.0508406034159634)","('tub', 1.1230474488899564)","('bathrobe', 1.9304314805940863)","('toiletseat', 3.2319474891232467)","('tractor', 6.447793670996245)"
5,"('medal', 1.0571911625183181)","('maplesyrup', 1.024342645813193)","('maplesyrup', 1.024214041282445)","('maplesyrup', 1.024214041282445)","('coat', 1.0500354417400395)","('bike', 1.1217882499679612)","('coat', 1.8520867307408082)","('rearview_mirror', 3.210854575789186)","('excersiceequipment', 5.286620297248908)"
6,"('burger', 1.0552136025279137)","('coat', 1.0219498790445185)","('coat', 1.0218227584890751)","('coat', 1.0218227584890751)","('burger', 1.0498786465374332)","('scissors', 1.1180668555009519)","('board', 1.8194141513397264)","('horse', 3.0951172721265303)","('racket', 4.763440798279969)"
7,"('bag', 1.053262745889479)","('excersiceequipment', 1.0216058284194154)","('excersiceequipment', 1.0214658654935487)","('excersiceequipment', 1.0214658654935487)","('maplesyrup', 1.0449198227432706)","('board', 1.1031819994283396)","('pokerchips', 1.6354250632828229)","('excersiceequipment', 2.9636640944177164)","('rearview_mirror', 4.581339856804188)"
8,"('maplesyrup', 1.0524160477222368)","('burger', 1.0205240280622765)","('burger', 1.020427952041902)","('burger', 1.020427952041902)","('lego', 1.0416860823093752)","('coat', 1.0966778405218738)","('chicken', 1.5556278755432602)","('carpet', 2.9286326722067426)","('carpet', 4.27036406255479)"
9,"('dishrack', 1.0515147085595031)","('scissors', 1.018562310397515)","('scissors', 1.0184423799180704)","('scissors', 1.0184423799180704)","('bike', 1.041443817005198)","('dishrack', 1.0875634026688883)","('bat', 1.5371391453446528)","('chair', 2.907592159952719)","('tub', 4.24371890168038)"
