,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10
0,"('sleepingbag', 0.9203230691416074)","('sushi', 0.8803893335046916)","('sushi', 0.8812243595834708)","('sushi', 0.8812243595834708)","('sleepingbag', 0.7858194830008977)","('kayak', 0.7681217245360403)","('golfcart', 0.875093876700883)","('footballball', 0.9703592164766586)","('backhoe', 0.9975555278291571)"
1,"('beachumbrella', 0.9209013467604807)","('mailbox', 0.8932200940457181)","('mailbox', 0.8929324353429124)","('mailbox', 0.8929324353429124)","('golfcart', 0.8445224968443769)","('sleepingbag', 0.8197435700754669)","('tractor', 0.88647352154671)","('bag', 0.977530801919379)","('tractor', 0.997960281388977)"
2,"('beachball', 0.9211556989177565)","('bowlingball', 0.9020729653534982)","('bowlingball', 0.9021430419166421)","('bowlingball', 0.9021430419166421)","('kayak', 0.8736607594578062)","('bag', 0.8544336429098256)","('horse', 0.8893307589229495)","('garbagebag', 0.9809175951749972)","('pizza', 0.9980411394739039)"
3,"('tub', 0.9413719893091418)","('garbagebag', 0.9196079639295636)","('garbagebag', 0.919553961009825)","('garbagebag', 0.919553961009825)","('nail', 0.8855085581403764)","('golfcart', 0.9025684090599153)","('bag', 0.9017721186595085)","('rearview_mirror', 0.9827362286012155)","('maplesyrup', 0.9980715961937208)"
4,"('golfcart', 0.9428696677053993)","('golfcart', 0.9228561486904668)","('golfcart', 0.9236651041861412)","('golfcart', 0.9236651041861412)","('bag', 0.8946944719083044)","('nail', 0.9025865610298384)","('backhoe', 0.9065334160463061)","('cheese', 0.9856341827939387)","('bike', 0.9982483878518599)"
5,"('toothbrush', 0.9535295347300653)","('sleepingbag', 0.9282771376009846)","('sleepingbag', 0.9286264084896177)","('sleepingbag', 0.9286264084896177)","('chicken', 0.9137167883090684)","('chicken', 0.9067209561644016)","('mailbox', 0.9171678944732186)","('bathrobe', 0.9859193070680458)","('racket', 0.9984347972015781)"
6,"('seashell', 0.9539494830298673)","('chicken', 0.9441447172952552)","('chicken', 0.9441037653744865)","('chicken', 0.9441037653744865)","('bowlingball', 0.929177479816509)","('backhoe', 0.9278245593934212)","('burger', 0.9374702024211194)","('doll', 0.987678470522887)","('horse', 0.9985209007437384)"
7,"('garbagebag', 0.9542484807899304)","('seashell', 0.9466347704268364)","('seashell', 0.9464050299190002)","('seashell', 0.9464050299190002)","('sushi', 0.9450666117896173)","('garbagebag', 0.9523661842574126)","('carpet', 0.9408799146097389)","('maplesyrup', 0.9883490184246135)","('doll', 0.998688865363862)"
8,"('racket', 0.9567625724896984)","('bat', 0.9563136626930434)","('bat', 0.9559300582868405)","('bat', 0.9559300582868405)","('garbagebag', 0.9475007491170095)","('seashell', 0.9580106704104425)","('kayak', 0.9430357977252758)","('pizza', 0.989721505248765)","('bathrobe', 0.9988728937501984)"
9,"('nail', 0.9713090862738868)","('backhoe', 0.9631742748607545)","('backhoe', 0.962925955326084)","('backhoe', 0.962925955326084)","('seashell', 0.9475572401464037)","('burger', 0.9594010637835261)","('pizza', 0.9533232228568447)","('mailbox', 0.9925280939222533)","('burger', 0.998900700999515)"
