,Vgg16
0,"(1.0030419098363397, 0.013665588459468787)"
1,"(1.0031092961686083, 0.013446476883321614)"
2,"(1.0122336329800565, 0.04388018980729349)"
3,"(1.0122332346640122, 0.04388042978845497)"
4,"(1.0122332346640122, 0.04388042978845497)"
5,"(1.0296303502548345, 0.07845065199407492)"
6,"(1.0296303502548345, 0.07845065199407492)"
7,"(1.0415862176547521, 0.16032605125186958)"
8,"(1.0415862176547521, 0.16032605125186958)"
9,"(1.0415862176547521, 0.16032605125186958)"
10,"(1.027359749518674, 0.09508630501146392)"
11,"(1.0273791040292302, 0.09502268257917207)"
12,"(1.0262703537313094, 0.12803166681700523)"
13,"(1.0262818512502037, 0.12801741030453878)"
14,"(1.0436205690988574, 0.21529883551568446)"
15,"(1.04360809883085, 0.21526121610498322)"
16,"(1.04360809883085, 0.21526121610498322)"
17,"(1.0521422803857137, 0.19396791132782099)"
18,"(1.0522233996719534, 0.1939409153575575)"
19,"(1.107323148653511, 0.3011996513200537)"
20,"(1.1073434166862568, 0.30138936036079655)"
21,"(1.2962657056298097, 1.8678430955932726)"
22,"(1.460475001669928, 2.87579513539369)"
23,"(1.460475001669928, 2.87579513539369)"
24,"(8.649012523101971, 51.15514995083595)"
25,"(-5.251229183308405, 46.18632953554578)"
26,"(1.2616582493202553, 1.2846702175122386)"
27,"(1.3098163076594045, 1.3884923807402)"
28,"(1.6315085071801523, 2.324115189005449)"
29,"(4.065263092726852, 20.62260889583053)"
30,"(4.065263092726852, 20.62260889583053)"
