,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10,Layer14_bottom10,Layer15_bottom10,Layer16_bottom10,Layer17_bottom10,Layer18_bottom10,Layer19_bottom10,Layer20_bottom10,Layer21_bottom10,Layer22_bottom10,Layer23_bottom10,Layer24_bottom10,Layer25_bottom10,Layer26_bottom10,Layer27_bottom10,Layer28_bottom10,Layer29_bottom10,Layer30_bottom10,Layer31_bottom10
0,"('seashell', 0.962326456297579)","('seashell', 0.9623800801068908)","('garbagebag', 0.907972326908617)","('garbagebag', 0.907972326908617)","('garbagebag', 0.907972326908617)","('garbagebag', 0.7572705030455767)","('garbagebag', 0.7572705030455767)","('garbagebag', 0.5787441828850468)","('garbagebag', 0.5787441828850468)","('garbagebag', 0.5787441828850468)","('sleepingbag', 0.7527886220502106)","('sleepingbag', 0.7527886220502106)","('kayak', 0.6757808430064294)","('kayak', 0.6757808430064294)","('sleepingbag', 0.4941855864569425)","('sleepingbag', 0.4941855864569425)","('sleepingbag', 0.4941855864569425)","('kayak', 0.461725575497939)","('kayak', 0.46180543977776106)","('kayak', 0.15923526618393286)","('kayak', 0.16005662133225698)","('seashell', -4.838005366466826)","('seashell', -4.976458942810696)","('seashell', -4.976458942810696)","('horse', -0.696916805187803)","('seashell', -328.4900764820232)","('chicken', -3.9650788348003085)","('chicken', -4.126394939582353)","('garbagebag', -5.031341016659421)","('bathrobe', -16.577010547591748)","('bathrobe', -16.577010547591748)"
1,"('beachball', 0.968340464682095)","('beachball', 0.9686439566648747)","('beachball', 0.9163203270230044)","('beachball', 0.9163203270230044)","('beachball', 0.9163203270230044)","('nail', 0.8705710280025528)","('nail', 0.8705710280025528)","('nail', 0.666857880677045)","('nail', 0.666857880677045)","('nail', 0.666857880677045)","('garbagebag', 0.7809938214280273)","('garbagebag', 0.7813244888032128)","('sleepingbag', 0.6988500139393096)","('sleepingbag', 0.6988500139393096)","('kayak', 0.49532955270988577)","('kayak', 0.49535885208071573)","('kayak', 0.49535885208071573)","('golfcart', 0.5366457108280547)","('golfcart', 0.5353279627620805)","('golfcart', 0.18922098930540596)","('golfcart', 0.18839577526033968)","('horse', -0.7915817412978654)","('horse', -0.7879954829192064)","('horse', -0.7879954829192064)","('kayak', -0.216432944711524)","('horse', -0.723863448868102)","('seashell', -2.036826917820034)","('seashell', -1.936879879725285)","('seashell', -2.669557706258715)","('seashell', -2.2218768380880776)","('seashell', -2.2218768380880776)"
2,"('beachumbrella', 0.9779999077198338)","('beachumbrella', 0.9822350486602565)","('boxing_gloves', 0.9207888365736285)","('boxing_gloves', 0.9207888365736285)","('boxing_gloves', 0.9207888365736285)","('footballball', 0.9020573213427205)","('footballball', 0.9020573213427205)","('racket', 0.7511960917586041)","('racket', 0.7511960917586041)","('racket', 0.7511960917586041)","('kayak', 0.8470449094558943)","('kayak', 0.8470449094558943)","('golfcart', 0.7449408618587423)","('golfcart', 0.7449408618587423)","('garbagebag', 0.6153527281309454)","('garbagebag', 0.6153527281309454)","('garbagebag', 0.6153527281309454)","('sleepingbag', 0.6004738992717465)","('sleepingbag', 0.6007044704238246)","('sleepingbag', 0.5389641558880783)","('sleepingbag', 0.5408186009587103)","('pizza', -0.4922664421819291)","('pizza', -0.33153036908148376)","('pizza', -0.33153036908148376)","('golfcart', 0.16277319611793833)","('kayak', -0.21524603288147978)","('kayak', -0.8087804659656904)","('kayak', -0.9791230228392727)","('doll', -2.556145151923512)","('scissors', -1.9434546736711653)","('scissors', -1.9434546736711653)"
3,"('sleepingbag', 0.9832093618169748)","('sleepingbag', 0.9831140261854109)","('nail', 0.9248236547867721)","('nail', 0.9248236547867721)","('nail', 0.9248236547867721)","('beachball', 0.9158923195421076)","('beachball', 0.9158923195421076)","('sleepingbag', 0.770487225527963)","('sleepingbag', 0.770487225527963)","('sleepingbag', 0.770487225527963)","('racket', 0.8983817950490159)","('racket', 0.898419367313146)","('beachumbrella', 0.7713655138744818)","('beachumbrella', 0.7713655138744818)","('nail', 0.6235135626687269)","('nail', 0.6236386055681351)","('nail', 0.6236386055681351)","('garbagebag', 0.7624582222580968)","('garbagebag', 0.7623516280414248)","('horse', 0.7123461848039343)","('horse', 0.7126715514389008)","('kayak', -0.1706494181964564)","('kayak', -0.18298315530060866)","('kayak', -0.18298315530060866)","('tractor', 0.3883912790473428)","('golfcart', 0.16120655450488622)","('pizza', -0.014127029525576498)","('pizza', 0.0823234059965835)","('chicken', -1.5253382969012044)","('doll', -1.9433434622766919)","('doll', -1.9433434622766919)"
4,"('tub', 0.9838405843284604)","('toothbrush', 0.9848585743743278)","('seashell', 0.9435178782279146)","('seashell', 0.9435178782279146)","('seashell', 0.9435178782279146)","('beachumbrella', 0.9284869541023936)","('beachumbrella', 0.9284869541023936)","('bat', 0.7925677094231366)","('bat', 0.7925677094231366)","('bat', 0.7925677094231366)","('golfcart', 0.9124839895637848)","('golfcart', 0.9124839895637848)","('garbagebag', 0.8282211819913091)","('garbagebag', 0.8282211819913091)","('golfcart', 0.6969477094642271)","('golfcart', 0.6969477094642271)","('golfcart', 0.6969477094642271)","('horse', 0.7770120170030518)","('horse', 0.7772889602587375)","('tractor', 0.7454738505381964)","('tractor', 0.7455575943725217)","('golfcart', -0.041171069445750594)","('golfcart', -0.04754410669903636)","('golfcart', -0.04754410669903636)","('sleepingbag', 0.47594259877146244)","('tractor', 0.391416996779766)","('golfcart', 0.10773590357812067)","('golfcart', 0.11198757500150007)","('kayak', -0.5031774754812748)","('chicken', -1.7666900058583606)","('chicken', -1.7666900058583606)"
5,"('toothbrush', 0.9839817935706558)","('tub', 0.9854637896641697)","('sushi', 0.9464342355817462)","('sushi', 0.9464342355817462)","('sushi', 0.9464342355817462)","('racket', 0.9289902569980618)","('racket', 0.9289902569980618)","('footballball', 0.8498446321846931)","('footballball', 0.8498446321846931)","('footballball', 0.8498446321846931)","('beachumbrella', 0.920202722022351)","('beachumbrella', 0.920202722022351)","('nail', 0.8802335266962573)","('nail', 0.8808881161988135)","('backhoe', 0.7316286080210287)","('backhoe', 0.7316286080210287)","('backhoe', 0.7316286080210287)","('racket', 0.8747028274349614)","('footballball', 0.8761654259565416)","('footballball', 0.8087140278988487)","('footballball', 0.805090282030529)","('sleepingbag', 0.3690662743700239)","('sleepingbag', 0.3584463188382744)","('sleepingbag', 0.3584463188382744)","('sushi', 0.5861563101894333)","('sleepingbag', 0.47940032890110795)","('tractor', 0.1909807861523628)","('tractor', 0.17793650678804793)","('golfcart', -0.12336332301018403)","('footballball', -1.751187523698477)","('footballball', -1.751187523698477)"
6,"('garbagebag', 0.9873333317427584)","('garbagebag', 0.9870072159126702)","('racket', 0.9508095346480343)","('racket', 0.9508095346480343)","('racket', 0.9508095346480343)","('toothbrush', 0.9523201362584972)","('toothbrush', 0.9523201362584972)","('seashell', 0.8990159843300589)","('seashell', 0.8990159843300589)","('seashell', 0.8990159843300589)","('nail', 0.9287129741355229)","('nail', 0.9296163138816912)","('racket', 0.8997866268505746)","('racket', 0.8997866268505746)","('fridge', 0.8193749831474727)","('fridge', 0.819395135800405)","('fridge', 0.819395135800405)","('footballball', 0.8767066652938686)","('beachumbrella', 0.8775980787098678)","('beachumbrella', 0.8293904894996085)","('beachumbrella', 0.824911753012651)","('tractor', 0.45494570562390635)","('tractor', 0.4530409479620927)","('tractor', 0.4530409479620927)","('beachumbrella', 0.8233601241751014)","('sushi', 0.5571249281219602)","('footballball', 0.5948009197849466)","('footballball', 0.537191933477061)","('tractor', -0.0650624537391919)","('kayak', -1.342720965257929)","('kayak', -1.342720965257929)"
7,"('bowlingball', 0.9874065967134265)","('bowlingball', 0.9873114345333144)","('board', 0.9535731967745786)","('board', 0.9535731967745786)","('board', 0.9535731967745786)","('sushi', 0.965071309924658)","('sushi', 0.965071309924658)","('kayak', 0.9372686465112292)","('kayak', 0.9372686465112292)","('kayak', 0.9372686465112292)","('footballball', 0.949555291054207)","('footballball', 0.949555291054207)","('footballball', 0.9047223979430528)","('footballball', 0.9047223979430528)","('racket', 0.851275556509876)","('racket', 0.8513757932867926)","('racket', 0.8513757932867926)","('beachumbrella', 0.8781472277681244)","('racket', 0.8779920640497096)","('garbagebag', 0.8739559035871078)","('garbagebag', 0.8752358258633692)","('beachumbrella', 0.8094805884386167)","('beachumbrella', 0.7998503435166806)","('beachumbrella', 0.7998503435166806)","('footballball', 0.889175783750532)","('beachumbrella', 0.823909715713953)","('sleepingbag', 0.7290719027259217)","('sleepingbag', 0.7391788503698022)","('pizza', -0.020773731310201188)","('golfcart', -0.275862531874286)","('golfcart', -0.275862531874286)"
8,"('golfcart', 0.9888833346224691)","('golfcart', 0.9887892426486298)","('sleepingbag', 0.9799078172933114)","('sleepingbag', 0.9799078172933114)","('sleepingbag', 0.9799078172933114)","('seashell', 0.9655153064281173)","('seashell', 0.9655153064281173)","('backhoe', 0.9452388012221746)","('backhoe', 0.9452388012221746)","('backhoe', 0.9452388012221746)","('bat', 0.9530936508698866)","('bat', 0.9533574103663691)","('chicken', 0.9198005925109232)","('chicken', 0.9198005925109232)","('footballball', 0.8838534509498347)","('footballball', 0.8838534509498347)","('footballball', 0.8838534509498347)","('backhoe', 0.8966107349283811)","('backhoe', 0.8978204312951903)","('backhoe', 0.8770402912860233)","('backhoe', 0.8775108467622527)","('mailbox', 0.8296410169016)","('mailbox', 0.8357126809117252)","('mailbox', 0.8357126809117252)","('beachball', 0.9388585638742973)","('footballball', 0.8946945852594683)","('beachball', 0.8066654997492441)","('beachball', 0.7736135174923569)","('nail', 0.23007289670763706)","('sleepingbag', -0.11122230781708646)","('sleepingbag', -0.11122230781708646)"
9,"('television', 0.9913782289153686)","('television', 0.9912620567659485)","('toothbrush', 0.9827001117175157)","('toothbrush', 0.9827001117175157)","('toothbrush', 0.9827001117175157)","('golfcart', 0.9693226686156157)","('golfcart', 0.9693226686156157)","('sushi', 0.9505598636355501)","('sushi', 0.9505598636355501)","('sushi', 0.9505598636355501)","('fridge', 0.9556005776078397)","('fridge', 0.9557826086397304)","('seashell', 0.940386578061713)","('seashell', 0.940386578061713)","('bike', 0.8929577222035902)","('bike', 0.8929577222035902)","('bike', 0.8929577222035902)","('fridge', 0.8990917859740551)","('fridge', 0.8998081718283807)","('bat', 0.9198932613251352)","('bat', 0.9133100829274066)","('medal', 0.8865298201219354)","('medal', 0.8932583513209275)","('medal', 0.8932583513209275)","('bat', 0.9487987556954055)","('bat', 0.9583768938618213)","('bat', 0.8884430583695556)","('burger', 0.8729126806344396)","('medal', 0.5233900019418889)","('tractor', -0.04540651122211201)","('tractor', -0.04540651122211201)"
