,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10,Layer14_top10,Layer15_top10,Layer16_top10,Layer17_top10,Layer18_top10,Layer19_top10,Layer20_top10,Layer21_top10,Layer22_top10,Layer23_top10,Layer24_top10,Layer25_top10,Layer26_top10,Layer27_top10,Layer28_top10,Layer29_top10,Layer30_top10,Layer31_top10
0,"('fridge', 1.0226306233146827)","('fridge', 1.0226171808505744)","('coat', 1.095632136849847)","('coat', 1.095632136849847)","('coat', 1.095632136849847)","('coat', 1.1754955570342651)","('coat', 1.1754955570342651)","('bathrobe', 1.4276274974953218)","('bathrobe', 1.4276274974953218)","('bathrobe', 1.4276274974953218)","('tub', 1.2194370940094987)","('tub', 1.2190148938174872)","('bathrobe', 1.2508570188450594)","('bathrobe', 1.2508570188450594)","('tub', 1.472568245679551)","('tub', 1.472568245679551)","('tub', 1.472568245679551)","('tub', 1.4369891505794687)","('tub', 1.4368504644991174)","('tub', 1.6522528036483572)","('tub', 1.6486044217655331)","('bowlingball', 11.794172573439186)","('bowlingball', 19.992314961323544)","('bowlingball', 19.992314961323544)","('seashell', 366.67424156153965)","('chicken', 5.801116725390682)","('doll', 5.265182964883225)","('doll', 5.573826541870505)","('footballball', 11.3066990563255)","('coat', 146.76910922924344)","('coat', 146.76910922924344)"
1,"('coffeetable', 1.021909052558889)","('coffeetable', 1.021797344673959)","('coffeetable', 1.0754158104422906)","('coffeetable', 1.0754158104422906)","('coffeetable', 1.0754158104422906)","('toiletseat', 1.162382516936804)","('toiletseat', 1.162382516936804)","('toiletseat', 1.3495475306332274)","('toiletseat', 1.3495475306332274)","('toiletseat', 1.3495475306332274)","('coat', 1.2049203379410545)","('coat', 1.2049203379410545)","('tub', 1.2478555546384584)","('tub', 1.2478555546384584)","('bathrobe', 1.46385574739314)","('bathrobe', 1.46385574739314)","('bathrobe', 1.46385574739314)","('toiletseat', 1.3950116964140546)","('toiletseat', 1.3948706145842467)","('toiletseat', 1.5255941921415386)","('toiletseat', 1.5269296789822113)","('chicken', 3.630013163813962)","('chicken', 3.590380465595241)","('chicken', 3.590380465595241)","('chicken', 5.9782272585016765)","('pizza', 4.0859650452375424)","('bathrobe', 4.31209707601429)","('bathrobe', 5.349192235437899)","('scissors', 6.170914311261607)","('racket', 5.13959338689789)","('racket', 5.13959338689789)"
2,"('bike', 1.0211824520408264)","('bike', 1.0210876101296185)","('rearview_mirror', 1.0753170621006514)","('rearview_mirror', 1.0753170621006514)","('rearview_mirror', 1.0753170621006514)","('television', 1.1403645544822605)","('television', 1.1403645544822605)","('tub', 1.3361679203261636)","('tub', 1.3361679203261636)","('tub', 1.3361679203261636)","('bathrobe', 1.202506887597704)","('bathrobe', 1.202506887597704)","('coat', 1.2133324022021963)","('coat', 1.2133324022021963)","('toiletseat', 1.4221606598801078)","('toiletseat', 1.4221606598801078)","('toiletseat', 1.4221606598801078)","('bathrobe', 1.3525926009301443)","('bathrobe', 1.3523124205646995)","('bathrobe', 1.510251365367582)","('bathrobe', 1.5106314074447906)","('doll', 3.1699416633905515)","('doll', 3.1480238249906356)","('doll', 3.1480238249906356)","('pizza', 4.079813969656007)","('doll', 2.6614616139459053)","('horse', 2.8482125378894483)","('horse', 2.9696353599491254)","('bathrobe', 5.5039886133664755)","('toiletseat', 5.060677451546174)","('toiletseat', 5.060677451546174)"
3,"('mailbox', 1.0209105092091448)","('mailbox', 1.0208183913664888)","('burger', 1.0656935341394491)","('burger', 1.0656935341394491)","('burger', 1.0656935341394491)","('rearview_mirror', 1.1391892044451348)","('rearview_mirror', 1.1391892044451348)","('coat', 1.331003516113394)","('coat', 1.331003516113394)","('coat', 1.331003516113394)","('toiletseat', 1.1621605902120138)","('toiletseat', 1.162023084473144)","('toiletseat', 1.2083724361890273)","('toiletseat', 1.2083724361890273)","('rearview_mirror', 1.3458165248708926)","('rearview_mirror', 1.3453233357708827)","('rearview_mirror', 1.3453233357708827)","('seashell', 1.3335407163494384)","('seashell', 1.33347492037874)","('doll', 1.5045818324698896)","('doll', 1.5040039636462441)","('bathrobe', 2.250474480841382)","('bathrobe', 2.256211367133486)","('bathrobe', 2.256211367133486)","('doll', 2.6506595507891637)","('toiletseat', 2.2307054273862916)","('toiletseat', 2.522990291428771)","('toiletseat', 2.6372990711056925)","('toiletseat', 3.7800812326848705)","('excersiceequipment', 4.484730278207458)","('excersiceequipment', 4.484730278207458)"
4,"('burger', 1.0203589390721037)","('burger', 1.0202643268144869)","('tractor', 1.065172816601481)","('tractor', 1.065172816601481)","('tractor', 1.065172816601481)","('bag', 1.1271095992057958)","('bag', 1.1271095992057958)","('dishrack', 1.2411645588986433)","('dishrack', 1.2411645588986433)","('dishrack', 1.2411645588986433)","('rearview_mirror', 1.1614362947923071)","('rearview_mirror', 1.161656385145856)","('maplesyrup', 1.1573717910399686)","('maplesyrup', 1.1573717910399686)","('scissors', 1.3082528928959234)","('scissors', 1.307925476117951)","('scissors', 1.307925476117951)","('scissors', 1.3141769719676262)","('scissors', 1.3142108393901006)","('scissors', 1.4982396227811927)","('scissors', 1.503705006456199)","('toiletseat', 2.230256654236483)","('toiletseat', 2.2464296798629424)","('toiletseat', 2.2464296798629424)","('toiletseat', 2.19534658999362)","('tub', 2.168237060162415)","('tub', 2.3994065462340832)","('tub', 2.508529853707956)","('racket', 3.7408295831339236)","('toothbrush', 4.421652097245665)","('toothbrush', 4.421652097245665)"
5,"('scissors', 1.020277107234762)","('scissors', 1.0201703737537435)","('fridge', 1.0623930745284778)","('fridge', 1.0623930745284778)","('fridge', 1.0623930745284778)","('coffeetable', 1.1211427234689995)","('coffeetable', 1.1211427234689995)","('scissors', 1.2176692884092561)","('scissors', 1.2176692884092561)","('scissors', 1.2176692884092561)","('maplesyrup', 1.1274844715652823)","('maplesyrup', 1.1274844715652823)","('rearview_mirror', 1.1524002885913531)","('rearview_mirror', 1.1524002885913531)","('pokerchips', 1.261860425253485)","('pokerchips', 1.261860425253485)","('pokerchips', 1.261860425253485)","('coat', 1.3121775720431512)","('coat', 1.3118287848542072)","('rearview_mirror', 1.4978498889977283)","('rearview_mirror', 1.4997946523515289)","('tub', 2.210091636165332)","('tub', 2.2370776190231147)","('tub', 2.2370776190231147)","('tub', 2.152151865042047)","('bathrobe', 1.80985534080884)","('racket', 2.071512830325674)","('scissors', 2.343932724032893)","('excersiceequipment', 3.733084022286886)","('tub', 4.2373025569090865)","('tub', 4.2373025569090865)"
6,"('rearview_mirror', 1.0191978602540084)","('rearview_mirror', 1.019093680274588)","('scissors', 1.0617957985655992)","('scissors', 1.0617957985655992)","('scissors', 1.0617957985655992)","('dishrack', 1.1189362290174238)","('dishrack', 1.1189362290174238)","('rearview_mirror', 1.1785895619191378)","('rearview_mirror', 1.1785895619191378)","('rearview_mirror', 1.1785895619191378)","('pokerchips', 1.1122955646396575)","('pokerchips', 1.1122955646396575)","('excersiceequipment', 1.1438571280644803)","('excersiceequipment', 1.1438571280644803)","('cheese', 1.2609368506151337)","('cheese', 1.260639911551986)","('cheese', 1.260639911551986)","('cheese', 1.2022281230494805)","('cheese', 1.202246312904009)","('seashell', 1.474281186091751)","('seashell', 1.4745068429866752)","('coat', 1.6505757675474824)","('coat', 1.6572591474308238)","('coat', 1.6572591474308238)","('bathrobe', 1.7729193861870933)","('scissors', 1.712031226128331)","('scissors', 1.9946019518090283)","('racket', 2.05072347784661)","('coat', 3.5937143420434436)","('garbagebag', 4.150308640821093)","('garbagebag', 4.150308640821093)"
7,"('ovenmitt', 1.0190293943155722)","('ovenmitt', 1.0190063385340928)","('medal', 1.0578407660489413)","('medal', 1.0578407660489413)","('medal', 1.0578407660489413)","('pokerchips', 1.112827201522467)","('pokerchips', 1.112827201522467)","('television', 1.1661590963022737)","('television', 1.1661590963022737)","('television', 1.1661590963022737)","('seashell', 1.106405856194038)","('seashell', 1.106405856194038)","('scissors', 1.1436966276437288)","('scissors', 1.1436966276437288)","('maplesyrup', 1.2434207941745987)","('maplesyrup', 1.2434207941745987)","('maplesyrup', 1.2434207941745987)","('rearview_mirror', 1.200560649115094)","('rearview_mirror', 1.1998690463050952)","('cheese', 1.426626912020668)","('cheese', 1.426475643965253)","('scissors', 1.5943228680318033)","('scissors', 1.6132269401525248)","('scissors', 1.6132269401525248)","('scissors', 1.682547995164101)","('cheese', 1.5971608266036958)","('rearview_mirror', 1.9540184531913676)","('rearview_mirror', 2.034639569513153)","('tub', 3.440054746991965)","('boxing_gloves', 3.9102631367210963)","('boxing_gloves', 3.9102631367210963)"
8,"('coat', 1.0156665638215208)","('dishrack', 1.015594192792641)","('dishrack', 1.0565789087317512)","('dishrack', 1.0565789087317512)","('dishrack', 1.0565789087317512)","('excersiceequipment', 1.1097033868025574)","('excersiceequipment', 1.1097033868025574)","('coffeetable', 1.1445768158071388)","('coffeetable', 1.1445768158071388)","('coffeetable', 1.1445768158071388)","('scissors', 1.1036445185462878)","('scissors', 1.1036445185462878)","('pokerchips', 1.135136627481585)","('pokerchips', 1.135136627481585)","('carpet', 1.179276197280446)","('carpet', 1.179276197280446)","('carpet', 1.179276197280446)","('board', 1.1999390743473215)","('board', 1.1992910372718604)","('coat', 1.422138823199009)","('coat', 1.4234520032728601)","('rearview_mirror', 1.5899789594817875)","('rearview_mirror', 1.5750825457031072)","('rearview_mirror', 1.5750825457031072)","('cheese', 1.5858695077164917)","('burger', 1.5904066305529196)","('pokerchips', 1.7248443942757101)","('pokerchips', 1.8270956654281396)","('backhoe', 3.1869507470800666)","('backhoe', 3.8203667731796345)","('backhoe', 3.8203667731796345)"
9,"('dishrack', 1.01536044141541)","('coat', 1.0155668578651948)","('bike', 1.0462473314790277)","('bike', 1.0462473314790277)","('bike', 1.0462473314790277)","('bathrobe', 1.0981482033246697)","('bathrobe', 1.0981482033246697)","('beachball', 1.1359256243869595)","('beachball', 1.1359256243869595)","('beachball', 1.1359256243869595)","('television', 1.0970017588052676)","('television', 1.0970017588052676)","('computer', 1.1316981126841434)","('computer', 1.1316981126841434)","('coat', 1.1780580405048655)","('coat', 1.1780580405048655)","('coat', 1.1780580405048655)","('coffeemaker', 1.1759737204213851)","('coffeemaker', 1.1764099053414045)","('bowlingball', 1.380407548466807)","('bowlingball', 1.3825400580377798)","('coffeemaker', 1.5545380866188014)","('coffeemaker', 1.5620587776259547)","('coffeemaker', 1.5620587776259547)","('burger', 1.5684555413986474)","('rearview_mirror', 1.5699048285642525)","('coffeemaker', 1.71072132689401)","('excersiceequipment', 1.7577165208672636)","('bowlingball', 2.929909124032255)","('pokerchips', 3.2052543431179474)","('pokerchips', 3.2052543431179474)"
