,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10,Layer14_bottom10,Layer15_bottom10,Layer16_bottom10,Layer17_bottom10,Layer18_bottom10,Layer19_bottom10,Layer20_bottom10,Layer21_bottom10,Layer22_bottom10,Layer23_bottom10,Layer24_bottom10,Layer25_bottom10,Layer26_bottom10,Layer27_bottom10,Layer28_bottom10,Layer29_bottom10,Layer30_bottom10,Layer31_bottom10,Layer32_bottom10,Layer33_bottom10,Layer34_bottom10,Layer35_bottom10,Layer36_bottom10,Layer37_bottom10
0,"('seashell', 0.9656195447245275)","('seashell', 0.9656168455347488)","('garbagebag', 0.8745105763943566)","('garbagebag', 0.8741976409689585)","('garbagebag', 0.8741976409689585)","('garbagebag', 0.7690087527220877)","('garbagebag', 0.7690006431860824)","('garbagebag', 0.46200077293949077)","('garbagebag', 0.46200077293949077)","('garbagebag', 0.46200077293949077)","('garbagebag', 0.7327234770047535)","('garbagebag', 0.7327151594501423)","('sleepingbag', 0.7077017335459358)","('sleepingbag', 0.7077017335459358)","('sleepingbag', 0.6636735186962696)","('sleepingbag', 0.6636735186962696)","('sleepingbag', 0.5378416498745765)","('sleepingbag', 0.5378416498745765)","('sleepingbag', 0.5378416498745765)","('kayak', 0.49590977457158225)","('kayak', 0.4967823351687049)","('kayak', 0.2949340533102621)","('kayak', 0.29522656658438373)","('golfcart', 0.14865814275714387)","('golfcart', 0.1480563795242135)","('pizza', -1.354479733516838)","('pizza', -1.13172615146243)","('pizza', -1.13172615146243)","('kayak', -0.020126250028724497)","('kayak', -0.007670270655229142)","('horse', -46.535833400498014)","('sushi', -18.4026756632842)","('chicken', -6.075310868979469)","('chicken', -6.436094718936422)","('coat', -11.984076634889913)","('toothbrush', -40.38564229081038)","('toothbrush', -40.38564229081038)"
1,"('beachumbrella', 0.9742942612197667)","('beachumbrella', 0.97892657709277)","('nail', 0.9369734972256488)","('nail', 0.9369494681743127)","('nail', 0.9369494681743127)","('nail', 0.8985370858405077)","('nail', 0.8983822002007584)","('nail', 0.5601852237833075)","('nail', 0.5601852237833075)","('nail', 0.5601852237833075)","('sleepingbag', 0.7766687347424902)","('sleepingbag', 0.7766582260347562)","('kayak', 0.7615863886495293)","('kayak', 0.7615863886495293)","('kayak', 0.6958745001631803)","('kayak', 0.6958745001631803)","('kayak', 0.5855286269579137)","('kayak', 0.5855286269579137)","('kayak', 0.5855286269579137)","('golfcart', 0.5799079566145139)","('golfcart', 0.5799933131554795)","('golfcart', 0.3537720027587213)","('golfcart', 0.35403885082076064)","('kayak', 0.16117587674677167)","('kayak', 0.1607214670406854)","('horse', -0.12995450136914896)","('horse', -0.12055284944062306)","('horse', -0.12055284944062306)","('golfcart', 0.23310806360376474)","('golfcart', 0.2353639972613447)","('chicken', -12.483755243043115)","('chicken', -14.79655134994224)","('seashell', -2.655572815132591)","('seashell', -2.361903232689596)","('racket', -11.491250415197195)","('bathrobe', -6.636388398860348)","('bathrobe', -6.636388398860348)"
2,"('garbagebag', 0.9791839157686589)","('garbagebag', 0.9789275830701593)","('beachball', 0.947697291329253)","('beachball', 0.9477233252051238)","('beachball', 0.9477233252051238)","('racket', 0.9098550786561654)","('racket', 0.9098671807898321)","('bat', 0.7567383822674557)","('bat', 0.7567383822674557)","('bat', 0.7567383822674557)","('kayak', 0.8754454562891404)","('kayak', 0.8754462853044819)","('garbagebag', 0.7649890358814808)","('garbagebag', 0.7649890358814808)","('golfcart', 0.7188212565858989)","('golfcart', 0.7188212565858989)","('golfcart', 0.6709860581798299)","('golfcart', 0.6709860581798299)","('golfcart', 0.6709860581798299)","('sleepingbag', 0.6169329341014629)","('sleepingbag', 0.6169888491532463)","('sleepingbag', 0.6033170190894831)","('sleepingbag', 0.6039216387934618)","('horse', 0.44897421191122466)","('horse', 0.4497515331605929)","('kayak', -0.02845599221793271)","('kayak', -0.03321391702108354)","('kayak', -0.03321391702108354)","('sleepingbag', 0.4295272805160336)","('sleepingbag', 0.4221306792025563)","('seashell', -5.710661642556995)","('horse', -10.033421340926544)","('burger', -0.8129732109606324)","('golfcart', -0.7028716943962318)","('ovenmitt', -6.802713190764086)","('beachball', -4.998869672828231)","('beachball', -4.998869672828231)"
3,"('beachball', 0.9811552447073675)","('beachball', 0.9814618857166648)","('boxing_gloves', 0.952398932102862)","('boxing_gloves', 0.9524527922352851)","('boxing_gloves', 0.9524527922352851)","('footballball', 0.9103326628456957)","('footballball', 0.9103399317577353)","('sleepingbag', 0.7757948997980827)","('sleepingbag', 0.7757948997980827)","('sleepingbag', 0.7757948997980827)","('bat', 0.9172466337775974)","('bat', 0.9172388553922953)","('golfcart', 0.7823988615796027)","('golfcart', 0.7823988615796027)","('garbagebag', 0.8162299285385208)","('garbagebag', 0.8162299285385208)","('nail', 0.774061454143906)","('nail', 0.7738853109183973)","('nail', 0.7738853109183973)","('horse', 0.8574517366666007)","('horse', 0.8574683627179862)","('beachumbrella', 0.7547259809639538)","('beachumbrella', 0.7517033516479535)","('sleepingbag', 0.5603191687594632)","('sleepingbag', 0.561111628927887)","('golfcart', 0.06695839970110458)","('golfcart', 0.06161732041038663)","('golfcart', 0.06161732041038663)","('horse', 0.5361895017204213)","('horse', 0.5381935231862691)","('sushi', -3.092749271218162)","('seashell', -5.006962708374987)","('golfcart', -0.7290192911872015)","('burger', -0.6963330457387819)","('sushi', -4.159415474062013)","('racket', -4.979262422680266)","('racket', -4.979262422680266)"
4,"('toothbrush', 0.9864434789833841)","('toothbrush', 0.9872006664711721)","('board', 0.9534351701435283)","('board', 0.9534387693613304)","('board', 0.9534387693613304)","('golfcart', 0.9349809174160032)","('golfcart', 0.9349778027151479)","('racket', 0.7937017115784514)","('racket', 0.7937017115784514)","('racket', 0.7937017115784514)","('nail', 0.9236599860563999)","('nail', 0.9236095412927585)","('racket', 0.8593415759319856)","('racket', 0.8593415759319856)","('racket', 0.8389206917613505)","('racket', 0.8389206917613505)","('garbagebag', 0.8010696293087058)","('garbagebag', 0.8010696293087058)","('garbagebag', 0.8010696293087058)","('beachumbrella', 0.8674178919349542)","('beachumbrella', 0.8673974062827219)","('horse', 0.7703378439112801)","('horse', 0.7700729468041696)","('tractor', 0.5826211575978544)","('tractor', 0.5827979917224474)","('sleepingbag', 0.184779654863319)","('sleepingbag', 0.1528375765633324)","('sleepingbag', 0.1528375765633324)","('tractor', 0.5418132908859273)","('tractor', 0.5431267622127262)","('bowlingball', -0.7656110244085027)","('bowlingball', -1.139779541210831)","('bowlingball', -0.6833164749969669)","('ovenmitt', -0.49690354587115587)","('seashell', -3.8301680420520983)","('seashell', -3.018110787732566)","('seashell', -3.018110787732566)"
5,"('nail', 0.987476250374786)","('nail', 0.9872140013225535)","('racket', 0.9571735943092606)","('racket', 0.9572340194865913)","('racket', 0.9572340194865913)","('sushi', 0.9535039069975624)","('sushi', 0.9535086166652306)","('footballball', 0.8008610084019443)","('footballball', 0.8008610084019443)","('footballball', 0.8008610084019443)","('golfcart', 0.9305910114677088)","('golfcart', 0.9305793868579088)","('nail', 0.8604163448980846)","('nail', 0.8604163448980846)","('beachumbrella', 0.8413074287866462)","('beachumbrella', 0.8414131881373624)","('backhoe', 0.8440771513286429)","('backhoe', 0.8440771513286429)","('backhoe', 0.8440771513286429)","('garbagebag', 0.9039125670383563)","('garbagebag', 0.903929540665278)","('beachball', 0.7836076570450592)","('beachball', 0.7835008446867042)","('pizza', 0.7407043024530776)","('pizza', 0.73447843950377)","('tractor', 0.423967061319788)","('tractor', 0.42069981444823024)","('tractor', 0.42069981444823024)","('beachumbrella', 0.7911760922172456)","('beachumbrella', 0.7844265113566165)","('golfcart', -0.031095649288552445)","('golfcart', -0.024740569535487)","('kayak', -0.40146327345800453)","('kayak', -0.4652972085328245)","('scissors', -3.794968975571775)","('chicken', -2.335966008179929)","('chicken', -2.335966008179929)"
6,"('board', 0.9894768861086815)","('board', 0.989253463120225)","('sushi', 0.9695358225900836)","('sushi', 0.969566644416905)","('sushi', 0.969566644416905)","('beachball', 0.9546774900816178)","('beachball', 0.9546822513334473)","('backhoe', 0.91734293210851)","('backhoe', 0.91734293210851)","('backhoe', 0.91734293210851)","('racket', 0.9330995500766561)","('racket', 0.9330857766886237)","('beachumbrella', 0.869959328236161)","('beachumbrella', 0.8699559510118068)","('nail', 0.8845151787713157)","('nail', 0.8845638159548944)","('beachumbrella', 0.8463179008678541)","('beachumbrella', 0.8463636405651676)","('beachumbrella', 0.8463636405651676)","('racket', 0.9097320172581801)","('racket', 0.9103279798370725)","('racket', 0.8787564724083188)","('racket', 0.8780844552535563)","('beachumbrella', 0.8166194245458468)","('beachumbrella', 0.8079097923403649)","('bat', 0.8435757278089814)","('bat', 0.837816996936893)","('bat', 0.837816996936893)","('sushi', 0.8331811299556582)","('sushi', 0.8252760994470344)","('kayak', 0.11282143132038144)","('kayak', 0.09072645581264965)","('ovenmitt', -0.27261360551236097)","('sushi', -0.39698166448179373)","('doll', -3.0088317298584877)","('doll', -2.1038696288724443)","('doll', -2.1038696288724443)"
7,"('sleepingbag', 0.989575457165612)","('sleepingbag', 0.9894775493917616)","('seashell', 0.9702100447171396)","('seashell', 0.9704645605049128)","('seashell', 0.9704645605049128)","('sleepingbag', 0.9596049340659466)","('sleepingbag', 0.9594118432923309)","('sushi', 0.918129675765431)","('sushi', 0.918129675765431)","('sushi', 0.918129675765431)","('toothbrush', 0.9550205311862163)","('toothbrush', 0.9550230094758846)","('bat', 0.9362943360768576)","('bat', 0.9362943360768576)","('backhoe', 0.888723396571216)","('backhoe', 0.888723396571216)","('horse', 0.8882126248013283)","('horse', 0.8882126248013283)","('horse', 0.8882126248013283)","('nail', 0.921267520818538)","('nail', 0.9209233989265498)","('tractor', 0.8800764797993736)","('tractor', 0.8804423517825174)","('bat', 0.8392921180998566)","('bat', 0.8398178512037027)","('beachumbrella', 0.8650081879321357)","('beachumbrella', 0.8539821357469921)","('beachumbrella', 0.8539821357469921)","('beachball', 0.8824305867770367)","('beachball', 0.8710965928148713)","('burger', 0.1329388484024644)","('tractor', 0.4083481436538741)","('tractor', -0.14069193666970306)","('bowlingball', -0.350384307396947)","('chicken', -2.2452045248927543)","('sleepingbag', -1.6448090675104865)","('sleepingbag', -1.6448090675104865)"
8,"('racket', 0.9925138805751231)","('racket', 0.9924205702685336)","('toothbrush', 0.9835571408192245)","('toothbrush', 0.9831228252581935)","('toothbrush', 0.9831228252581935)","('horse', 0.9671707443213645)","('horse', 0.9671789245007919)","('ovenmitt', 0.9241277440641733)","('ovenmitt', 0.9241277440641733)","('ovenmitt', 0.9241277440641733)","('beachumbrella', 0.9564076809108184)","('beachumbrella', 0.9564102839189836)","('footballball', 0.9440508402554032)","('footballball', 0.9440508402554032)","('ovenmitt', 0.9098557100454865)","('ovenmitt', 0.9098557100454865)","('footballball', 0.8892807958407682)","('footballball', 0.8892807958407682)","('footballball', 0.8892807958407682)","('backhoe', 0.9220084552194551)","('backhoe', 0.9220214376434724)","('bat', 0.8927406306864019)","('bat', 0.8900906558124987)","('racket', 0.8859084358811781)","('racket', 0.8780007868342178)","('mailbox', 0.9112140947758045)","('mailbox', 0.9109223281650227)","('mailbox', 0.9109223281650227)","('nail', 0.9779785912299774)","('nail', 0.982616930191879)","('tractor', 0.3997671844841999)","('sleepingbag', 0.4238380953468123)","('nail', -0.11509683954803049)","('nail', -0.26401108191257194)","('footballball', -1.8034788464748601)","('coat', -1.4230414440572867)","('coat', -1.4230414440572867)"
9,"('golfcart', 0.992607024418303)","('golfcart', 0.9925303834043722)","('bowlingball', 0.9843535509330374)","('bowlingball', 0.9841630685451603)","('bowlingball', 0.9841630685451603)","('beachumbrella', 0.9747781122658975)","('beachumbrella', 0.974599646749052)","('seashell', 0.9329636400449354)","('seashell', 0.9329636400449354)","('seashell', 0.9329636400449354)","('backhoe', 0.9567124605805873)","('backhoe', 0.9567072999113411)","('ovenmitt', 0.9535205834872761)","('ovenmitt', 0.9535205834872761)","('bike', 0.9299544586659875)","('bike', 0.9299544586659875)","('racket', 0.9031614419066829)","('racket', 0.90349401937405)","('racket', 0.90349401937405)","('tractor', 0.936920070863631)","('tractor', 0.9369389057206277)","('footballball', 0.900116673422118)","('footballball', 0.8996860097388832)","('beachball', 0.9119063968004124)","('beachball', 0.9095689408044413)","('footballball', 0.9557063896735908)","('footballball', 0.9470227012612308)","('footballball', 0.9470227012612308)","('garbagebag', 0.9883419574257847)","('garbagebag', 0.9888123456762037)","('sleepingbag', 0.4804195304894509)","('nail', 0.9267142818346291)","('pizza', -0.009379152187686942)","('pizza', -0.1635243963495088)","('tractor', -0.8528903911526318)","('kayak', -1.4180790137873454)","('kayak', -1.4180790137873454)"
