,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10,Layer14_top10,Layer15_top10,Layer16_top10,Layer17_top10,Layer18_top10,Layer19_top10,Layer20_top10,Layer21_top10,Layer22_top10,Layer23_top10,Layer24_top10,Layer25_top10,Layer26_top10,Layer27_top10,Layer28_top10,Layer29_top10,Layer30_top10,Layer31_top10,Layer32_top10,Layer33_top10,Layer34_top10,Layer35_top10,Layer36_top10,Layer37_top10
0,"('fridge', 1.0288140570732436)","('fridge', 1.0288737052814756)","('coat', 1.0921205575300457)","('coat', 1.092060442335501)","('coat', 1.092060442335501)","('dishrack', 1.1684490010388084)","('dishrack', 1.168632218279576)","('bathrobe', 1.5208708787377858)","('bathrobe', 1.5208708787377858)","('bathrobe', 1.5208708787377858)","('rearview_mirror', 1.2485938017938363)","('rearview_mirror', 1.248576208756497)","('tub', 1.2389480694047237)","('tub', 1.2389526901866585)","('bathrobe', 1.2090919441570218)","('bathrobe', 1.2090919441570218)","('bathrobe', 1.3658529270456723)","('bathrobe', 1.3658529270456723)","('bathrobe', 1.3658529270456723)","('tub', 1.362945405487842)","('tub', 1.3627270986633715)","('seashell', 1.5412615566161063)","('seashell', 1.5415551309785989)","('seashell', 2.017889732962376)","('seashell', 2.0197663511939954)","('bowlingball', 36.201508351592786)","('bowlingball', 62.941424258072765)","('bowlingball', 62.941424258072765)","('seashell', 5.735773654877)","('seashell', 5.872412467397506)","('doll', 3.6475606881817875)","('doll', 3.827045513280312)","('racket', 5.552033931226976)","('racket', 6.476031231724479)","('bathrobe', 16.554383414252644)","('ovenmitt', 42.965350120345356)","('ovenmitt', 42.965350120345356)"
1,"('bike', 1.0275503138141742)","('bike', 1.0274553941437898)","('coffeetable', 1.0773590469700802)","('coffeetable', 1.0773885496328957)","('coffeetable', 1.0773885496328957)","('toiletseat', 1.1552528533712105)","('toiletseat', 1.1552693395732372)","('coat', 1.4915715322694572)","('coat', 1.4915715322694572)","('coat', 1.4915715322694572)","('toiletseat', 1.2197109244400037)","('toiletseat', 1.2196987264650303)","('bathrobe', 1.22316186819431)","('bathrobe', 1.22316186819431)","('scissors', 1.2015641970191435)","('scissors', 1.2015801630141305)","('tub', 1.3377441006556734)","('tub', 1.337853212392932)","('tub', 1.337853212392932)","('scissors', 1.350261838346232)","('scissors', 1.349776233088861)","('tub', 1.5272379706947643)","('tub', 1.5264317120864719)","('chicken', 1.7069166728313148)","('chicken', 1.7067564951053475)","('seashell', 32.49948059609115)","('seashell', 32.62011695095276)","('seashell', 32.62011695095276)","('chicken', 3.9606676263174294)","('chicken', 3.9579807614569686)","('tub', 2.4776163909456175)","('burger', 3.015915039427877)","('doll', 3.9684988429708286)","('scissors', 4.5889047478434595)","('tub', 4.538468759403035)","('tub', 6.1109954151015025)","('tub', 6.1109954151015025)"
2,"('rearview_mirror', 1.0269443178441793)","('rearview_mirror', 1.0268394122997289)","('rearview_mirror', 1.068462812569521)","('rearview_mirror', 1.0684819176899591)","('rearview_mirror', 1.0684819176899591)","('coat', 1.1490569215082025)","('coat', 1.1490681547306378)","('tub', 1.4312704360337472)","('tub', 1.4312704360337472)","('tub', 1.4312704360337472)","('bathrobe', 1.2191003425539875)","('bathrobe', 1.2190973974154358)","('rearview_mirror', 1.201499397795907)","('rearview_mirror', 1.201499397795907)","('tub', 1.1897096820786912)","('tub', 1.1897096820786912)","('toiletseat', 1.2810565397445919)","('toiletseat', 1.2810565397445919)","('toiletseat', 1.2810565397445919)","('toiletseat', 1.3370425722862254)","('toiletseat', 1.33657078563115)","('toiletseat', 1.4096878468325176)","('toiletseat', 1.410760730838834)","('scissors', 1.6813976303543658)","('scissors', 1.6811752674971319)","('doll', 2.962240236650334)","('doll', 2.9706235447060205)","('doll', 2.9706235447060205)","('toiletseat', 2.064734831085008)","('toiletseat', 2.080705329735068)","('scissors', 2.4748520929285327)","('scissors', 2.5950288063305345)","('scissors', 3.6864515121997297)","('doll', 4.229947414307499)","('toiletseat', 4.221279834634072)","('toiletseat', 5.326893159570745)","('toiletseat', 5.326893159570745)"
3,"('scissors', 1.02655442466312)","('scissors', 1.0264493947866709)","('bathrobe', 1.0640663401438797)","('bathrobe', 1.064326329687425)","('bathrobe', 1.064326329687425)","('bag', 1.1355665593012552)","('bag', 1.1355754033346237)","('bag', 1.3636604168747004)","('bag', 1.3636604168747004)","('bag', 1.3636604168747004)","('tub', 1.2115819566952086)","('tub', 1.2115660616548574)","('toiletseat', 1.1859509172308214)","('toiletseat', 1.1859509172308214)","('toiletseat', 1.1748985406280708)","('toiletseat', 1.1748985406280708)","('coat', 1.2620457635440907)","('coat', 1.2620457635440907)","('coat', 1.2620457635440907)","('seashell', 1.2986762756304986)","('seashell', 1.2987000493442378)","('coat', 1.3752711617306133)","('coat', 1.3757749135667838)","('tub', 1.6239275648195868)","('tub', 1.6238977260331109)","('chicken', 2.5727690640032757)","('chicken', 2.567717531781897)","('chicken', 2.567717531781897)","('doll', 2.0370414374978814)","('doll', 2.0409385916973326)","('toiletseat', 2.3502202961113765)","('tub', 2.5245267143113836)","('bathrobe', 2.952448349655934)","('bathrobe', 3.340750508916197)","('toothbrush', 3.9820256147974296)","('backhoe', 4.387705988097474)","('backhoe', 4.387705988097474)"
4,"('coffeetable', 1.0256657246910243)","('coffeetable', 1.0255535970726914)","('burger', 1.0558483169271518)","('burger', 1.0559975290237065)","('burger', 1.0559975290237065)","('fridge', 1.1208458744236447)","('fridge', 1.1208634438678757)","('toiletseat', 1.3600689127136092)","('toiletseat', 1.3600689127136092)","('toiletseat', 1.3600689127136092)","('coat', 1.1832174666217141)","('coat', 1.183208762898894)","('coat', 1.1315291653616866)","('coat', 1.1315291653616866)","('rearview_mirror', 1.1729199069898244)","('rearview_mirror', 1.1729199069898244)","('scissors', 1.2398594417264783)","('scissors', 1.2398594417264783)","('scissors', 1.2398594417264783)","('bathrobe', 1.296652219806307)","('bathrobe', 1.296665909811316)","('scissors', 1.3382307523369696)","('scissors', 1.3385655547528892)","('toiletseat', 1.5856402033560795)","('toiletseat', 1.5868414650623046)","('tub', 2.1894407600268786)","('tub', 2.1949876414307306)","('tub', 2.1949876414307306)","('tub', 1.9024128423563222)","('tub', 1.9096731773762563)","('bathrobe', 2.267085151548904)","('toiletseat', 2.4393666817388335)","('tub', 2.821505592178998)","('footballball', 3.0736184070983454)","('nail', 3.7543974943257337)","('rearview_mirror', 3.920821607478677)","('rearview_mirror', 3.920821607478677)"
5,"('dishrack', 1.0252037260885312)","('dishrack', 1.0254415624828361)","('dishrack', 1.0551121002619785)","('dishrack', 1.0551752371539747)","('dishrack', 1.0551752371539747)","('rearview_mirror', 1.1207790542491518)","('rearview_mirror', 1.1207910724657295)","('rearview_mirror', 1.3181271691639784)","('rearview_mirror', 1.3181271691639784)","('rearview_mirror', 1.3181271691639784)","('seashell', 1.1270200333783635)","('seashell', 1.1270331681748595)","('scissors', 1.1262489134391431)","('scissors', 1.1262489134391431)","('pokerchips', 1.1592112156290113)","('pokerchips', 1.1592112156290113)","('rearview_mirror', 1.2305935150032652)","('rearview_mirror', 1.2305935150032652)","('rearview_mirror', 1.2305935150032652)","('rearview_mirror', 1.198080477550421)","('rearview_mirror', 1.1971719335225877)","('bathrobe', 1.3161864132539263)","('bathrobe', 1.3158534444500194)","('doll', 1.5561449361442814)","('doll', 1.5567453420749662)","('toiletseat', 2.1509254557789883)","('toiletseat', 2.1585294994732678)","('toiletseat', 2.1585294994732678)","('scissors', 1.8788977675634173)","('scissors', 1.8790989355026144)","('racket', 1.9292421981441528)","('bathrobe', 2.339528422527314)","('toiletseat', 2.7740877772657453)","('tub', 2.899865129580459)","('backhoe', 3.7495453751403596)","('excersiceequipment', 3.791456630037852)","('excersiceequipment', 3.791456630037852)"
6,"('coat', 1.023227827583935)","('coat', 1.0231202796406194)","('scissors', 1.0541934186994961)","('scissors', 1.0542289685513508)","('scissors', 1.0542289685513508)","('coffeetable', 1.1109866674940276)","('coffeetable', 1.110995413537746)","('dishrack', 1.3132288051639716)","('dishrack', 1.3132288051639716)","('dishrack', 1.3132288051639716)","('scissors', 1.1222554205269577)","('scissors', 1.1222553147003966)","('maplesyrup', 1.116296311027636)","('maplesyrup', 1.116296311027636)","('maplesyrup', 1.1487482512706022)","('maplesyrup', 1.1487482512706022)","('cheese', 1.2027712423839354)","('cheese', 1.2027712423839354)","('cheese', 1.2027712423839354)","('computer', 1.1950925205595084)","('computer', 1.1950476628048707)","('doll', 1.3057709530749806)","('doll', 1.3057307980256292)","('rearview_mirror', 1.4885173300404853)","('rearview_mirror', 1.490375804945078)","('burger', 1.9325867725757178)","('burger', 1.9340495035621155)","('burger', 1.9340495035621155)","('bathrobe', 1.7941233563910985)","('bathrobe', 1.7961871420157236)","('coat', 1.6463110535777625)","('racket', 1.9874328334421694)","('rearview_mirror', 2.712880522604104)","('toiletseat', 2.8623525574170086)","('rearview_mirror', 3.4550598553744942)","('belt', 3.603166575202743)","('belt', 3.603166575202743)"
7,"('mailbox', 1.0229319988655015)","('mailbox', 1.022832950343395)","('fridge', 1.0414289204746034)","('fridge', 1.0414508936448221)","('fridge', 1.0414508936448221)","('tub', 1.089896948435603)","('tub', 1.0899084403309185)","('television', 1.2290497143753265)","('television', 1.2290497143753265)","('television', 1.2290497143753265)","('excersiceequipment', 1.1137977052227237)","('excersiceequipment', 1.1137797033291639)","('pokerchips', 1.115226140198097)","('pokerchips', 1.115226140198097)","('coat', 1.1384847879525357)","('coat', 1.1384847879525357)","('maplesyrup', 1.1560662825711983)","('maplesyrup', 1.1560662825711983)","('maplesyrup', 1.1560662825711983)","('coat', 1.185049361157975)","('coat', 1.1849934352380553)","('board', 1.284038127428984)","('board', 1.284250773727709)","('cheese', 1.4735367816456155)","('cheese', 1.4731306913873572)","('scissors', 1.8557023701281306)","('scissors', 1.8732352102084637)","('scissors', 1.8732352102084637)","('burger', 1.7187598802486754)","('burger', 1.7483054472256956)","('cheese', 1.645393597207069)","('cheese', 1.6867410649294412)","('footballball', 2.652277861208204)","('rearview_mirror', 2.7800480679525146)","('excersiceequipment', 3.341095669765953)","('bike', 3.353700451840443)","('bike', 3.353700451840443)"
8,"('toiletseat', 1.0199056070761447)","('toiletseat', 1.0202470850048067)","('maplesyrup', 1.0413899509082853)","('maplesyrup', 1.0413566139621964)","('maplesyrup', 1.0413566139621964)","('pokerchips', 1.0896978444155097)","('pokerchips', 1.089703950080236)","('tractor', 1.1843469835181548)","('tractor', 1.1843469835181548)","('tractor', 1.1843469835181548)","('dishrack', 1.1083449406936985)","('dishrack', 1.1083265514351657)","('excersiceequipment', 1.1069693696737222)","('excersiceequipment', 1.1069693696737222)","('board', 1.119899922948732)","('board', 1.1199052073564515)","('bowlingball', 1.1537048494819067)","('bowlingball', 1.1537048494819067)","('bowlingball', 1.1537048494819067)","('lego', 1.1847754114461317)","('lego', 1.1843055253020767)","('cheese', 1.2751642656534292)","('cheese', 1.2755481991483943)","('burger', 1.4537342499831016)","('burger', 1.4574023440351167)","('bathrobe', 1.8549318860018809)","('bathrobe', 1.8685649486598237)","('bathrobe', 1.8685649486598237)","('pokerchips', 1.6440476987333574)","('pokerchips', 1.6534926841143107)","('pizza', 1.6325915642710747)","('coat', 1.6755309220973564)","('bike', 2.4396972249355815)","('bike', 2.4578214970012033)","('bike', 3.156567176316014)","('trafficlight', 3.1326753261501925)","('trafficlight', 3.1326753261501925)"
9,"('burger', 1.019268043535082)","('burger', 1.0191711883771257)","('kayak', 1.040719774067028)","('kayak', 1.0407726870680745)","('kayak', 1.0407726870680745)","('scissors', 1.089574747666291)","('scissors', 1.0895900607630176)","('scissors', 1.167082096007755)","('scissors', 1.167082096007755)","('scissors', 1.167082096007755)","('maplesyrup', 1.1075649211510976)","('maplesyrup', 1.1076531467162656)","('belt', 1.1068663241018455)","('belt', 1.1068663241018455)","('seashell', 1.1146061165092798)","('seashell', 1.1146061165092798)","('pokerchips', 1.1475997166342042)","('pokerchips', 1.1475997166342042)","('pokerchips', 1.1475997166342042)","('coffeemaker', 1.1581917775225663)","('coffeemaker', 1.1583033920800403)","('rearview_mirror', 1.2584948923227708)","('rearview_mirror', 1.2568686333614307)","('bathrobe', 1.434063041455629)","('bathrobe', 1.4373577419375443)","('rearview_mirror', 1.6955834134792078)","('rearview_mirror', 1.7098727521845)","('rearview_mirror', 1.7098727521845)","('coat', 1.6055695467358222)","('pizza', 1.6514454378747532)","('rearview_mirror', 1.614760482337841)","('lego', 1.6357486908022207)","('excersiceequipment', 2.095920022625843)","('excersiceequipment', 2.120364645975867)","('trafficlight', 2.626285306541121)","('pokerchips', 3.130776831992015)","('pokerchips', 3.130776831992015)"
