,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10
0,"('tennisball', 0.2869296002333334)","('tennisball', 0.2586228837072531)","('tennisball', 0.2586228837072531)","('tent', 0.3629628103850188)","('tent', 0.32299721621853694)","('tent', 0.32299721621853694)","('tent', -0.2061767899802123)","('tent', -0.21990922182986442)","('baseballball', -0.5285150308464438)","('tent', -0.48986134389025615)","('tennisball', -20.925307204037093)","('steering_wheel', -371.9370512928289)","('steering_wheel', -371.9370512928289)"
1,"('cart', 0.6887287256142091)","('cart', 0.6887646324396453)","('cart', 0.6887646324396453)","('lifejacket', 0.4190229781044947)","('lifejacket', 0.4068980265336711)","('lifejacket', 0.4068980265336711)","('lifejacket', -0.05370180735960873)","('lifejacket', -0.056793793222881785)","('tent', -0.37275800026121997)","('lifejacket', -0.18402158631441481)","('rubberduck', -12.79182932687753)","('slippers', -3.5075810762435213)","('slippers', -3.5075810762435213)"
2,"('cone', 0.7146286440744379)","('cone', 0.7117092976023129)","('cone', 0.7117092976023129)","('golfclubs', 0.5006013437989759)","('golfclubs', 0.48220527518048373)","('golfclubs', 0.48220527518048373)","('golfclubs', 0.06304915742343636)","('golfclubs', 0.05101745744678972)","('lifejacket', -0.14542970118267226)","('wheelbarrow', 0.030112247084989188)","('slippers', -10.504840628659798)","('tennisball', -3.2597755356669444)","('tennisball', -3.2597755356669444)"
3,"('rubberduck', 0.7170697084431169)","('rubberduck', 0.7172390756080769)","('rubberduck', 0.7172390756080769)","('baseballball', 0.529998807887866)","('baseballball', 0.5229353464092099)","('baseballball', 0.5229353464092099)","('baseballball', 0.2749368905776818)","('baseballball', 0.31725961709156836)","('wheelbarrow', 0.03690022692046292)","('starfish', 0.16542059561303646)","('barbie', -8.571051012999162)","('rubberduck', -2.9367638336243633)","('rubberduck', -2.9367638336243633)"
4,"('hammer', 0.7642504320056389)","('hammer', 0.7642956719152822)","('hammer', 0.7642956719152822)","('hammer', 0.620545719344509)","('hammer', 0.5908342546758353)","('hammer', 0.5908342546758353)","('hammer', 0.47004393688821916)","('hammer', 0.46802546481549323)","('starfish', 0.1517060443184627)","('golfclubs', 0.1767218767637224)","('cow', -1.5744293889588454)","('barbie', -2.2771299970835326)","('barbie', -2.2771299970835326)"
5,"('golfclubs', 0.7690859706850075)","('golfclubs', 0.7696109530178074)","('golfclubs', 0.7696109530178074)","('cone', 0.6215083683014127)","('cone', 0.6164038146949072)","('cone', 0.6164038146949072)","('helmet', 0.5763885401680423)","('helmet', 0.5635050279694294)","('golfclubs', 0.24298831588432995)","('baseballball', 0.19921036550525273)","('tent', -1.0390601273276574)","('tent', -2.0512479365068534)","('tent', -2.0512479365068534)"
6,"('roadsign', 0.7923093955184044)","('roadsign', 0.7924007356792268)","('roadsign', 0.7924007356792268)","('beachchair', 0.6577972516920345)","('beachchair', 0.662072654460916)","('beachchair', 0.662072654460916)","('wheelbarrow', 0.5924883876648144)","('wheelbarrow', 0.6116159922041663)","('helmet', 0.43069090625145545)","('helmet', 0.43494963629712446)","('wheelbarrow', -0.6159125513266928)","('cow', -1.6431167368895094)","('cow', -1.6431167368895094)"
7,"('beachchair', 0.7944591664455326)","('beachchair', 0.7949294491180533)","('beachchair', 0.7949294491180533)","('toothpaste', 0.7053333084130234)","('toothpaste', 0.703304073017579)","('toothpaste', 0.703304073017579)","('cone', 0.648329466056305)","('cone', 0.6311652923749591)","('dumbbell', 0.47960152488870217)","('dumbbell', 0.47099186763247736)","('golfclubs', -0.49292140862668066)","('wheelbarrow', -1.187064658209704)","('wheelbarrow', -1.187064658209704)"
8,"('tent', 0.8002847269930458)","('tent', 0.7999403528649719)","('tent', 0.7999403528649719)","('helmet', 0.7767802054703685)","('helmet', 0.7762218442036725)","('helmet', 0.7762218442036725)","('trophy', 0.6723366910688497)","('trophy', 0.6728321469907791)","('lamp', 0.5353265287651807)","('helmet', 0.4752136959105763)","('lifejacket', -0.45717127788920026)","('golfclubs', -0.8931944403819756)","('golfclubs', -0.8931944403819756)"
9,"('punchingbag', 0.816615564890456)","('punchingbag', 0.8166624345470618)","('punchingbag', 0.8166624345470618)","('punchingbag', 0.8657260074974512)","('cart', 0.8627790813045512)","('cart', 0.8627790813045512)","('starfish', 0.690309834009558)","('starfish', 0.7000857955503049)","('helmet', 0.5441334416568804)","('lamp', 0.547864018728943)","('bowlingpin', -0.3437056869359703)","('lifejacket', -0.7174501048948141)","('lifejacket', -0.7174501048948141)"
