,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10
0,"('chopsticks', 1.6617501686614176)","('chopsticks', 1.7189382858658528)","('chopsticks', 1.7189382858658528)","('steering_wheel', 2.568962196456978)","('steering_wheel', 2.595027899334759)","('steering_wheel', 2.595027899334759)","('tennisball', 2.5925454256475002)","('tennisball', 2.544469318448136)","('cow', 39.12388289683374)","('cow', 47.30484600984365)","('steering_wheel', 6.620357161610377)","('pot', 13.916081060296989)","('pot', 13.916081060296989)"
1,"('steering_wheel', 1.5233408365666707)","('steering_wheel', 1.5234130774043897)","('steering_wheel', 1.5234130774043897)","('pants', 1.60272346181247)","('paper', 1.6182218460699518)","('paper', 1.6182218460699518)","('steering_wheel', 2.4655786138533906)","('steering_wheel', 2.514893268982388)","('rubberduck', 7.457039727873473)","('rubberduck', 7.79505389718542)","('pot', 5.230110224765273)","('pants', 12.420329551929322)","('pants', 12.420329551929322)"
2,"('barbie', 1.4690509977425508)","('beachpail', 1.4890934328103085)","('beachpail', 1.4890934328103085)","('paper', 1.600793817332312)","('pants', 1.6084393605385316)","('pants', 1.6084393605385316)","('paper', 1.9793511110464552)","('slippers', 1.9540662928121109)","('slippers', 5.108619304947669)","('slippers', 5.949358638709707)","('paper', 4.816247831920675)","('paper', 7.1984222792497725)","('paper', 7.1984222792497725)"
3,"('beachpail', 1.4104785005991525)","('barbie', 1.4695757783865384)","('barbie', 1.4695757783865384)","('barbie', 1.6006288203468502)","('barbie', 1.6079419532851122)","('barbie', 1.6079419532851122)","('slippers', 1.9527673223309012)","('paper', 1.9381833257693355)","('steering_wheel', 2.894552512044379)","('steering_wheel', 2.9694063914672295)","('starfish', 4.15918326674537)","('rolette', 4.699067708534156)","('rolette', 4.699067708534156)"
4,"('pants', 1.4032020245348098)","('pants', 1.4057708033836358)","('pants', 1.4057708033836358)","('coatrack', 1.5764310066723433)","('coatrack', 1.5878048394266473)","('coatrack', 1.5878048394266473)","('rubberduck', 1.8208095884591524)","('rubberduck', 1.792981834849053)","('tennisball', 2.6201143790426427)","('barbie', 2.6497175217576396)","('rolette', 2.8013207583539197)","('cutter', 4.623213596326322)","('cutter', 4.623213596326322)"
5,"('coatrack', 1.391087919448456)","('coatrack', 1.391361074668422)","('coatrack', 1.391361074668422)","('dumbbell', 1.491532893128367)","('dumbbell', 1.5026062192343301)","('dumbbell', 1.5026062192343301)","('barbie', 1.720177619730238)","('barbie', 1.7304229440337295)","('barbie', 2.6118550751527865)","('paper', 2.4763760950288236)","('motorhelmet', 2.582807653070782)","('ironing', 3.9514213870904604)","('ironing', 3.9514213870904604)"
6,"('cow', 1.3268127612149025)","('cow', 1.3268882738870154)","('cow', 1.3268882738870154)","('ironing', 1.462099984041144)","('ironing', 1.4682156850443202)","('ironing', 1.4682156850443202)","('pants', 1.5875621404207378)","('pants', 1.6213451887120538)","('paper', 2.42307872614125)","('tennisball', 2.4528173937724116)","('ironing', 2.5752896034801074)","('motorhelmet', 3.4758024771706584)","('motorhelmet', 3.4758024771706584)"
7,"('rolette', 1.304914234388293)","('rolette', 1.3050818316097292)","('rolette', 1.3050818316097292)","('pot', 1.432737128518579)","('tennisball', 1.4577064929723504)","('tennisball', 1.4577064929723504)","('coatrack', 1.5560212017288915)","('coatrack', 1.5512229892220697)","('cutter', 1.9715322635577512)","('cutter', 1.9906130665302288)","('cutter', 2.4125619596925505)","('fries', 3.089344869266203)","('fries', 3.089344869266203)"
8,"('slippers', 1.26236055117861)","('slippers', 1.278956371395471)","('slippers', 1.278956371395471)","('slippers', 1.430440273981678)","('pot', 1.4373966998030134)","('pot', 1.4373966998030134)","('ironing', 1.5249749965934334)","('pot', 1.5250150868678016)","('rolette', 1.8970216680863214)","('rolette', 1.9317404323514917)","('pants', 2.2814175286966583)","('bowlingpin', 2.9686808511522984)","('bowlingpin', 2.9686808511522984)"
9,"('motorhelmet', 1.2559192033511015)","('motorhelmet', 1.255905075723302)","('motorhelmet', 1.255905075723302)","('tennisball', 1.420501474689674)","('slippers', 1.4280529909846758)","('slippers', 1.4280529909846758)","('pot', 1.5220703149786654)","('ironing', 1.5241134571638244)","('ironing', 1.8749414678432232)","('ironing', 1.9224342530610097)","('coatrack', 2.1859316580005546)","('dumbbell', 2.817564997876584)","('dumbbell', 2.817564997876584)"
