,AlexNet
0,"(1.0489227008446786, 0.2495484805333253)"
1,"(1.051980642107793, 0.2574748030345876)"
2,"(1.051980642107793, 0.2574748030345876)"
3,"(1.0922810219477244, 0.36946941706410896)"
4,"(1.0946358516771082, 0.37759947645482955)"
5,"(1.0946358516771082, 0.37759947645482955)"
6,"(1.1023124846297723, 0.5402963544198391)"
7,"(1.1012673094973766, 0.5404856565255264)"
8,"(2.10407080527947, 5.435383804253093)"
9,"(2.307974276144198, 6.564761967332334)"
10,"(0.2588676123880205, 4.434295357981596)"
11,"(-5.897983462581856, 52.38341563181411)"
12,"(-5.897983462581856, 52.38341563181411)"
