,AlexNet
0,"(0.41979428138735975, 0.017606301238413096)"
1,"(0.4185838460619614, 0.017785083305264345)"
2,"(0.4185838460619614, 0.017785083305264345)"
3,"(0.2760127077076606, 0.012971945803797865)"
4,"(0.2746962765157893, 0.01314652090977371)"
5,"(0.2746962765157893, 0.01314652090977371)"
6,"(0.19633960007825513, 0.013197793625977056)"
7,"(0.19055014899639913, 0.012904532581018717)"
8,"(0.13940333661453727, 0.011213656281722151)"
9,"(0.13333942709671373, 0.011233208873903323)"
10,"(0.10341086829828205, 0.012781135043220648)"
11,"(0.07541077585055714, 0.012115840269047237)"
12,"(0.07541077585055714, 0.012115840269047237)"
