,AlexNet
0,"(0.4024420002732971, 0.08904521916040666)"
1,"(0.40080901624187637, 0.09127404615718818)"
2,"(0.40080901624187637, 0.09127404615718818)"
3,"(0.25727528379849035, 0.05130376152937223)"
4,"(0.2557612062464618, 0.05191511482415529)"
5,"(0.2557612062464618, 0.05191511482415529)"
6,"(0.1848564328853397, 0.047833843453314956)"
7,"(0.17980515241612324, 0.04749647617843566)"
8,"(0.12377159926113547, 0.056869726464674045)"
9,"(0.11786161438032469, 0.055264638755941335)"
10,"(0.0746118601324678, 0.05588588535469163)"
11,"(0.04809242375620207, 0.05098720479025884)"
12,"(0.04809242375620207, 0.05098720479025884)"
