,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10
0,"('golfclubs', 0.88348075303298)","('golfclubs', 0.8851239259280008)","('golfclubs', 0.8851239259280008)","('tent', 0.8918727953227122)","('tent', 0.9048780049482589)","('tent', 0.9048780049482589)","('lifejacket', 0.8964809681215771)","('lifejacket', 0.8717226628284769)","('tent', -0.9744947816467164)","('tent', -1.2919177351974458)","('tent', -4.947019496812321)","('tent', -5.943051374826864)","('tent', -5.943051374826864)"
1,"('cart', 0.9280136036112244)","('cart', 0.9283563477849829)","('cart', 0.9283563477849829)","('golfclubs', 0.9013222768426191)","('golfclubs', 0.906695263127764)","('golfclubs', 0.906695263127764)","('tent', 0.9093317310264603)","('tent', 0.885037341595618)","('golfclubs', -0.5019683341655446)","('golfclubs', -0.6306547940394759)","('fries', -3.7770874658607747)","('golfclubs', -4.677822057704395)","('golfclubs', -4.677822057704395)"
2,"('lifejacket', 0.9332102917587655)","('lifejacket', 0.9335362016657618)","('lifejacket', 0.9335362016657618)","('lifejacket', 0.9368565396294278)","('lifejacket', 0.939102130034813)","('lifejacket', 0.939102130034813)","('golfclubs', 0.923846489191781)","('golfclubs', 0.9045935473759198)","('lifejacket', -0.46349918853086997)","('lifejacket', -0.511515535430108)","('golfclubs', -3.7377885801491777)","('fries', -2.7047454157477913)","('fries', -2.7047454157477913)"
3,"('punchingbag', 0.9494223244953488)","('punchingbag', 0.949338149074229)","('punchingbag', 0.949338149074229)","('baseballball', 0.9494507707442973)","('baseballball', 0.9485169536952015)","('baseballball', 0.9485169536952015)","('beachchair', 0.9449801557938822)","('beachchair', 0.9309055405057605)","('wheelbarrow', 0.05477438573169078)","('wheelbarrow', -0.007445085261163208)","('hammer', -2.059028631796023)","('hammer', -2.092521951772638)","('hammer', -2.092521951772638)"
4,"('beachchair', 0.9495535506038271)","('tent', 0.9497502206762151)","('tent', 0.9497502206762151)","('cart', 0.954422639615411)","('cart', 0.9557386051429502)","('cart', 0.9557386051429502)","('starfish', 0.9631425771381852)","('starfish', 0.9538665009450701)","('lamp', 0.32345131708647124)","('lamp', 0.2586020017896809)","('cow', -1.7445951111841989)","('trophy', -1.7369495205359669)","('trophy', -1.7369495205359669)"
5,"('tent', 0.9495585407572699)","('saddle', 0.9500477426875082)","('saddle', 0.9500477426875082)","('beachpail', 0.9716282539406688)","('beachpail', 0.9702395174413391)","('beachpail', 0.9702395174413391)","('cone', 0.9680044605693057)","('cone', 0.9614915023047228)","('cone', 0.3343575451249483)","('cone', 0.28754507881177865)","('barbie', -1.6438423962998003)","('chopsticks', -1.60875321015604)","('chopsticks', -1.60875321015604)"
6,"('saddle', 0.9502146591661723)","('beachchair', 0.9510899595221918)","('beachchair', 0.9510899595221918)","('punchingbag', 0.9740564948494963)","('punchingbag', 0.9727813295688159)","('punchingbag', 0.9727813295688159)","('bowlingpin', 0.9720676504882061)","('cart', 0.9668347376307366)","('baseballball', 0.5996930387827839)","('trophy', 0.5702650792647773)","('trophy', -1.4904153619402247)","('cow', -1.5992190063563285)","('cow', -1.5992190063563285)"
7,"('cone', 0.9537847415308445)","('cone', 0.9535797524255685)","('cone', 0.9535797524255685)","('garbagebin', 0.9744435181082742)","('garbagebin', 0.9733475176893188)","('garbagebin', 0.9733475176893188)","('cart', 0.9747120788315966)","('bowlingpin', 0.9708341690421759)","('trophy', 0.6033580481099767)","('baseballball', 0.5814890077209757)","('chopsticks', -1.365726518884731)","('barbie', -1.3470726734192866)","('barbie', -1.3470726734192866)"
8,"('beachpail', 0.9631382381016598)","('bowlingpin', 0.9638467630475085)","('bowlingpin', 0.9638467630475085)","('helmet', 0.9766274118677883)","('helmet', 0.9758786619135328)","('helmet', 0.9758786619135328)","('trophy', 0.977096476780928)","('trophy', 0.9728851907168204)","('helmet', 0.6324997463205517)","('helmet', 0.6162170656556369)","('lifejacket', -1.002224310852286)","('lifejacket', -1.1708433652514219)","('lifejacket', -1.1708433652514219)"
9,"('bowlingpin', 0.964291617240515)","('beachpail', 0.9651150585087788)","('beachpail', 0.9651150585087788)","('beachchair', 0.9778044126998018)","('beachchair', 0.9769241480302987)","('beachchair', 0.9769241480302987)","('baseballball', 0.9800945871926772)","('baseballball', 0.9763127576580126)","('roadsign', 0.694539979573387)","('roadsign', 0.67715443560451)","('helmet', -0.5427876284278665)","('helmet', -0.7157229509223524)","('helmet', -0.7157229509223524)"
