,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10
0,"('steering_wheel', 1.1241669518569752)","('steering_wheel', 1.123968540970742)","('steering_wheel', 1.123968540970742)","('steering_wheel', 1.125439891664257)","('steering_wheel', 1.1240954698576242)","('steering_wheel', 1.1240954698576242)","('steering_wheel', 1.1474757606245263)","('steering_wheel', 1.1765728832874023)","('steering_wheel', 3.223488210647161)","('steering_wheel', 3.388469909711459)","('steering_wheel', 10.20068122710641)","('steering_wheel', 12.318200751725401)","('steering_wheel', 12.318200751725401)"
1,"('barbie', 1.076574805525195)","('barbie', 1.0763641448730452)","('barbie', 1.0763641448730452)","('paper', 1.0621408850134737)","('paper', 1.0605439586670016)","('paper', 1.0605439586670016)","('paper', 1.091346026146139)","('paper', 1.1074429613851555)","('barbie', 3.115035051767968)","('barbie', 3.2454942163047154)","('ironing', 7.96800616242784)","('ironing', 10.163595997581302)","('ironing', 10.163595997581302)"
2,"('pants', 1.0755180817593502)","('pants', 1.0757193894346533)","('pants', 1.0757193894346533)","('coatrack', 1.0605893908255974)","('coatrack', 1.0591146215263394)","('coatrack', 1.0591146215263394)","('pot', 1.0626286931356825)","('pot', 1.0743928498095656)","('rubberduck', 2.181432370617517)","('rubberduck', 2.2443203554487074)","('rubberduck', 7.2033437424760045)","('rubberduck', 9.117991673742296)","('rubberduck', 9.117991673742296)"
3,"('coatrack', 1.0740211854123638)","('coatrack', 1.0738754127091144)","('coatrack', 1.0738754127091144)","('pot', 1.0562419741659552)","('pot', 1.0549527415455777)","('pot', 1.0549527415455777)","('coatrack', 1.0507114161993307)","('sink', 1.0586758095036057)","('ironing', 2.0868005282485207)","('ironing', 2.1836052237458916)","('paper', 6.181883772638109)","('paper', 6.463763362589942)","('paper', 6.463763362589942)"
4,"('chopsticks', 1.0705587294014434)","('paper', 1.0705519170679016)","('paper', 1.0705519170679016)","('barbie', 1.0430462247880972)","('barbie', 1.041630707956136)","('barbie', 1.041630707956136)","('sink', 1.0506666935152296)","('coatrack', 1.0583361832499099)","('paper', 2.0346595908739373)","('paper', 2.0860541366432255)","('slippers', 5.291082975160497)","('pot', 5.856080256216267)","('pot', 5.856080256216267)"
5,"('paper', 1.069058130848831)","('chopsticks', 1.0704871304728203)","('chopsticks', 1.0704871304728203)","('dumbbell', 1.036928666459504)","('dumbbell', 1.035591859041943)","('dumbbell', 1.035591859041943)","('barbie', 1.046333485618625)","('barbie', 1.0529718967644646)","('coatrack', 1.9026959142492696)","('tennisball', 1.9776614371192345)","('pot', 5.126195997880995)","('slippers', 5.708722053092766)","('slippers', 5.708722053092766)"
6,"('sofa', 1.0543553748111987)","('sofa', 1.0538058995834148)","('sofa', 1.0538058995834148)","('cutter', 1.036628300099895)","('cutter', 1.0353487001200345)","('cutter', 1.0353487001200345)","('cheesegrater', 1.0392700818733178)","('sofa', 1.0513803047243988)","('tennisball', 1.8998570986941188)","('coatrack', 1.9593169411527862)","('coatrack', 4.72825623157204)","('coatrack', 4.032073393516712)","('coatrack', 4.032073393516712)"
7,"('parkingmeter', 1.0509711461682847)","('parkingmeter', 1.0510484957232318)","('parkingmeter', 1.0510484957232318)","('ironing', 1.0342544092055703)","('ironing', 1.0330438626512692)","('ironing', 1.0330438626512692)","('sofa', 1.0384688180827668)","('cheesegrater', 1.0471266214016668)","('pot', 1.8510669176163905)","('pot', 1.8910829625817538)","('tennisball', 3.89053341958829)","('tennisball', 3.724943956109787)","('tennisball', 3.724943956109787)"
8,"('starfish', 1.049172273589404)","('starfish', 1.0493093052859395)","('starfish', 1.0493093052859395)","('slippers', 1.0336941298141882)","('slippers', 1.0322626717567087)","('slippers', 1.0322626717567087)","('sippycup', 1.0357822648944945)","('stapler', 1.0429459640101726)","('slippers', 1.7744144070660597)","('slippers', 1.8466875980297424)","('vacuum', 3.017578827671883)","('vacuum', 3.0431961920905657)","('vacuum', 3.0431961920905657)"
9,"('motorhelmet', 1.0449629770869802)","('motorhelmet', 1.0449835276991448)","('motorhelmet', 1.0449835276991448)","('wheelbarrow', 1.033189490070161)","('wheelbarrow', 1.032091764598766)","('wheelbarrow', 1.032091764598766)","('stove', 1.0344490915954652)","('stove', 1.0428520970959045)","('sofa', 1.6762543280515525)","('sofa', 1.776537437042691)","('train', 2.7340454280797886)","('train', 2.928623007476704)","('train', 2.928623007476704)"
