,AlexNet_Places365
0,"(1.0074298050351127, 0.04515045559524077)"
1,"(1.0074794403509648, 0.04498710440378658)"
2,"(1.0074794403509648, 0.04498710440378658)"
3,"(1.0058272924896587, 0.03881565654095534)"
4,"(1.0057008740777948, 0.03730717097842415)"
5,"(1.0057008740777948, 0.03730717097842415)"
6,"(1.0075657115454861, 0.04107083263599271)"
7,"(1.008810038134053, 0.049999553449710854)"
8,"(1.1380918195164214, 0.7501287954964624)"
9,"(1.1457232800395183, 0.8117946027732212)"
10,"(1.2896687352033205, 2.861836427983722)"
11,"(1.4256448848031387, 3.2759003293272007)"
12,"(1.4256448848031387, 3.2759003293272007)"
