,AlexNet_Places365
0,"(0.7812276142125206, 0.01005533052233415)"
1,"(0.782099566879464, 0.00998787176219822)"
2,"(0.782099566879464, 0.00998787176219822)"
3,"(0.8317677594401178, 0.004742153640775756)"
4,"(0.8327510629380551, 0.00460454826533367)"
5,"(0.8327510629380551, 0.00460454826533367)"
6,"(0.7759855287897467, 0.005319286065835074)"
7,"(0.7447822971653648, 0.005691740664871698)"
8,"(0.16189518053635138, 0.015412130229935893)"
9,"(0.15057830897434188, 0.01539499982082114)"
10,"(0.07325549144585958, 0.01675092235693929)"
11,"(0.06486300251878863, 0.01568971956692956)"
12,"(0.06486300251878863, 0.01568971956692956)"
