,AlexNet_Places365
0,"(0.7757437571373345, 0.06416906109370608)"
1,"(0.7765701015777124, 0.06367669439624246)"
2,"(0.7765701015777124, 0.06367669439624246)"
3,"(0.8271525632167066, 0.020579873489923736)"
4,"(0.8282252505616219, 0.020539465338137056)"
5,"(0.8282252505616219, 0.020539465338137056)"
6,"(0.7705397357223537, 0.031339624670618245)"
7,"(0.7387692509950591, 0.031008290481552285)"
8,"(0.14473113438936222, 0.036326295956260364)"
9,"(0.13336531547537797, 0.03522324469480205)"
10,"(0.04768417158847337, 0.03204454816910386)"
11,"(0.04115561116690912, 0.03045923313719526)"
12,"(0.04115561116690912, 0.03045923313719526)"
