,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10,Layer14_bottom10,Layer15_bottom10,Layer16_bottom10,Layer17_bottom10,Layer18_bottom10
0,"('golfclubs', 0.8894017431844387)","('golfclubs', 0.8894017431844387)","('golfclubs', 0.9054089493417588)","('chopsticks', 0.7962254461256563)","('chopsticks', 0.7962254461256563)","('cow', 0.8005265873954643)","('hammer', 0.8085794932516857)","('hammer', 0.8085794932516857)","('tent', 0.722336437863338)","('hammer', 0.8493024111521909)","('hammer', 0.8770521167536514)","('fries', 0.8348065494051607)","('cow', 0.7738339056932272)","('cow', 0.7738339056932272)","('lifejacket', 0.8478604071210893)","('cow', 0.7024204380064968)","('slippers', 0.9782931013147782)","('cone', 0.17028497922526822)"
1,"('remotecontrol', 0.9120579151732577)","('remotecontrol', 0.9120579151732577)","('garbagebin', 0.9296014067066948)","('tent', 0.8345653164580885)","('tent', 0.8345653164580885)","('tent', 0.8551058202660058)","('fries', 0.8711943736357867)","('fries', 0.8711943736357867)","('golfclubs', 0.7853537418140842)","('bowlingpin', 0.8966334574159477)","('fries', 0.8914419070041217)","('lifejacket', 0.8615821410240727)","('lifejacket', 0.7784419783546587)","('lifejacket', 0.7784419783546587)","('cow', 0.857581187380502)","('golfclubs', 0.7338864412399527)","('train', 0.9832222728926089)","('golfclubs', 0.17238671019027832)"
2,"('garbagebin', 0.920886878134148)","('garbagebin', 0.920886878134148)","('cart', 0.9417639565861399)","('golfclubs', 0.869526052980942)","('golfclubs', 0.869526052980942)","('hammer', 0.8968869176464572)","('cow', 0.9002297997793179)","('cow', 0.9002297997793179)","('hammer', 0.7984731502814109)","('dumbbell', 0.9000211218097959)","('starfish', 0.9031574650428319)","('hammer', 0.8721043596954312)","('starfish', 0.8409060688831391)","('starfish', 0.8409060688831391)","('fries', 0.8852635336448271)","('steering_wheel', 0.7447100804787049)","('hammer', 0.9844328062017296)","('cutter', 0.20415370066797517)"
3,"('bowlingpin', 0.9232944966507491)","('bowlingpin', 0.9232944966507491)","('tent', 0.9459339632886141)","('cow', 0.8964047977621614)","('cow', 0.8964047977621614)","('golfclubs', 0.9001706434977574)","('chopsticks', 0.9024662554127004)","('chopsticks', 0.9024662554127004)","('fries', 0.8085487919691375)","('starfish', 0.9094239746384029)","('dumbbell', 0.9113399159644542)","('cow', 0.8734031774848755)","('golfclubs', 0.8790060963115502)","('golfclubs', 0.8790060963115502)","('starfish', 0.8898069120835528)","('punchingbag', 0.7788083915683565)","('roadsign', 0.9844820431667987)","('hammer', 0.3957130857528586)"
4,"('cone', 0.9342190428596613)","('cone', 0.9342190428596613)","('bowlingpin', 0.9500099631987676)","('bowlingpin', 0.9162086961638911)","('bowlingpin', 0.9162086961638911)","('rolette', 0.9185986998316644)","('tent', 0.910528137323807)","('tent', 0.910528137323807)","('lifejacket', 0.8302594758124672)","('cutter', 0.9159478613205924)","('parkingmeter', 0.9392530163538485)","('cheesegrater', 0.8794920217823855)","('fries', 0.8797390705775817)","('fries', 0.8797390705775817)","('stove', 0.8961731713468755)","('beachpail', 0.817217286334762)","('wheelbarrow', 0.9846851306171054)","('steering_wheel', 0.42463116438034465)"
5,"('chopsticks', 0.9525362727035313)","('chopsticks', 0.9525362727035313)","('hammer', 0.953081926270764)","('garbagebin', 0.9169476216939456)","('garbagebin', 0.9169476216939456)","('trophy', 0.9215032800814643)","('cart', 0.9149559771629806)","('cart', 0.9149559771629806)","('starfish', 0.8350127435483256)","('fries', 0.933114545589331)","('lifejacket', 0.9403824318769116)","('starfish', 0.8858615291384969)","('cheesegrater', 0.8797475528372661)","('cheesegrater', 0.8797475528372661)","('golfclubs', 0.9239498130142877)","('stove', 0.8213993761670839)","('dumbbell', 0.985242075773088)","('punchingbag', 0.4940280977309294)"
6,"('ironing', 0.961703208706654)","('ironing', 0.961703208706654)","('remotecontrol', 0.9674226503524174)","('remotecontrol', 0.9195131899699321)","('remotecontrol', 0.9195131899699321)","('lifejacket', 0.9280890314785726)","('bowlingpin', 0.9205233480850615)","('bowlingpin', 0.9205233480850615)","('cart', 0.85913230807699)","('cart', 0.938326317176374)","('bowlingpin', 0.9414582460943118)","('dumbbell', 0.8913951795800531)","('stove', 0.9068074819447224)","('stove', 0.9068074819447224)","('cheesegrater', 0.932328304841397)","('roadsign', 0.8330798428800664)","('sofa', 0.986197066824937)","('paper', 0.5158471226393435)"
7,"('hammer', 0.9673022804308624)","('hammer', 0.9673022804308624)","('baseballball', 0.9712127776516724)","('cone', 0.9211607569420533)","('cone', 0.9211607569420533)","('bowlingpin', 0.9415828977959128)","('parkingmeter', 0.9259339377844211)","('parkingmeter', 0.9259339377844211)","('trophy', 0.8669212232921992)","('chopsticks', 0.9390094460454468)","('sippycup', 0.9437141833437147)","('helmet', 0.9109391039887452)","('rolette', 0.9425687497808451)","('rolette', 0.9425687497808451)","('saddle', 0.9425535767809509)","('paper', 0.8400015250413377)","('garbagebin', 0.9870480612398708)","('slippers', 0.5173352458412968)"
8,"('fries', 0.9685823830931218)","('fries', 0.9685823830931218)","('stapler', 0.9730973284623214)","('hammer', 0.9245112051333914)","('hammer', 0.9245112051333914)","('fries', 0.9421366687605037)","('punchingbag', 0.9298222945167324)","('punchingbag', 0.9298222945167324)","('cone', 0.8728460349726749)","('sippycup', 0.944461058374511)","('cutter', 0.9466135684973149)","('parkingmeter', 0.9110708765622757)","('tent', 0.9427612096950477)","('tent', 0.9427612096950477)","('steering_wheel', 0.9725736704251879)","('sink', 0.8509119313810656)","('beachchair', 0.9879422036349113)","('beachchair', 0.5249429395566682)"
9,"('steering_wheel', 0.9741472665539125)","('steering_wheel', 0.9741472665539125)","('pants', 0.9742269788652917)","('punchingbag', 0.9291516316228557)","('punchingbag', 0.9291516316228557)","('chopsticks', 0.9422556639017171)","('golfclubs', 0.9315516280732815)","('golfclubs', 0.9315516280732815)","('rolette', 0.9297065448998724)","('lamp', 0.9491792111173556)","('tent', 0.9549414009638515)","('cone', 0.9183574463371728)","('saddle', 0.9458356207282417)","('saddle', 0.9458356207282417)","('sippycup', 0.9731905821575125)","('cheesegrater', 0.860619079990487)","('beachpail', 0.9881311704388469)","('fries', 0.5382213793257146)"
