,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10,Layer14_top10,Layer15_top10,Layer16_top10,Layer17_top10,Layer18_top10
0,"('coatrack', 1.085141127400704)","('coatrack', 1.085141127400704)","('coatrack', 1.0945904677093332)","('rubberduck', 1.2689656678302332)","('rubberduck', 1.2689656678302332)","('coatrack', 1.218528135898665)","('rubberduck', 1.3124958615548608)","('rubberduck', 1.3124958615548608)","('coatrack', 1.2761682378673824)","('beachchair', 1.1373206230556294)","('beachchair', 1.0907345312727572)","('paper', 1.1944660645162095)","('paper', 1.1983599644212901)","('paper', 1.1983599644212901)","('train', 1.117533311301969)","('dumbbell', 1.3042420752019894)","('starfish', 1.0264233484870942)","('tent', 1.7168742969456408)"
1,"('paper', 1.0752344799020128)","('paper', 1.0752344799020128)","('stove', 1.0730473905699822)","('coatrack', 1.2570563258424576)","('coatrack', 1.2570563258424576)","('rubberduck', 1.167361699800318)","('coatrack', 1.1938294764398842)","('coatrack', 1.1938294764398842)","('rubberduck', 1.2550046921040818)","('paper', 1.1081840770077762)","('rubberduck', 1.0846898999843928)","('rubberduck', 1.1917530758287813)","('ironing', 1.1841707368772374)","('ironing', 1.1841707368772374)","('pot', 1.0961747916832114)","('cutter', 1.2170897324957695)","('parkingmeter', 1.0200381017724756)","('cheesegrater', 1.6439702216123024)"
2,"('vacuum', 1.0751587508972618)","('vacuum', 1.0751587508972618)","('barbie', 1.0637600988537514)","('ironing', 1.1252590765544195)","('ironing', 1.1252590765544195)","('ironing', 1.1236458095941222)","('train', 1.127746075815192)","('train', 1.127746075815192)","('paper', 1.1906633474343276)","('vacuum', 1.087778569264221)","('beachpail', 1.0642486969817153)","('ironing', 1.1479842074554671)","('toothpaste', 1.157084865085629)","('toothpaste', 1.157084865085629)","('coffeecup', 1.0748560796000173)","('motorhelmet', 1.2004129988768482)","('sink', 1.0195455293804458)","('cart', 1.4864554517454096)"
3,"('pot', 1.0688739333215125)","('pot', 1.0688739333215125)","('dumbbell', 1.0466390926240547)","('vacuum', 1.1133267787026153)","('vacuum', 1.1133267787026153)","('vacuum', 1.1057326537361354)","('paper', 1.122891928614267)","('paper', 1.122891928614267)","('ironing', 1.1882393657788333)","('rubberduck', 1.0838660244565947)","('paper', 1.0615172560744022)","('pot', 1.102725953152275)","('train', 1.1270243740833765)","('train', 1.1270243740833765)","('vacuum', 1.071032728579845)","('tennisball', 1.1936634581343808)","('steering_wheel', 1.0185952919947183)","('dumbbell', 1.4843590883235183)"
4,"('barbie', 1.0668561253940563)","('barbie', 1.0668561253940563)","('starfish', 1.0423725587507573)","('stove', 1.1113405164337362)","('stove', 1.1113405164337362)","('train', 1.103241019188284)","('ironing', 1.1207973740164656)","('ironing', 1.1207973740164656)","('beachchair', 1.1773802956261161)","('beachpail', 1.0789089592076964)","('train', 1.0560418710135508)","('train', 1.10267924616166)","('rubberduck', 1.1264263039028557)","('rubberduck', 1.1264263039028557)","('toothpaste', 1.0673785013581136)","('pants', 1.1653732267699188)","('cow', 1.0183213621522669)","('bowlingpin', 1.4627248348358763)"
5,"('tennisball', 1.0643997625101314)","('tennisball', 1.0643997625101314)","('parkingmeter', 1.0395738374823054)","('barbie', 1.0964358237831708)","('barbie', 1.0964358237831708)","('pancake', 1.0835504486019318)","('beachchair', 1.1106845287799358)","('beachchair', 1.1106845287799358)","('vacuum', 1.1629620668092369)","('wheelbarrow', 1.0697969740296238)","('toothpaste', 1.0507510662341133)","('toothpaste', 1.0934480743485084)","('coatrack', 1.1229787515046559)","('coatrack', 1.1229787515046559)","('ironing', 1.0603658262457103)","('rubberduck', 1.1650977066413255)","('ironing', 1.0159076968711285)","('starfish', 1.455893559899961)"
6,"('sink', 1.0521079341080475)","('sink', 1.0521079341080475)","('train', 1.037334145635899)","('slippers', 1.092211194883719)","('slippers', 1.092211194883719)","('lamp', 1.0724694409750297)","('vacuum', 1.0953665622963524)","('vacuum', 1.0953665622963524)","('toothpaste', 1.133817573671786)","('stapler', 1.0610304236857024)","('wheelbarrow', 1.046776095384605)","('beachpail', 1.09206470782872)","('sofa', 1.1057630961403453)","('sofa', 1.1057630961403453)","('tennisball', 1.0587953519233202)","('remotecontrol', 1.163101311193916)","('coffeecup', 1.015485096820738)","('garbagebin', 1.3828507907807248)"
7,"('rubberduck', 1.0492190357819338)","('rubberduck', 1.0492190357819338)","('pancake', 1.0352486146985849)","('cheesegrater', 1.076770930342822)","('cheesegrater', 1.076770930342822)","('beachchair', 1.0702445261013105)","('wheelbarrow', 1.0647655862403484)","('wheelbarrow', 1.0647655862403484)","('train', 1.107003509705419)","('garbagebin', 1.056726700480545)","('vacuum', 1.0406995537447146)","('steering_wheel', 1.088303667112776)","('pot', 1.1012936664209498)","('pot', 1.1012936664209498)","('sofa', 1.0577606050415393)","('rolette', 1.1380024033295921)","('vacuum', 1.014410842677859)","('rubberduck', 1.3563710873292614)"
8,"('helmet', 1.0381195314787646)","('helmet', 1.0381195314787646)","('pot', 1.034907029160595)","('paper', 1.073655220264712)","('paper', 1.073655220264712)","('motorhelmet', 1.0600127198297185)","('lamp', 1.0644152532692823)","('lamp', 1.0644152532692823)","('steering_wheel', 1.1058990521073007)","('steering_wheel', 1.0550361983316234)","('pants', 1.0365811783535108)","('vacuum', 1.084569431879174)","('slippers', 1.0952916605314131)","('slippers', 1.0952916605314131)","('baseballball', 1.051157035892956)","('parkingmeter', 1.1107397308325824)","('rolette', 1.0143183152599407)","('motorhelmet', 1.3276940438132885)"
9,"('lamp', 1.036064054453135)","('lamp', 1.036064054453135)","('slippers', 1.033427587805301)","('sink', 1.065060483804782)","('sink', 1.065060483804782)","('punchingbag', 1.059507535337409)","('toothpaste', 1.0626847249523284)","('toothpaste', 1.0626847249523284)","('lamp', 1.0881971408501325)","('coatrack', 1.053213955041459)","('coatrack', 1.0360250286330221)","('coatrack', 1.0761968483419666)","('barbie', 1.0938199323427489)","('barbie', 1.0938199323427489)","('paper', 1.0484116249415882)","('pancake', 1.0924622998184523)","('cheesegrater', 1.0131254121090345)","('baseballball', 1.2152897738331847)"
