,GoogLeNet
0,"(1.0014689948728863, 0.042987575616872095)"
1,"(1.0014689948728863, 0.042987575616872095)"
2,"(1.0031092520694058, 0.03626778313631304)"
3,"(1.0115434051077463, 0.08697328588133994)"
4,"(1.0115434051077463, 0.08697328588133994)"
5,"(1.0052427777560744, 0.07368082395319979)"
6,"(1.0054623203657407, 0.08546108039210171)"
7,"(1.0054623203657407, 0.08546108039210171)"
8,"(1.0050531139512422, 0.11827559276882614)"
9,"(1.0023795880468505, 0.05760438955625019)"
10,"(0.9977032733906445, 0.04774538604303697)"
11,"(0.9996206349921412, 0.0847475644715885)"
12,"(1.0060845328095211, 0.08994109555989817)"
13,"(1.0060845328095211, 0.08994109555989817)"
14,"(1.0009842906741744, 0.05714714425935244)"
15,"(0.984502533698189, 0.13348685464897317)"
16,"(1.0011310019413417, 0.011404751595650492)"
17,"(0.927794576129359, 0.37045383262264886)"
