,GoogLeNet
0,"(0.7771576653713651, 0.009209548625563406)"
1,"(0.7771576653713651, 0.009209548625563406)"
2,"(0.7752370163949521, 0.006602473497319558)"
3,"(0.5801940031562922, 0.011348313663223685)"
4,"(0.5801940031562922, 0.011348313663223685)"
5,"(0.6037180402401504, 0.007245976732200508)"
6,"(0.4747578800844069, 0.009137403870347432)"
7,"(0.4747578800844069, 0.009137403870347432)"
8,"(0.3308787203569227, 0.006387520510677843)"
9,"(0.5180804249410126, 0.006477802694780903)"
10,"(0.5869600073864492, 0.005371399691568196)"
11,"(0.4979181420110173, 0.0061391562296242985)"
12,"(0.44802493231141277, 0.0067203467169595155)"
13,"(0.44802493231141277, 0.0067203467169595155)"
14,"(0.4575480027000635, 0.004926025802641668)"
15,"(0.08251192196350433, 0.001867682993379583)"
16,"(0.7019107497666901, 0.0016581293724724428)"
17,"(0.020317834383167872, 0.0012187004235407082)"
