,GoogLeNet
0,"(0.7760588895623793, 0.05751084699895223)"
1,"(0.7760588895623793, 0.05751084699895223)"
2,"(0.7727465954337863, 0.03579798318751818)"
3,"(0.5746520159948187, 0.07221769079560716)"
4,"(0.5746520159948187, 0.07221769079560716)"
5,"(0.6017563182963449, 0.045720585070429184)"
6,"(0.4730273773916598, 0.05909222877046469)"
7,"(0.4730273773916598, 0.05909222877046469)"
8,"(0.3301797597740504, 0.03392917242489411)"
9,"(0.5167503360992046, 0.03469074369729823)"
10,"(0.5883578099620893, 0.02745965527988599)"
11,"(0.4987377641856441, 0.027889170995513028)"
12,"(0.44574169594085866, 0.03202123454336536)"
13,"(0.44574169594085866, 0.03202123454336536)"
14,"(0.4571974719490476, 0.024466891869727753)"
15,"(0.08389999774605102, 0.008224882087798317)"
16,"(0.7011213732020484, 0.008814637910275102)"
17,"(0.02173142209406273, 0.0026143790290932955)"
