,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10
0,"('steering_wheel', 1.0591692440688538)","('steering_wheel', 1.0504439257929745)","('steering_wheel', 1.0502247553029775)","('steering_wheel', 1.0502247553029775)","('steering_wheel', 1.187010617282209)","('steering_wheel', 1.6930065557816092)","('cow', 2.7649095252270453)","('steering_wheel', 18.182724305514537)","('pancake', 23.3465793665201)"
1,"('fries', 1.0394623378838355)","('cow', 1.0249718680319824)","('cow', 1.024775577850829)","('cow', 1.024775577850829)","('coatrack', 1.1061507529461896)","('paper', 1.4828376413523792)","('paper', 2.3520720581150747)","('hammer', 17.13775877165533)","('steering_wheel', 13.54415218253953)"
2,"('coatrack', 1.0391791785940294)","('pot', 1.0247493602637927)","('pot', 1.0244995851138698)","('pot', 1.0244995851138698)","('barbie', 1.0926587529764331)","('slippers', 1.4064445946460593)","('steering_wheel', 2.3418794520448802)","('paper', 13.01485520568834)","('paper', 8.204932531889023)"
3,"('sofa', 1.0342041029858102)","('coatrack', 1.0242806124639363)","('coatrack', 1.0240581113829665)","('coatrack', 1.0240581113829665)","('slippers', 1.0869179712219306)","('pot', 1.3139447503856627)","('slippers', 1.8247948524512179)","('rolette', 5.888671032834124)","('stapler', 6.939617456174814)"
4,"('pot', 1.0316248562334187)","('motorhelmet', 1.0236366749610208)","('motorhelmet', 1.0235269225003587)","('motorhelmet', 1.0235269225003587)","('sofa', 1.0743024627731232)","('cutter', 1.3092538669224754)","('ironing', 1.8042552544028452)","('roadsign', 5.808738549984996)","('coatrack', 5.925653257773993)"
5,"('cow', 1.0308613740223362)","('sofa', 1.023497429756487)","('sofa', 1.0232588189100646)","('sofa', 1.0232588189100646)","('paper', 1.0701144124317563)","('cheesegrater', 1.2715360936300129)","('tennisball', 1.772936343800136)","('pot', 5.6193645596277415)","('rolette', 5.882200083310606)"
6,"('parkingmeter', 1.0287888621928527)","('parkingmeter', 1.0207056967387644)","('parkingmeter', 1.0204536874487697)","('parkingmeter', 1.0204536874487697)","('coffeecup', 1.0698490351581347)","('coatrack', 1.267400508254502)","('rubberduck', 1.6385486846210786)","('stapler', 5.574340658471206)","('dumbbell', 5.726187915999378)"
7,"('barbie', 1.0274500252794596)","('fries', 1.0187378425809668)","('fries', 1.0184097224211135)","('fries', 1.0184097224211135)","('helmet', 1.0545716453416125)","('rubberduck', 1.2376291987343637)","('rolette', 1.6360913225682465)","('dumbbell', 5.564940831975732)","('ironing', 4.667949038050075)"
8,"('helmet', 1.0265364295057136)","('barbie', 1.0169615796064144)","('barbie', 1.0169233444665424)","('barbie', 1.0169233444665424)","('pants', 1.0495031497980316)","('train', 1.2267609955931742)","('stapler', 1.545092505077209)","('sofa', 5.338373761875527)","('sofa', 4.415886389416317)"
9,"('paper', 1.0264043534327494)","('stapler', 1.0168277263104393)","('stapler', 1.0167201337373082)","('stapler', 1.0167201337373082)","('motorhelmet', 1.0470770552010022)","('ironing', 1.225116668173711)","('barbie', 1.4400257059008112)","('barbie', 5.202995295817407)","('pot', 4.377209556644599)"
