,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10
0,"('beachpail', 0.8385541637827865)","('hammer', 0.7608274858504449)","('hammer', 0.7605610128677934)","('hammer', 0.7605610128677934)","('tent', 0.7825845290417565)","('tent', 0.8001948059359955)","('hammer', 0.45085870793661736)","('cutter', 0.9424250161115997)","('lifejacket', 0.9879362053340898)"
1,"('golfclubs', 0.8794468881058907)","('bowlingpin', 0.773699577482942)","('bowlingpin', 0.7737076934688278)","('bowlingpin', 0.7737076934688278)","('hammer', 0.8423935157116424)","('golfclubs', 0.8109195073562786)","('lifejacket', 0.5541076735801777)","('paper', 0.9700306872309243)","('cow', 0.9926429725597412)"
2,"('tent', 0.8830409658850049)","('tent', 0.7942524910954308)","('tent', 0.7942452265486737)","('tent', 0.7942452265486737)","('chopsticks', 0.8519669289801531)","('hammer', 0.8610225432836596)","('starfish', 0.6749193898458286)","('cheesegrater', 0.9715340109021969)","('helmet', 0.9940016531332359)"
3,"('cart', 0.8854315882845234)","('chopsticks', 0.8467607061073548)","('chopsticks', 0.8467607053246514)","('chopsticks', 0.8467607053246514)","('starfish', 0.8799932067428925)","('cone', 0.8875651578649623)","('golfclubs', 0.6943528384596316)","('helmet', 0.9730866839266393)","('toothpaste', 0.9953519179678036)"
4,"('bowlingpin', 0.9232497654576303)","('golfclubs', 0.8568989660733078)","('golfclubs', 0.8569888457957339)","('golfclubs', 0.8569888457957339)","('golfclubs', 0.8824192817592703)","('remotecontrol', 0.8877771072421156)","('coatrack', 0.6952518959766348)","('lifejacket', 0.9769712091520241)","('wheelbarrow', 0.9954159607299219)"
5,"('lifejacket', 0.9233414693584536)","('garbagebin', 0.8913614127706387)","('garbagebin', 0.8913647041514122)","('garbagebin', 0.8913647041514122)","('bowlingpin', 0.9093157638517531)","('baseballball', 0.8941180758711555)","('cutter', 0.7425175713242947)","('lamp', 0.9775570553944631)","('saddle', 0.9956992804890114)"
6,"('beachchair', 0.9256213768772887)","('fries', 0.896098680903829)","('fries', 0.8960986799950761)","('fries', 0.8960986799950761)","('fries', 0.9138523586283426)","('fries', 0.8958313777319217)","('trophy', 0.7464341747936282)","('slippers', 0.9781022413741484)","('cutter', 0.9959387612769715)"
7,"('rubberduck', 0.9261526688481456)","('baseballball', 0.9025552818756007)","('baseballball', 0.9025552812537283)","('baseballball', 0.9025552812537283)","('rolette', 0.9149300248303911)","('lifejacket', 0.8961445611535017)","('cart', 0.7511606678508802)","('garbagebin', 0.9784823551899258)","('baseballball', 0.9961246879684641)"
8,"('starfish', 0.9444500025685612)","('coffeecup', 0.9136400271298515)","('coffeecup', 0.9136400267802165)","('coffeecup', 0.9136400267802165)","('cow', 0.916494796028695)","('beachchair', 0.9084262769583588)","('roadsign', 0.7546380436105005)","('saddle', 0.9862270361613414)","('helmet', 0.9962945048307964)"
9,"('baseballball', 0.9457757220489709)","('cone', 0.9262438196138536)","('cone', 0.9262438192287545)","('cone', 0.9262438192287545)","('baseballball', 0.9543459961785768)","('cow', 0.9168174190581645)","('toothpaste', 0.7552730069412306)","('pot', 0.9880658245898561)","('barbie', 0.9963127614411466)"
